Team,Opo Team,Score,Players
5Washington,@Stanford,"WASH 42, STAN 33","[{'Player': 'Michael Penix Jr.369', 'Stats': ''}, {'Player': 'Dillon Johnson', 'Stats': '84'}, {'Player': ""Ja'Lynn Polk148"", 'Stats': ''}]"
6Oklahoma,@Kansas,"KU 38, OU 33","[{'Player': 'Jason Bean', 'Stats': '218'}, {'Player': 'Tawee Walker', 'Stats': '146'}, {'Player': 'Lawrence Arnold', 'Stats': '79'}]"
BYU,@7Texas,"TEX 35, BYU 6","[{'Player': 'Kedon Slovis', 'Stats': '197'}, {'Player': 'Jonathon Brooks', 'Stats': '98'}, {'Player': 'Darius Lassiter', 'Stats': '75'}]"
8Oregon,@13Utah,"ORE 35, UTAH 6","[{'Player': 'Bo Nix', 'Stats': '248'}, {'Player': 'Bucky Irving', 'Stats': '83'}, {'Player': 'Troy Franklin', 'Stats': '99'}]"
Indiana,@10Penn State,"PSU 33, IU 24","[{'Player': 'Brendan Sorsby', 'Stats': '269'}, {'Player': 'Kaytron Allen', 'Stats': '81'}, {'Player': 'DeQuece Carter', 'Stats': '104'}]"
11Oregon State,@Arizona,"ARIZ 27, ORST 24","[{'Player': 'Noah Fifita', 'Stats': '275'}, {'Player': 'Damien Martinez', 'Stats': '87'}, {'Player': 'Tetairoa McMillan', 'Stats': '80'}]"
Vanderbilt,@12Ole Miss,"MISS 33, VAN 7","[{'Player': 'Jaxson Dart', 'Stats': '240'}, {'Player': 'Quinshon Judkins', 'Stats': '124'}, {'Player': 'Dayton Wade', 'Stats': '120'}]"
Pittsburgh,@14Notre Dame,"ND 58, PITT 7","[{'Player': 'Sam Hartman', 'Stats': '288'}, {'Player': 'Audric Estime', 'Stats': '114'}, {'Player': 'Rico Flores Jr.72', 'Stats': ''}]"
17North Carolina,@Georgia Tech,"GT 46, UNC 42","[{'Player': 'Drake Maye', 'Stats': '310'}, {'Player': 'Dontae Smith', 'Stats': '178'}, {'Player': 'Eric Singleton Jr.117', 'Stats': ''}]"
20Duke,@18Louisville,"LOU 23, DUKE 0","[{'Player': 'Riley Leonard', 'Stats': '121'}, {'Player': 'Jawhar Jordan', 'Stats': '163'}, {'Player': 'Jordan Moore', 'Stats': '92'}]"
19Air Force,@Colorado State,"AFA 30, CSU 13","[{'Player': 'Brayden Fowler-Nicolosi297', 'Stats': ''}, {'Player': 'Emmanuel Michel', 'Stats': '130'}, {'Player': 'Justus Ross-Simmons128', 'Stats': ''}]"
21Tennessee,@Kentucky,"TENN 33, UK 27","[{'Player': 'Devin Leary', 'Stats': '372'}, {'Player': 'Jaylen Wright', 'Stats': '120'}, {'Player': 'Dane Key', 'Stats': '113'}]"
22Tulane,@Rice,"TULN 30, RICE 28","[{'Player': 'Michael Pratt', 'Stats': '263'}, {'Player': 'Makhi Hughes', 'Stats': '153'}, {'Player': 'Luke McCaffrey', 'Stats': '79'}]"
Colorado,@23UCLA,"UCLA 28, COLO 16","[{'Player': 'Ethan Garbers', 'Stats': '269'}, {'Player': 'TJ Harden', 'Stats': '78'}, {'Player': 'Logan Loya', 'Stats': '111'}]"
24USC,@California,"USC 50, CAL 49","[{'Player': 'Caleb Williams', 'Stats': '369'}, {'Player': 'Jaydn Ott', 'Stats': '153'}, {'Player': 'Tahj Washington', 'Stats': '102'}]"
Old Dominion,@25James Madison,"JMU 30, ODU 27","[{'Player': 'Jordan McCloud', 'Stats': '340'}, {'Player': 'Keshawn Wicks', 'Stats': '74'}, {'Player': 'Reggie Brown', 'Stats': '142'}]"
Massachusetts,@Army,"MASS 21, ARMY 14","[{'Player': 'Champ Harris', 'Stats': '130'}, {'Player': ""Kay'Ron Lynch-Adams234"", 'Stats': ''}, {'Player': 'Tobi Olawole', 'Stats': '57'}]"
UConn,@Boston College,"BC 21, CONN 14","[{'Player': 'Thomas Castellanos', 'Stats': '151'}, {'Player': 'Kye Robichaux', 'Stats': '112'}, {'Player': 'Jaedn Skeete', 'Stats': '61'}]"
Maryland,@Northwestern,"NU 33, MD 27","[{'Player': 'Taulia Tagovailoa', 'Stats': '274'}, {'Player': 'Brendan Sullivan', 'Stats': '56'}, {'Player': 'Jeshaun Jones', 'Stats': '78'}]"
South Carolina,@Texas A&M,"TA&M 30, SC 17","[{'Player': 'Max Johnson', 'Stats': '249'}, {'Player': 'Mario Anderson', 'Stats': '72'}, {'Player': 'Ainias Smith', 'Stats': '118'}]"
Houston,@Kansas State,"KSU 41, HOU 0","[{'Player': 'Will Howard', 'Stats': '164'}, {'Player': 'DJ Giddens', 'Stats': '96'}, {'Player': 'Phillip Brooks', 'Stats': '83'}]"
West Virginia,@UCF,"WVU 41, UCF 28","[{'Player': 'John Rhys Plumlee', 'Stats': '274'}, {'Player': 'CJ Donaldson Jr.121', 'Stats': ''}, {'Player': 'Kobe Hudson', 'Stats': '66'}]"
Tulsa,@SMU,"SMU 69, TLSA 10","[{'Player': 'Preston Stone', 'Stats': '371'}, {'Player': 'Camar Wheaton', 'Stats': '80'}, {'Player': 'RJ Maryland', 'Stats': '95'}]"
Western Michigan,@Eastern Michigan,"WMU 45, EMU 21","[{'Player': 'Austin Smith', 'Stats': '231'}, {'Player': 'Jalen Buckley', 'Stats': '138'}, {'Player': 'Jaylon Jackson', 'Stats': '111'}]"
Clemson,@NC State,"NCSU 24, CLEM 17","[{'Player': 'Cade Klubnik', 'Stats': '263'}, {'Player': 'Phil Mafah', 'Stats': '84'}, {'Player': 'Jake Briningstool', 'Stats': '93'}]"
Memphis,@North Texas,"MEM 45, UNT 42","[{'Player': 'Chandler Rogers', 'Stats': '411'}, {'Player': 'Blake Watson', 'Stats': '169'}, {'Player': 'Damon Ward', 'Stats': '120'}]"
Mississippi State,@Auburn,"AUB 27, MSST 13","[{'Player': 'Payton Thorne', 'Stats': '230'}, {'Player': 'Jarquez Hunter', 'Stats': '144'}, {'Player': 'Zavion Thomas', 'Stats': '112'}]"
Michigan State,@Minnesota,"MINN 27, MSU 12","[{'Player': 'Athan Kaliakmanis', 'Stats': '200'}, {'Player': 'Jordan Nubin', 'Stats': '204'}, {'Player': 'Daniel Jackson', 'Stats': '120'}]"
Purdue,@Nebraska,"NEB 31, PUR 14","[{'Player': 'Heinrich Haarberg', 'Stats': '122'}, {'Player': 'Emmett Johnson', 'Stats': '76'}, {'Player': 'Jaylen Lloyd', 'Stats': '73'}]"
Virginia,@Miami,"MIA 29, UVA 26 (OT)","[{'Player': 'Tony Muskett', 'Stats': '239'}, {'Player': 'Ajay Allen', 'Stats': '67'}, {'Player': 'Malik Washington', 'Stats': '152'}]"
Iowa State,@Baylor,"ISU 30, BAY 18","[{'Player': 'Blake Shapen', 'Stats': '239'}, {'Player': 'Eli Sanders', 'Stats': '90'}, {'Player': 'Monaray Baldwin', 'Stats': '117'}]"
East Carolina,@UTSA,"UTSA 41, ECU 27","[{'Player': 'Frank Harris', 'Stats': '395'}, {'Player': 'Rocko Griffin', 'Stats': '80'}, {'Player': 'Joshua Cephus', 'Stats': '183'}]"
Southern Miss,@Appalachian State,"APP 48, USM 38","[{'Player': 'Joey Aguilar', 'Stats': '391'}, {'Player': 'Frank Gore Jr.247', 'Stats': ''}, {'Player': 'Christan Horn', 'Stats': '165'}]"
Miami (OH),@Ohio,"M-OH 30, OHIO 16","[{'Player': 'Kurtis Rourke', 'Stats': '313'}, {'Player': 'Rashad Amos', 'Stats': '163'}, {'Player': 'Sam Wiglusz', 'Stats': '79'}]"
Arkansas State,@UL Monroe,"ARST 34, ULM 24","[{'Player': 'Blake Murphy', 'Stats': '300'}, {'Player': 'Zak Wallace', 'Stats': '118'}, {'Player': 'Corey Rucker', 'Stats': '160'}]"
Louisiana,@South Alabama,"UL 33, USA 20","[{'Player': 'Carter Bradley', 'Stats': '381'}, {'Player': 'Jacob Kibodi', 'Stats': '119'}, {'Player': 'Jamaal Pritchett', 'Stats': '168'}]"
Wyoming,@Boise State,"BOIS 32, WYO 7","[{'Player': 'Maddux Madsen', 'Stats': '147'}, {'Player': 'George Holani', 'Stats': '75'}, {'Player': 'Eric McAlister', 'Stats': '160'}]"
Marshall,@Coastal Carolina,"CCU 34, MRSH 6","[{'Player': 'Jarrett Guest', 'Stats': '289'}, {'Player': 'Rasheen Ali', 'Stats': '52'}, {'Player': 'Jared Brown', 'Stats': '117'}]"
Troy,@Texas State,"TROY 31, TXST 13","[{'Player': 'Gunnar Watson', 'Stats': '398'}, {'Player': 'Ismail Mahdi', 'Stats': '128'}, {'Player': 'Jabre Barber', 'Stats': '160'}]"
Washington State,@Arizona State,"ASU 38, WSU 27","[{'Player': 'Cameron Ward', 'Stats': '315'}, {'Player': 'Cameron Skattebo', 'Stats': '121'}, {'Player': 'Jalin Conyers', 'Stats': '90'}]"
Cincinnati,@Oklahoma State,"OKST 45, CIN 13","[{'Player': 'Alan Bowman', 'Stats': '286'}, {'Player': 'Ollie Gordon II', 'Stats': '271'}, {'Player': 'Leon Johnson III', 'Stats': '149'}]"
New Mexico,@Nevada,"NEV 34, UNM 24","[{'Player': 'Dylan Hopkins', 'Stats': '271'}, {'Player': 'Jamaal Bell', 'Stats': '76'}, {'Player': 'Jeremiah Hixon', 'Stats': '116'}]"
UNLV,@Fresno State,"FRES 31, UNLV 24","[{'Player': 'Jayden Maiava', 'Stats': '268'}, {'Player': 'Vincent Davis Jr.68', 'Stats': ''}, {'Player': 'Ricky White', 'Stats': '152'}]"
San José State,@Hawai'i,"SJSU 35, HAW 0","[{'Player': 'Chevan Cordeiro', 'Stats': '251'}, {'Player': 'Kairee Robinson', 'Stats': '146'}, {'Player': 'Nick Nash', 'Stats': '86'}]"
