Team,Opo Team,Score,Players
New Mexico State,@Louisiana Tech,"NMSU 27, LT 24","[{'Player': 'Hank Bachmeier', 'Stats': '238'}, {'Player': 'Star Thomas', 'Stats': '88'}, {'Player': 'Kyle Maxwell', 'Stats': '68'}]"
Liberty,@Western Kentucky,"LIB 42, WKU 29","[{'Player': 'Austin Reed', 'Stats': '365'}, {'Player': 'Kaidon Salter', 'Stats': '117'}, {'Player': 'Dalvin Smith', 'Stats': '79'}]"
Jacksonville State,@Florida International,"JVST 41, FIU 16","[{'Player': 'Grayson James', 'Stats': '200'}, {'Player': 'Zion Webb', 'Stats': '125'}, {'Player': 'Kris Mitchell', 'Stats': '109'}]"
UTEP,@Sam Houston,"UTEP 37, SHSU 34","[{'Player': 'Cade McConnell', 'Stats': '206'}, {'Player': 'Deion Hankins', 'Stats': '117'}, {'Player': 'Kelly Akharaiyi', 'Stats': '126'}]"
Syracuse,@Virginia Tech,"VT 38, SYR 10","[{'Player': 'Kyron Drones', 'Stats': '194'}, {'Player': 'Bhayshul Tuten', 'Stats': '118'}, {'Player': ""Da'Quan Felton80"", 'Stats': ''}]"
Georgia State,@Georgia Southern,"GASO 44, GAST 27","[{'Player': 'Davis Brin', 'Stats': '334'}, {'Player': 'Marcus Carroll', 'Stats': '208'}, {'Player': 'Dalen Cobb', 'Stats': '100'}]"
Florida Atlantic,@Charlotte,"FAU 38, CLT 16","[{'Player': 'Daniel Richardson', 'Stats': '218'}, {'Player': 'Terron Kellman', 'Stats': '83'}, {'Player': 'LaJohntay Wester', 'Stats': '149'}]"
1Georgia,@Florida,"UGA 43, FLA 20","[{'Player': 'Carson Beck', 'Stats': '315'}, {'Player': 'Daijun Edwards', 'Stats': '96'}, {'Player': 'Ladd McConkey', 'Stats': '135'}]"
3Ohio State,@Wisconsin,"OSU 24, WIS 10","[{'Player': 'Kyle McCord', 'Stats': '226'}, {'Player': 'TreVeyon Henderson', 'Stats': '162'}, {'Player': 'Marvin Harrison Jr.123', 'Stats': ''}]"
4Florida State,@Wake Forest,"FSU 41, WAKE 16","[{'Player': 'Jordan Travis', 'Stats': '359'}, {'Player': 'Justice Ellison', 'Stats': '77'}, {'Player': 'Trey Benson', 'Stats': '100'}]"
