Team,Opo Team,Score,Players
Eastern Michigan,@Buffalo,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $20', 'Stats': ''}, {'Player': 'UB Stadium, Buffalo, NY', 'Stats': ''}]"
Bowling Green,@Western Michigan,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $12', 'Stats': ''}, {'Player': 'Waldo Stadium, Kalamazoo, MI', 'Stats': ''}]"
10Ole Miss,@Mississippi State,7:30 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $32', 'Stats': ''}, {'Player': 'Davis Wade Stadium, Starkville, MS', 'Stats': ''}]"
TCU,@9Oklahoma,12:00 PM,"[{'Player': 'FOX', 'Stats': ''}, {'Player': 'Tickets as low as $51', 'Stats': ''}, {'Player': 'Memorial Stadium (Norman, OK), Norman, OK', 'Stats': ''}]"
Iowa,@Nebraska,12:00 PM,"[{'Player': 'CBS', 'Stats': ''}, {'Player': 'Tickets as low as $59', 'Stats': ''}, {'Player': 'Memorial Stadium (Lincoln, NE), Lincoln, NE', 'Stats': ''}]"
Miami,@Boston College,12:00 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $12', 'Stats': ''}, {'Player': 'Alumni Stadium (Chestnut Hill, MA), Chestnut Hill, MA', 'Stats': ''}]"
Toledo,@Central Michigan,12:00 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $12', 'Stats': ''}, {'Player': 'Kelly/Shorts Stadium, Mount Pleasant, MI', 'Stats': ''}]"
Ohio,@Akron,12:00 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $14', 'Stats': ''}, {'Player': 'InfoCision Stadium, Akron, OH', 'Stats': ''}]"
Utah State,@New Mexico,3:30 PM,"[{'Player': 'CBSSN', 'Stats': ''}, {'Player': 'Tickets as low as $19', 'Stats': ''}, {'Player': 'University Stadium (NM), Albuquerque, NM', 'Stats': ''}]"
12Missouri,@Arkansas,4:00 PM,"[{'Player': 'CBS', 'Stats': ''}, {'Player': 'Tickets as low as $13', 'Stats': ''}, {'Player': 'Razorback Stadium, Fayetteville, AR', 'Stats': ''}]"
25Air Force,@Boise State,4:00 PM,"[{'Player': 'FS', 'Stats': '1'}, {'Player': 'Tickets as low as $25', 'Stats': ''}, {'Player': 'Albertsons Stadium, Boise, ID', 'Stats': ''}]"
Texas Tech,@7Texas,7:30 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $129', 'Stats': ''}, {'Player': 'DKR-Texas Memorial Stadium, Austin, TX', 'Stats': ''}]"
11Penn State,@Michigan State,7:30 PM,"[{'Player': 'NBC', 'Stats': ''}, {'Player': 'Tickets as low as $24', 'Stats': ''}, {'Player': 'Ford Field, Detroit, MI', 'Stats': ''}]"
16Oregon State,@6Oregon,8:30 PM,"[{'Player': 'FOX', 'Stats': ''}, {'Player': 'Tickets as low as $146', 'Stats': ''}, {'Player': 'Autzen Stadium, Eugene, OR', 'Stats': ''}]"
2Georgia,@Georgia Tech,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $96', 'Stats': ''}, {'Player': 'Bobby Dodd Stadium, Atlanta, GA', 'Stats': ''}]"
4Florida State,@Florida,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $150', 'Stats': ''}, {'Player': 'Ben Hill Griffin Stadium, Gainesville, FL', 'Stats': ''}]"
Washington State,@5Washington,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $153', 'Stats': ''}, {'Player': 'Husky Stadium, Seattle, WA', 'Stats': ''}]"
8Alabama,@Auburn,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $171', 'Stats': ''}, {'Player': 'Jordan-Hare Stadium, Auburn, AL', 'Stats': ''}]"
Kentucky,@13Louisville,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $30', 'Stats': ''}, {'Player': 'Cardinal Stadium, Louisville, KY', 'Stats': ''}]"
Texas A&M,@14LSU,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $56', 'Stats': ''}, {'Player': 'Tiger Stadium (LA), Baton Rouge, LA', 'Stats': ''}]"
15Notre Dame,@Stanford,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $32', 'Stats': ''}, {'Player': 'Stanford Stadium, Stanford, CA', 'Stats': ''}]"
Vanderbilt,@17Tennessee,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $63', 'Stats': ''}, {'Player': 'Neyland Stadium, Knoxville, TN', 'Stats': ''}]"
Colorado,@18Utah,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $63', 'Stats': ''}, {'Player': 'Rice-Eccles Stadium, Salt Lake City, UT', 'Stats': ''}]"
California,@19UCLA,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $23', 'Stats': ''}, {'Player': 'Rose Bowl, Pasadena, CA', 'Stats': ''}]"
21Kansas,@Cincinnati,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $22', 'Stats': ''}, {'Player': 'Nippert Stadium, Cincinnati, OH', 'Stats': ''}]"
BYU,@22Oklahoma State,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $16', 'Stats': ''}, {'Player': 'Boone Pickens Stadium, Stillwater, OK', 'Stats': ''}]"
Iowa State,@23Kansas State,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $21', 'Stats': ''}, {'Player': 'Bill Snyder Family Stadium, Manhattan, KS', 'Stats': ''}]"
UTSA,@24Tulane,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $10', 'Stats': ''}, {'Player': 'Yulman Stadium, New Orleans, LA', 'Stats': ''}]"
Northwestern,@Illinois,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $3', 'Stats': ''}, {'Player': 'Memorial Stadium (Champaign, IL), Champaign, IL', 'Stats': ''}]"
Wisconsin,@Minnesota,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $65', 'Stats': ''}, {'Player': 'Huntington Bank Stadium, Minneapolis, MN', 'Stats': ''}]"
Indiana,@Purdue,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $19', 'Stats': ''}, {'Player': 'Ross-Ade Stadium, West Lafayette, IN', 'Stats': ''}]"
Maryland,@Rutgers,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $28', 'Stats': ''}, {'Player': 'SHI Stadium, Piscataway, NJ', 'Stats': ''}]"
Clemson,@South Carolina,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $77', 'Stats': ''}, {'Player': 'Williams-Brice Stadium, Columbia, SC', 'Stats': ''}]"
UConn,@Massachusetts,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $22', 'Stats': ''}, {'Player': 'Warren McGuirk Alumni Stadium, Amherst, MA', 'Stats': ''}]"
Arizona,@Arizona State,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $32', 'Stats': ''}, {'Player': 'Mountain America Stadium, Tempe, AZ', 'Stats': ''}]"
Pittsburgh,@Duke,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $13', 'Stats': ''}, {'Player': 'Wallace Wade Stadium, Durham, NC', 'Stats': ''}]"
North Carolina,@NC State,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $82', 'Stats': ''}, {'Player': 'Carter-Finley Stadium, Raleigh, NC', 'Stats': ''}]"
Wake Forest,@Syracuse,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $7', 'Stats': ''}, {'Player': 'JMA Wireless Dome, Syracuse, NY', 'Stats': ''}]"
Virginia Tech,@Virginia,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $69', 'Stats': ''}, {'Player': 'Scott Stadium, Charlottesville, VA', 'Stats': ''}]"
West Virginia,@Baylor,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $5', 'Stats': ''}, {'Player': 'McLane Stadium, Waco, TX', 'Stats': ''}]"
Houston,@UCF,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $8', 'Stats': ''}, {'Player': 'FBC Mortgage Stadium, Orlando, FL', 'Stats': ''}]"
Tulsa,@East Carolina,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $12', 'Stats': ''}, {'Player': 'Dowdy-Ficklen Stadium, Greenville, NC', 'Stats': ''}]"
UAB,@North Texas,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $13', 'Stats': ''}, {'Player': 'DATCU Stadium, Denton, TX', 'Stats': ''}]"
Memphis,@Temple,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $17', 'Stats': ''}, {'Player': 'Lincoln Financial Field, Philadelphia, PA', 'Stats': ''}]"
Charlotte,@South Florida,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $5', 'Stats': ''}, {'Player': 'Raymond James Stadium, Tampa, FL', 'Stats': ''}]"
Florida Atlantic,@Rice,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $19', 'Stats': ''}, {'Player': 'Rice Stadium, Houston, TX', 'Stats': ''}]"
Navy,@SMU,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $13', 'Stats': ''}, {'Player': 'Gerald J. Ford Stadium, Dallas, TX', 'Stats': ''}]"
Georgia Southern,@Appalachian State,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $97', 'Stats': ''}, {'Player': 'Kidd Brewer Stadium, Boone, NC', 'Stats': ''}]"
James Madison,@Coastal Carolina,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $30', 'Stats': ''}, {'Player': 'Brooks Stadium (SC), Conway, SC', 'Stats': ''}]"
Arkansas State,@Marshall,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $14', 'Stats': ''}, {'Player': 'Joan C. Edwards Stadium, Huntington, WV', 'Stats': ''}]"
Georgia State,@Old Dominion,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $10', 'Stats': ''}, {'Player': 'S.B. Ballard Stadium, Norfolk, VA', 'Stats': ''}]"
UL Monroe,@Louisiana,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $33', 'Stats': ''}, {'Player': 'Cajun Field, Lafayette, LA', 'Stats': ''}]"
Troy,@Southern Miss,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $10', 'Stats': ''}, {'Player': 'M. M. Roberts Stadium, Hattiesburg, MS', 'Stats': ''}]"
Northern Illinois,@Kent State,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $15', 'Stats': ''}, {'Player': 'Dix Stadium, Kent, OH', 'Stats': ''}]"
Miami (OH),@Ball State,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $15', 'Stats': ''}, {'Player': 'Scheumann Stadium, Muncie, IN', 'Stats': ''}]"
Fresno State,@San Diego State,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $31', 'Stats': ''}, {'Player': 'Snapdragon Stadium, San Diego, CA', 'Stats': ''}]"
1Ohio State,@3Michigan,12:00 PM,"[{'Player': 'FOX', 'Stats': ''}, {'Player': 'Tickets as low as $465', 'Stats': ''}, {'Player': 'Michigan Stadium, Ann Arbor, MI', 'Stats': ''}]"
Middle Tennessee,@Sam Houston,12:00 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $18', 'Stats': ''}, {'Player': 'Elliott T. Bowers Stadium, Huntsville, TX', 'Stats': ''}]"
