Team,Opo Team,Score,Players
Bethune-Cookman,@22Miami,"MIA 48, BCU 7","[{'Player': 'Tyler Van Dyke', 'Stats': '247'}, {'Player': 'Donald Chaney Jr.73', 'Stats': ''}, {'Player': 'Xavier Restrepo', 'Stats': '120'}]"
Navy,@Memphis,"MEM 28, NAVY 24","[{'Player': 'Seth Henigan', 'Stats': '218'}, {'Player': 'Blake Watson', 'Stats': '169'}, {'Player': 'Blake Watson', 'Stats': '68'}]"
Virginia,@Maryland,"MD 42, UVA 14","[{'Player': 'Taulia Tagovailoa', 'Stats': '342'}, {'Player': 'Colby McDonald', 'Stats': '75'}, {'Player': 'Malik Washington', 'Stats': '141'}]"
Army,@UTSA,"ARMY 37, UTSA 29","[{'Player': 'Eddie Lee Marburger', 'Stats': '239'}, {'Player': 'Hayden Reed', 'Stats': '107'}, {'Player': 'Joshua Cephus', 'Stats': '84'}]"
Utah State,@Air Force,"AFA 39, USU 21","[{'Player': 'McCae Hillstead', 'Stats': '202'}, {'Player': 'Owen Burk', 'Stats': '110'}, {'Player': 'Micah Davis', 'Stats': '84'}]"
South Carolina,@1Georgia,"UGA 24, SC 14","[{'Player': 'Carson Beck', 'Stats': '269'}, {'Player': 'Daijun Edwards', 'Stats': '118'}, {'Player': ""O'Mega Blake86"", 'Stats': ''}]"
Bowling Green,@2Michigan,"MICH 31, BGSU 6","[{'Player': 'J.J. McCarthy143', 'Stats': ''}, {'Player': 'Blake Corum', 'Stats': '101'}, {'Player': 'Cornelius Johnson', 'Stats': '71'}]"
3Florida State,@Boston College,"FSU 31, BC 29","[{'Player': 'Thomas Castellanos', 'Stats': '305'}, {'Player': 'Thomas Castellanos', 'Stats': '95'}, {'Player': 'Johnny Wilson', 'Stats': '105'}]"
Wyoming,@4Texas,"TEX 31, WYO 10","[{'Player': 'Evan Svoboda', 'Stats': '136'}, {'Player': 'Jonathon Brooks', 'Stats': '164'}, {'Player': 'Wyatt Wieland', 'Stats': '62'}]"
Western Kentucky,@6Ohio State,"OSU 63, WKU 10","[{'Player': 'Kyle McCord', 'Stats': '318'}, {'Player': 'TreVeyon Henderson', 'Stats': '88'}, {'Player': 'Marvin Harrison Jr.126', 'Stats': ''}]"
7Penn State,@Illinois,"PSU 30, ILL 13","[{'Player': 'Drew Allar', 'Stats': '208'}, {'Player': 'Reggie Love III', 'Stats': '55'}, {'Player': 'Isaiah Williams', 'Stats': '63'}]"
8Washington,@Michigan State,"WASH 41, MSU 7","[{'Player': 'Michael Penix Jr.473', 'Stats': ''}, {'Player': 'Tybo Rogers', 'Stats': '74'}, {'Player': 'Rome Odunze', 'Stats': '180'}]"
Central Michigan,@9Notre Dame,"ND 41, CMU 17","[{'Player': 'Sam Hartman', 'Stats': '330'}, {'Player': 'Audric Estime', 'Stats': '176'}, {'Player': 'Tobias Merriweather', 'Stats': '91'}]"
10Alabama,@South Florida,"ALA 17, USF 3","[{'Player': 'Byrum Brown', 'Stats': '87'}, {'Player': 'Roydell Williams', 'Stats': '129'}, {'Player': 'CJ Dippre', 'Stats': '45'}]"
11Tennessee,@Florida,"FLA 29, TENN 16","[{'Player': 'Joe Milton III', 'Stats': '287'}, {'Player': 'Trevor Etienne', 'Stats': '172'}, {'Player': 'Bru McCoy', 'Stats': '94'}]"
Weber State,@12Utah,"UTAH 31, WEB 7","[{'Player': 'Nate Johnson', 'Stats': '193'}, {'Player': 'Nate Johnson', 'Stats': '71'}, {'Player': 'Munir McClain', 'Stats': '92'}]"
Hawai'i,@13Oregon,"ORE 55, HAW 10","[{'Player': 'Bo Nix', 'Stats': '247'}, {'Player': 'Noah Whittington', 'Stats': '80'}, {'Player': 'Troy Franklin', 'Stats': '83'}]"
14LSU,@Mississippi State,"LSU 41, MSST 14","[{'Player': 'Jayden Daniels', 'Stats': '361'}, {'Player': ""Jo'Quavious Marks75"", 'Stats': ''}, {'Player': 'Malik Nabers', 'Stats': '239'}]"
15Kansas State,@Missouri,"MIZ 30, KSU 27","[{'Player': 'Brady Cook', 'Stats': '356'}, {'Player': 'Cody Schrader', 'Stats': '58'}, {'Player': 'Luther Burden III', 'Stats': '114'}]"
San Diego State,@16Oregon State,"ORST 26, SDSU 9","[{'Player': 'DJ Uiagalelei', 'Stats': '284'}, {'Player': 'Damien Martinez', 'Stats': '102'}, {'Player': 'Anthony Gould', 'Stats': '97'}]"
