Team,Opo Team,Score,Players
Georgia Tech,@17Ole Miss,"MISS 48, GT 23","[{'Player': 'Haynes King', 'Stats': '307'}, {'Player': 'Jaxson Dart', 'Stats': '136'}, {'Player': 'Jordan Watkins', 'Stats': '119'}]"
Colorado State,@18Colorado,"COLO 43, CSU 35 (2OT)","[{'Player': 'Brayden Fowler-Nicolosi367', 'Stats': ''}, {'Player': 'Dylan Edwards', 'Stats': '57'}, {'Player': 'Tory Horton', 'Stats': '133'}]"
19Oklahoma,@Tulsa,"OU 66, TLSA 17","[{'Player': 'Dillon Gabriel', 'Stats': '421'}, {'Player': 'Jovantae Barnes', 'Stats': '68'}, {'Player': 'Jalil Farooq', 'Stats': '126'}]"
Minnesota,@20North Carolina,"UNC 31, MINN 13","[{'Player': 'Drake Maye', 'Stats': '414'}, {'Player': 'Darius Taylor', 'Stats': '138'}, {'Player': 'Nate McCollum', 'Stats': '165'}]"
Northwestern,@21Duke,"DUKE 38, NU 14","[{'Player': 'Riley Leonard', 'Stats': '219'}, {'Player': 'Riley Leonard', 'Stats': '97'}, {'Player': 'Jalon Calhoun', 'Stats': '112'}]"
Northern Colorado,@23Washington State,"WSU 64, UNCO 21","[{'Player': 'Cameron Ward', 'Stats': '327'}, {'Player': 'David Afari', 'Stats': '116'}, {'Player': 'Lincoln Victor', 'Stats': '119'}]"
North Carolina Central,@24UCLA,"UCLA 59, NCCU 7","[{'Player': 'Dante Moore', 'Stats': '182'}, {'Player': 'Anthony Adkins', 'Stats': '96'}, {'Player': 'Kam Brown', 'Stats': '74'}]"
Western Michigan,@25Iowa,"IOWA 41, WMU 10","[{'Player': 'Treyson Bourguet', 'Stats': '124'}, {'Player': 'Leshon Williams', 'Stats': '145'}, {'Player': 'Anthony Sambucci', 'Stats': '64'}]"
Liberty,@Buffalo,"LIB 55, BUFF 27","[{'Player': 'Kaidon Salter', 'Stats': '344'}, {'Player': 'Kaidon Salter', 'Stats': '66'}, {'Player': 'Treon Sibley', 'Stats': '106'}]"
Louisville,@Indiana,"LOU 21, IU 14","[{'Player': 'Tayven Jackson', 'Stats': '299'}, {'Player': 'Jawhar Jordan', 'Stats': '113'}, {'Player': 'Jamari Thrash', 'Stats': '159'}]"
Georgia Southern,@Wisconsin,"WIS 35, GASO 14","[{'Player': 'Davis Brin', 'Stats': '383'}, {'Player': 'Braelon Allen', 'Stats': '94'}, {'Player': 'Derwin Burgess Jr.124', 'Stats': ''}]"
Wake Forest,@Old Dominion,"WAKE 27, ODU 24","[{'Player': 'Mitch Griffis', 'Stats': '312'}, {'Player': 'Devin Roche', 'Stats': '86'}, {'Player': 'Javon Harvey', 'Stats': '166'}]"
Long Island University,@Baylor,"BAY 30, LIU 7","[{'Player': 'Sawyer Robertson', 'Stats': '113'}, {'Player': 'Dawson Pendergrass', 'Stats': '111'}, {'Player': 'Aviyon Smith-Mack35', 'Stats': ''}]"
Iowa State,@Ohio,"OHIO 10, ISU 7","[{'Player': 'Rocco Becht', 'Stats': '233'}, {'Player': 'Kurtis Rourke', 'Stats': '58'}, {'Player': 'Daniel Jackson', 'Stats': '65'}]"
Central Connecticut,@Kent State,"KENT 38, CCSU 10","[{'Player': 'Michael Alaimo', 'Stats': '172'}, {'Player': 'Gavin Garcia', 'Stats': '125'}, {'Player': 'Trell Harris', 'Stats': '94'}]"
North Dakota,@Boise State,"BOIS 42, UND 18","[{'Player': 'Taylen Green', 'Stats': '188'}, {'Player': 'Jambres Dubar', 'Stats': '62'}, {'Player': 'Eric McAlister', 'Stats': '143'}]"
VMI,@NC State,"NCSU 45, VMI 7","[{'Player': 'Brennan Armstrong', 'Stats': '264'}, {'Player': 'Kendrick Raphael', 'Stats': '85'}, {'Player': 'Egypt Nelson', 'Stats': '107'}]"
Massachusetts,@Eastern Michigan,"EMU 19, MASS 17","[{'Player': 'Carlos Davis', 'Stats': '340'}, {'Player': ""Kay'Ron Lynch-Adams129"", 'Stats': ''}, {'Player': 'Anthony Simpson', 'Stats': '101'}]"
Norfolk State,@Temple,"TEM 41, NORF 9","[{'Player': 'E.J. Warner238', 'Stats': ''}, {'Player': 'Joquez Smith', 'Stats': '142'}, {'Player': 'Amad Anderson Jr.79', 'Stats': ''}]"
Indiana State,@Ball State,"BALL 45, INST 7","[{'Player': 'Elijah Owens', 'Stats': '157'}, {'Player': 'Marquez Cooper', 'Stats': '177'}, {'Player': 'Harry Van Dyne', 'Stats': '80'}]"
Virginia Tech,@Rutgers,"RUTG 35, VT 16","[{'Player': 'Kyron Drones', 'Stats': '190'}, {'Player': 'Kyle Monangai', 'Stats': '143'}, {'Player': ""Da'Quan Felton84"", 'Stats': ''}]"
Florida International,@UConn,"FIU 24, CONN 17","[{'Player': 'Keyone Jenkins', 'Stats': '284'}, {'Player': 'Devontae Houston', 'Stats': '126'}, {'Player': 'Jalen Bracey', 'Stats': '90'}]"
East Carolina,@Appalachian State,"APP 43, ECU 28","[{'Player': 'Joey Aguilar', 'Stats': '241'}, {'Player': 'Nate Noel', 'Stats': '193'}, {'Player': 'Kaedin Robinson', 'Stats': '57'}]"
UL Monroe,@Texas A&M,"TA&M 47, ULM 3","[{'Player': 'Conner Weigman', 'Stats': '337'}, {'Player': 'Rueben Owens', 'Stats': '51'}, {'Player': 'Ainias Smith', 'Stats': '127'}]"
Idaho,@California,"CAL 31, IDHO 17","[{'Player': 'Gevani McCoy', 'Stats': '279'}, {'Player': 'Isaiah Ifanse', 'Stats': '137'}, {'Player': 'Hayden Hatten', 'Stats': '80'}]"
Tulane,@Southern Miss,"TULN 21, USM 3","[{'Player': 'Kai Horton', 'Stats': '186'}, {'Player': 'Makhi Hughes', 'Stats': '83'}, {'Player': 'Lawrence Keys III', 'Stats': '78'}]"
Georgia State,@Charlotte,"GAST 41, CLT 25","[{'Player': 'Darren Grainger', 'Stats': '466'}, {'Player': 'Jalon Jones', 'Stats': '80'}, {'Player': 'Robert Lewis', 'Stats': '220'}]"
Villanova,@UCF,"UCF 48, VILL 14","[{'Player': 'Timmy McClain', 'Stats': '321'}, {'Player': 'RJ Harvey', 'Stats': '85'}, {'Player': 'Kobe Hudson', 'Stats': '147'}]"
Samford,@Auburn,"AUB 45, SAM 13","[{'Player': 'Payton Thorne', 'Stats': '282'}, {'Player': 'Payton Thorne', 'Stats': '123'}, {'Player': 'Jay Fair', 'Stats': '93'}]"
North Texas,@Louisiana Tech,"UNT 40, LT 37","[{'Player': 'Chandler Rogers', 'Stats': '313'}, {'Player': 'Tyre Shelton', 'Stats': '152'}, {'Player': 'Roderic Burns', 'Stats': '134'}]"
Murray State,@Middle Tennessee,"MTSU 35, MUR 14","[{'Player': 'Nicholas Vattiato', 'Stats': '291'}, {'Player': 'Cortezz Jones', 'Stats': '136'}, {'Player': 'Cole Rusk', 'Stats': '83'}]"
Northern Illinois,@Nebraska,"NEB 35, NIU 11","[{'Player': 'Heinrich Haarberg', 'Stats': '158'}, {'Player': 'Heinrich Haarberg', 'Stats': '98'}, {'Player': 'Thomas Fidone II', 'Stats': '42'}]"
Vanderbilt,@UNLV,"UNLV 40, VAN 37","[{'Player': 'AJ Swann', 'Stats': '335'}, {'Player': ""Jai'Den Thomas50"", 'Stats': ''}, {'Player': 'Ricky White', 'Stats': '165'}]"
Miami (OH),@Cincinnati,"M-OH 31, CIN 24 (OT)","[{'Player': 'Emory Jones', 'Stats': '265'}, {'Player': 'Ryan Montgomery', 'Stats': '104'}, {'Player': 'Xzavier Henderson', 'Stats': '140'}]"
South Alabama,@Oklahoma State,"USA 33, OKST 7","[{'Player': 'Carter Bradley', 'Stats': '152'}, {'Player': ""La'Damian Webb151"", 'Stats': ''}, {'Player': 'Caullin Lacy', 'Stats': '104'}]"
Tarleton State,@Texas Tech,"TTU 41, TAR 3","[{'Player': 'Victor Gabalis', 'Stats': '182'}, {'Player': 'Tahj Brooks', 'Stats': '158'}, {'Player': 'Benjamin Omayebu', 'Stats': '76'}]"
Louisiana,@UAB,"UL 41, UAB 21","[{'Player': 'Jacob Zeno', 'Stats': '280'}, {'Player': 'Jacob Kibodi', 'Stats': '108'}, {'Player': 'Samario Rudolph', 'Stats': '66'}]"
Prairie View A&M,@SMU,"SMU 69, PV 0","[{'Player': 'Preston Stone', 'Stats': '300'}, {'Player': 'Camar Wheaton', 'Stats': '75'}, {'Player': 'Roderick Daniels Jr.96', 'Stats': ''}]"
Texas Southern,@Rice,"RICE 59, TXSO 7","[{'Player': 'JT Daniels', 'Stats': '255'}, {'Player': 'Dean Connors', 'Stats': '66'}, {'Player': 'Kobie Campbell', 'Stats': '70'}]"
Duquesne,@Coastal Carolina,"CCU 66, DUQ 7","[{'Player': 'Grayson McCall', 'Stats': '169'}, {'Player': 'Edward Robinson', 'Stats': '96'}, {'Player': 'Keshawn Brown', 'Stats': '90'}]"
Stony Brook,@Arkansas State,"ARST 31, STBK 7","[{'Player': 'Casey Case', 'Stats': '221'}, {'Player': ""Ja'Quez Cross164"", 'Stats': ''}, {'Player': 'Anthony Johnson', 'Stats': '127'}]"
James Madison,@Troy,"JMU 16, TROY 14","[{'Player': 'Gunnar Watson', 'Stats': '333'}, {'Player': 'Kaelon Black', 'Stats': '78'}, {'Player': 'Chris Lewis', 'Stats': '94'}]"
San José State,@Toledo,"TOL 21, SJSU 17","[{'Player': 'Chevan Cordeiro', 'Stats': '228'}, {'Player': 'Peny Boone', 'Stats': '123'}, {'Player': 'Nick Nash', 'Stats': '80'}]"
BYU,@Arkansas,"BYU 38, ARK 31","[{'Player': 'KJ Jefferson', 'Stats': '247'}, {'Player': 'AJ Green', 'Stats': '86'}, {'Player': 'Andrew Armstrong', 'Stats': '98'}]"
Akron,@Kentucky,"UK 35, AKR 3","[{'Player': 'Devin Leary', 'Stats': '315'}, {'Player': 'Ray Davis', 'Stats': '72'}, {'Player': 'Ray Davis', 'Stats': '97'}]"
Syracuse,@Purdue,"SYR 35, PUR 20","[{'Player': 'Hudson Card', 'Stats': '323'}, {'Player': 'Garrett Shrader', 'Stats': '195'}, {'Player': 'Abdur-Rahmaan Yaseen114', 'Stats': ''}]"
Pittsburgh,@West Virginia,"WVU 17, PITT 6","[{'Player': 'Phil Jurkovec', 'Stats': '81'}, {'Player': 'CJ Donaldson Jr.102', 'Stats': ''}, {'Player': 'Gavin Bartholomew', 'Stats': '39'}]"
New Mexico State,@New Mexico,"NMSU 27, UNM 17","[{'Player': 'Dylan Hopkins', 'Stats': '247'}, {'Player': 'Diego Pavia', 'Stats': '96'}, {'Player': 'Jonathan Brady', 'Stats': '109'}]"
Sacramento State,@Stanford,"SAC 30, STAN 23","[{'Player': 'Kaiden Bennett', 'Stats': '279'}, {'Player': 'Kaiden Bennett', 'Stats': '100'}, {'Player': 'Elic Ayomanor', 'Stats': '89'}]"
Florida Atlantic,@Clemson,"CLEM 48, FAU 14","[{'Player': 'Cade Klubnik', 'Stats': '169'}, {'Player': 'Kobe Lewis', 'Stats': '49'}, {'Player': 'LaJohntay Wester', 'Stats': '108'}]"
TCU,@Houston,"TCU 36, HOU 13","[{'Player': 'Chandler Morris', 'Stats': '314'}, {'Player': 'Emani Bailey', 'Stats': '126'}, {'Player': 'Samuel Brown', 'Stats': '99'}]"
Jackson State,@Texas State,"TXST 77, JKST 34","[{'Player': 'TJ Finley', 'Stats': '251'}, {'Player': 'Malik Hornsby', 'Stats': '133'}, {'Player': 'Drew Donley', 'Stats': '83'}]"
Fresno State,@Arizona State,"FRES 29, ASU 0","[{'Player': 'Mikey Keene', 'Stats': '281'}, {'Player': 'Elijah Gilliam', 'Stats': '69'}, {'Player': 'Erik Brooks', 'Stats': '104'}]"
Kansas,@Nevada,"KU 31, NEV 24","[{'Player': 'Jalon Daniels', 'Stats': '298'}, {'Player': 'Devin Neal', 'Stats': '89'}, {'Player': 'Mason Fairchild', 'Stats': '74'}]"
UTEP,@Arizona,"ARIZ 31, UTEP 10","[{'Player': 'Jayden de Laura', 'Stats': '285'}, {'Player': 'Michael Wiley', 'Stats': '83'}, {'Player': 'Tetairoa McMillan', 'Stats': '89'}]"
