Team,Opo Team,Score,Players
Middle Tennessee,@Liberty,"LIB 42, MTSU 35","[{'Player': 'Nicholas Vattiato', 'Stats': '332'}, {'Player': 'Kaidon Salter', 'Stats': '160'}, {'Player': 'Zack Dobson', 'Stats': '82'}]"
Western Kentucky,@Jacksonville State,"JVST 20, WKU 17","[{'Player': 'Austin Reed', 'Stats': '250'}, {'Player': 'Zion Webb', 'Stats': '146'}, {'Player': 'P.J. Wells53', 'Stats': ''}]"
Southern Miss,@South Alabama,"USA 55, USM 3","[{'Player': 'Carter Bradley', 'Stats': '319'}, {'Player': ""La'Damian Webb102"", 'Stats': ''}, {'Player': 'Jamaal Pritchett', 'Stats': '122'}]"
Florida International,@Sam Houston,"FIU 33, SHSU 27 (2OT)","[{'Player': 'Keegan Shoemaker', 'Stats': '306'}, {'Player': 'Kejon Owens', 'Stats': '60'}, {'Player': 'Noah Smith', 'Stats': '91'}]"
New Mexico State,@UTEP,"NMSU 28, UTEP 7","[{'Player': 'Diego Pavia', 'Stats': '186'}, {'Player': 'Deion Hankins', 'Stats': '120'}, {'Player': 'Eli Stowers', 'Stats': '80'}]"
Rice,@Tulsa,"RICE 42, TLSA 10","[{'Player': 'JT Daniels', 'Stats': '342'}, {'Player': 'Dean Connors', 'Stats': '120'}, {'Player': 'Luke McCaffrey', 'Stats': '99'}]"
James Madison,@Marshall,"JMU 20, MRSH 9","[{'Player': 'Jordan McCloud', 'Stats': '264'}, {'Player': 'Jordan McCloud', 'Stats': '69'}, {'Player': 'Reggie Brown', 'Stats': '126'}]"
SMU,@Temple,"SMU 55, TEM 0","[{'Player': 'Preston Stone', 'Stats': '300'}, {'Player': 'Jaylan Knighton', 'Stats': '64'}, {'Player': 'Romello Brinson', 'Stats': '87'}]"
2Michigan,@Michigan State,"MICH 49, MSU 0","[{'Player': 'J.J. McCarthy287', 'Stats': ''}, {'Player': 'Blake Corum', 'Stats': '59'}, {'Player': 'AJ Barner', 'Stats': '99'}]"
7Penn State,@3Ohio State,"OSU 20, PSU 12","[{'Player': 'Kyle McCord', 'Stats': '286'}, {'Player': 'Miyan Williams', 'Stats': '62'}, {'Player': 'Marvin Harrison Jr.162', 'Stats': ''}]"
16Duke,@4Florida State,"FSU 38, DUKE 20","[{'Player': 'Jordan Travis', 'Stats': '268'}, {'Player': 'Jaquez Moore', 'Stats': '110'}, {'Player': 'Johnny Wilson', 'Stats': '58'}]"
Arizona State,@5Washington,"WASH 15, ASU 7","[{'Player': 'Michael Penix Jr.275', 'Stats': ''}, {'Player': 'DeCarlos Brooks', 'Stats': '63'}, {'Player': ""Ja'Lynn Polk102"", 'Stats': ''}]"
UCF,@6Oklahoma,"OU 31, UCF 29","[{'Player': 'Dillon Gabriel', 'Stats': '253'}, {'Player': 'RJ Harvey', 'Stats': '101'}, {'Player': 'Javon Baker', 'Stats': '134'}]"
8Texas,@Houston,"TEX 31, HOU 24","[{'Player': 'Donovan Smith', 'Stats': '378'}, {'Player': 'Jonathon Brooks', 'Stats': '99'}, {'Player': 'Xavier Worthy', 'Stats': '92'}]"
Washington State,@9Oregon,"ORE 38, WSU 24","[{'Player': 'Cameron Ward', 'Stats': '438'}, {'Player': 'Bucky Irving', 'Stats': '129'}, {'Player': 'Lincoln Victor', 'Stats': '161'}]"
Virginia,@10North Carolina,"UVA 31, UNC 27","[{'Player': 'Drake Maye', 'Stats': '347'}, {'Player': 'Omarion Hampton', 'Stats': '112'}, {'Player': 'Devontez Walker', 'Stats': '146'}]"
17Tennessee,@11Alabama,"ALA 34, TENN 20","[{'Player': 'Joe Milton III', 'Stats': '271'}, {'Player': 'Jase McClellan', 'Stats': '115'}, {'Player': 'Squirrel White', 'Stats': '111'}]"
13Ole Miss,@Auburn,"MISS 28, AUB 21","[{'Player': 'Jaxson Dart', 'Stats': '202'}, {'Player': 'Quinshon Judkins', 'Stats': '124'}, {'Player': 'Tre Harris', 'Stats': '102'}]"
14Utah,@18USC,"UTAH 34, USC 32","[{'Player': 'Caleb Williams', 'Stats': '256'}, {'Player': ""Ja'Quinden Jackson117"", 'Stats': ''}, {'Player': 'Sione Vaki', 'Stats': '149'}]"
Army,@19LSU,"LSU 62, ARMY 0","[{'Player': 'Jayden Daniels', 'Stats': '279'}, {'Player': 'Kanye Udoh', 'Stats': '108'}, {'Player': 'Brian Thomas Jr.122', 'Stats': ''}]"
South Carolina,@20Missouri,"MIZ 34, SC 12","[{'Player': 'Spencer Rattler', 'Stats': '217'}, {'Player': 'Cody Schrader', 'Stats': '159'}, {'Player': 'Luther Burden III', 'Stats': '97'}]"
22Air Force,@Navy,"AFA 17, NAVY 6","[{'Player': 'Zac Larrier', 'Stats': '151'}, {'Player': 'Emmanuel Michel', 'Stats': '69'}, {'Player': 'Dane Kinamon', 'Stats': '94'}]"
North Texas,@23Tulane,"TULN 35, UNT 28","[{'Player': 'Chandler Rogers', 'Stats': '343'}, {'Player': 'Makhi Hughes', 'Stats': '121'}, {'Player': 'Lawrence Keys III', 'Stats': '78'}]"
Minnesota,@24Iowa,"MINN 12, IOWA 10","[{'Player': 'Athan Kaliakmanis', 'Stats': '126'}, {'Player': 'Darius Taylor', 'Stats': '59'}, {'Player': 'Daniel Jackson', 'Stats': '101'}]"
25UCLA,@Stanford,"UCLA 42, STAN 7","[{'Player': 'Ashton Daniels', 'Stats': '268'}, {'Player': 'Carson Steele', 'Stats': '76'}, {'Player': 'Elic Ayomanor', 'Stats': '90'}]"
Mississippi State,@Arkansas,"MSST 7, ARK 3","[{'Player': 'KJ Jefferson', 'Stats': '97'}, {'Player': 'Mike Wright', 'Stats': '60'}, {'Player': 'Justin Robinson', 'Stats': '40'}]"
Rutgers,@Indiana,"RUTG 31, IU 14","[{'Player': 'Brendan Sorsby', 'Stats': '126'}, {'Player': 'Gavin Wimsatt', 'Stats': '143'}, {'Player': 'Omar Cooper Jr.35', 'Stats': ''}]"
Boston College,@Georgia Tech,"BC 38, GT 23","[{'Player': 'Thomas Castellanos', 'Stats': '255'}, {'Player': 'Kye Robichaux', 'Stats': '165'}, {'Player': 'Lewis Bond', 'Stats': '72'}]"
Baylor,@Cincinnati,"BAY 32, CIN 29","[{'Player': 'Blake Shapen', 'Stats': '316'}, {'Player': 'Corey Kiner', 'Stats': '129'}, {'Player': 'Ketron Jackson Jr.130', 'Stats': ''}]"
Memphis,@UAB,"MEM 45, UAB 21","[{'Player': 'Seth Henigan', 'Stats': '159'}, {'Player': 'Blake Watson', 'Stats': '125'}, {'Player': 'Koby Drake', 'Stats': '51'}]"
Western Michigan,@Ohio,"OHIO 20, WMU 17","[{'Player': 'Hayden Wolff', 'Stats': '290'}, {'Player': 'Sieh Bangura', 'Stats': '86'}, {'Player': 'Sam Wiglusz', 'Stats': '155'}]"
Charlotte,@East Carolina,"CLT 10, ECU 7","[{'Player': 'Jalon Jones', 'Stats': '144'}, {'Player': 'Jalon Jones', 'Stats': '127'}, {'Player': 'Colin Weber', 'Stats': '40'}]"
UL Monroe,@Georgia Southern,"GASO 38, ULM 28","[{'Player': 'Blake Murphy', 'Stats': '320'}, {'Player': 'Jalen White', 'Stats': '164'}, {'Player': 'Bugs Mortimer', 'Stats': '135'}]"
Akron,@Bowling Green,"BGSU 41, AKR 14","[{'Player': 'Jeff Undercuffler Jr.234', 'Stats': ''}, {'Player': 'Terion Stewart', 'Stats': '131'}, {'Player': 'Daniel George', 'Stats': '74'}]"
Wisconsin,@Illinois,"WIS 25, ILL 21","[{'Player': 'Braedyn Locke', 'Stats': '240'}, {'Player': 'Braelon Allen', 'Stats': '145'}, {'Player': 'Will Pauling', 'Stats': '95'}]"
Northwestern,@Nebraska,"NEB 17, NU 9","[{'Player': 'Brendan Sullivan', 'Stats': '176'}, {'Player': 'Emmett Johnson', 'Stats': '73'}, {'Player': 'Bryce Kirtz', 'Stats': '96'}]"
South Florida,@UConn,"USF 24, CONN 21","[{'Player': 'Byrum Brown', 'Stats': '203'}, {'Player': ""Nay'Quan Wright186"", 'Stats': ''}, {'Player': 'Michael Brown-Stephens92', 'Stats': ''}]"
Pittsburgh,@Wake Forest,"WAKE 21, PITT 17","[{'Player': 'Christian Veilleux', 'Stats': '302'}, {'Player': ""C'Bo Flemister105"", 'Stats': ''}, {'Player': 'Bub Means', 'Stats': '109'}]"
Oklahoma State,@West Virginia,"OKST 48, WVU 34","[{'Player': 'Garrett Greene', 'Stats': '249'}, {'Player': 'Ollie Gordon II', 'Stats': '282'}, {'Player': 'Preston Fox', 'Stats': '81'}]"
Central Michigan,@Ball State,"BALL 24, CMU 17","[{'Player': 'Jase Bauer', 'Stats': '161'}, {'Player': 'Marquez Cooper', 'Stats': '162'}, {'Player': 'Tyson Davis', 'Stats': '65'}]"
Eastern Michigan,@Northern Illinois,"NIU 20, EMU 13","[{'Player': 'Rocky Lombardi', 'Stats': '173'}, {'Player': 'Gavin Williams', 'Stats': '80'}, {'Player': 'Hamze El-Zayat74', 'Stats': ''}]"
Buffalo,@Kent State,"BUFF 24, KENT 6","[{'Player': 'Cole Snyder', 'Stats': '195'}, {'Player': 'Jacqez Barksdale', 'Stats': '84'}, {'Player': 'Marlyn Johnson', 'Stats': '64'}]"
Toledo,@Miami (OH),"TOL 21, M-OH 17","[{'Player': 'Brett Gabbert', 'Stats': '179'}, {'Player': 'Peny Boone', 'Stats': '73'}, {'Player': 'Gage Larvadain', 'Stats': '85'}]"
UTSA,@Florida Atlantic,"UTSA 36, FAU 10","[{'Player': 'Frank Harris', 'Stats': '261'}, {'Player': 'Kevorian Barnes', 'Stats': '56'}, {'Player': ""Je'Quan Burton68"", 'Stats': ''}]"
Hawai'i,@New Mexico,"UNM 42, HAW 21","[{'Player': 'Brayden Schager', 'Stats': '345'}, {'Player': 'Andrew Henry', 'Stats': '112'}, {'Player': 'Steven McBride', 'Stats': '75'}]"
Texas Tech,@BYU,"BYU 27, TTU 14","[{'Player': 'Jake Strong', 'Stats': '236'}, {'Player': 'Tahj Brooks', 'Stats': '105'}, {'Player': 'Xavier White', 'Stats': '98'}]"
TCU,@Kansas State,"KSU 41, TCU 3","[{'Player': 'Josh Hoover', 'Stats': '187'}, {'Player': 'Emani Bailey', 'Stats': '100'}, {'Player': 'Jayce Brown', 'Stats': '88'}]"
Appalachian State,@Old Dominion,"ODU 28, APP 21","[{'Player': 'Joey Aguilar', 'Stats': '252'}, {'Player': 'Kanye Roberts', 'Stats': '109'}, {'Player': 'Kaedin Robinson', 'Stats': '103'}]"
Coastal Carolina,@Arkansas State,"CCU 27, ARST 17","[{'Player': 'Jaylen Raynor', 'Stats': '306'}, {'Player': 'Max Balthazar', 'Stats': '79'}, {'Player': 'Corey Rucker', 'Stats': '104'}]"
Colorado State,@UNLV,"UNLV 25, CSU 23","[{'Player': 'Jayden Maiava', 'Stats': '353'}, {'Player': 'Vann Schield', 'Stats': '90'}, {'Player': 'Jacob De Jesus', 'Stats': '120'}]"
Utah State,@San José State,"SJSU 42, USU 21","[{'Player': 'McCae Hillstead', 'Stats': '160'}, {'Player': 'Kairee Robinson', 'Stats': '102'}, {'Player': 'Jalen Royals', 'Stats': '60'}]"
Clemson,@Miami,"MIA 28, CLEM 20 (2OT)","[{'Player': 'Cade Klubnik', 'Stats': '314'}, {'Player': 'Brashard Smith', 'Stats': '87'}, {'Player': 'Jake Briningstool', 'Stats': '126'}]"
Georgia State,@Louisiana,"GAST 20, UL 17","[{'Player': 'Darren Grainger', 'Stats': '211'}, {'Player': 'Zeon Chriss', 'Stats': '119'}, {'Player': 'Tailique Williams', 'Stats': '81'}]"
Nevada,@San Diego State,"NEV 6, SDSU 0","[{'Player': 'Brendon Lewis', 'Stats': '98'}, {'Player': 'Jalen Mayden', 'Stats': '52'}, {'Player': 'Dalevon Campbell', 'Stats': '44'}]"
