Team,Opo Team,Score,Players
Toledo,@Bowling Green,7:00 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $21', 'Stats': ''}, {'Player': 'Doyt L. Perry Stadium, Bowling Green, OH', 'Stats': ''}]"
Western Michigan,@Northern Illinois,7:00 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $6', 'Stats': ''}, {'Player': 'Huskie Stadium, Dekalb, IL', 'Stats': ''}]"
Akron,@Eastern Michigan,7:00 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $15', 'Stats': ''}, {'Player': 'Rynearson Stadium, Ypsilanti, MI', 'Stats': ''}]"
Central Michigan,@Ohio,7:00 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $5', 'Stats': ''}, {'Player': 'Peden Stadium, Athens, OH', 'Stats': ''}]"
Buffalo,@Miami (OH),7:00 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $17', 'Stats': ''}, {'Player': 'Yager Stadium, Oxford, OH', 'Stats': ''}]"
Boston College,@Pittsburgh,7:00 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $9', 'Stats': ''}, {'Player': 'Acrisure Stadium, Pittsburgh, PA', 'Stats': ''}]"
South Florida,@UTSA,9:00 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $5', 'Stats': ''}, {'Player': 'Alamodome, San Antonio, TX', 'Stats': ''}]"
Colorado,@Washington State,10:30 PM,"[{'Player': 'FS', 'Stats': '1'}, {'Player': 'Tickets as low as $46', 'Stats': ''}, {'Player': 'Gesa Field, Pullman, WA', 'Stats': ''}]"
Minnesota,@1Ohio State,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $39', 'Stats': ''}, {'Player': 'Ohio Stadium, Columbus, OH', 'Stats': ''}]"
2Georgia,@17Tennessee,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $192', 'Stats': ''}, {'Player': 'Neyland Stadium, Knoxville, TN', 'Stats': ''}]"
3Michigan,@Maryland,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $70', 'Stats': ''}, {'Player': 'SECU Stadium, College Park, MD', 'Stats': ''}]"
North Alabama,@4Florida State,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $21', 'Stats': ''}, {'Player': 'Doak Campbell Stadium, Tallahassee, FL', 'Stats': ''}]"
5Washington,@16Oregon State,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $104', 'Stats': ''}, {'Player': 'Reser Stadium, Corvallis, OR', 'Stats': ''}]"
6Oregon,@Arizona State,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $22', 'Stats': ''}, {'Player': 'Mountain America Stadium, Tempe, AZ', 'Stats': ''}]"
7Texas,@Iowa State,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $23', 'Stats': ''}, {'Player': 'Jack Trice Stadium, Ames, IA', 'Stats': ''}]"
9Oklahoma,@BYU,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $97', 'Stats': ''}, {'Player': 'LaVell Edwards Stadium, Provo, UT', 'Stats': ''}]"
UL Monroe,@10Ole Miss,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $4', 'Stats': ''}, {'Player': 'Vaught-Hemingway Stadium, Oxford, MS', 'Stats': ''}]"
Rutgers,@11Penn State,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $16', 'Stats': ''}, {'Player': 'Beaver Stadium, University Park, PA', 'Stats': ''}]"
Florida,@12Missouri,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $37', 'Stats': ''}, {'Player': 'Memorial Stadium/Faurot Field, Columbia, MO', 'Stats': ''}]"
13Louisville,@Miami,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $15', 'Stats': ''}, {'Player': 'Hard Rock Stadium, Miami Gardens, FL', 'Stats': ''}]"
Georgia State,@14LSU,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $8', 'Stats': ''}, {'Player': 'Tiger Stadium (LA), Baton Rouge, LA', 'Stats': ''}]"
18Utah,@Arizona,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $12', 'Stats': ''}, {'Player': 'Arizona Stadium, Tucson, AZ', 'Stats': ''}]"
19UCLA,@20USC,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $89', 'Stats': ''}, {'Player': 'Los Angeles Memorial Coliseum, Los Angeles, CA', 'Stats': ''}]"
23Kansas State,@21Kansas,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $99', 'Stats': ''}, {'Player': 'David Booth Kansas Memorial Stadium, Lawrence, KS', 'Stats': ''}]"
22Oklahoma State,@Houston,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $4', 'Stats': ''}, {'Player': 'TDECU Stadium, Houston, TX', 'Stats': ''}]"
24Tulane,@Florida Atlantic,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $12', 'Stats': ''}, {'Player': 'FAU Stadium, Boca Raton, FL', 'Stats': ''}]"
Florida International,@Arkansas,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $3', 'Stats': ''}, {'Player': 'Razorback Stadium, Fayetteville, AR', 'Stats': ''}]"
New Mexico State,@Auburn,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $6', 'Stats': ''}, {'Player': 'Jordan-Hare Stadium, Auburn, AL', 'Stats': ''}]"
Michigan State,@Indiana,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $8', 'Stats': ''}, {'Player': 'Memorial Stadium (Bloomington, IN), Bloomington, IN', 'Stats': ''}]"
Illinois,@Iowa,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $29', 'Stats': ''}, {'Player': 'Kinnick Stadium, Iowa City, IA', 'Stats': ''}]"
Purdue,@Northwestern,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $7', 'Stats': ''}, {'Player': 'Ryan Field, Evanston, IL', 'Stats': ''}]"
Kentucky,@South Carolina,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $22', 'Stats': ''}, {'Player': 'Williams-Brice Stadium, Columbia, SC', 'Stats': ''}]"
Nebraska,@Wisconsin,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $20', 'Stats': ''}, {'Player': 'Camp Randall Stadium, Madison, WI', 'Stats': ''}]"
California,@Stanford,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $47', 'Stats': ''}, {'Player': 'Stanford Stadium, Stanford, CA', 'Stats': ''}]"
North Carolina,@Clemson,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $18', 'Stats': ''}, {'Player': 'Memorial Stadium (Clemson, SC), Clemson, SC', 'Stats': ''}]"
Duke,@Virginia,TBD,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $17', 'Stats': ''}, {'Player': 'Scott Stadium, Charlottesville, VA', 'Stats': ''}]"
