Player,School,POS,CMP,ATT,CMP%,YDS,AVG,LNG,TD,INT,SACK,RTG
Zeon Chriss,UL,['QB'],['90'],['136'],['66.2'],"['1,051']",['7.7'],['60'],['10'],['5'],['8'],['148.0']
Connor Bazelak,BGSU,['QB'],['93'],['161'],['57.8'],"['1,023']",['6.4'],['58'],['7'],['6'],['14'],['118.0']
Tony Muskett,UVA,['QB'],['92'],['145'],['63.4'],"['1,020']",['7.0'],['64'],['6'],['4'],['22'],['130.7']
Jack Turner,LT,['QB'],['83'],['143'],['58.0'],"['1,011']",['7.1'],['85'],['5'],['5'],['4'],['122.0']
Timmy McClain,UCF,['QB'],['62'],['97'],['63.9'],"['1,008']",['10.4'],['69'],['9'],['2'],['10'],['177.7']
Conner Weigman,TA&M,['QB'],['82'],['119'],['68.9'],['979'],['8.2'],['44'],['8'],['2'],['3'],['156.8']
Behren Morton,TTU,['QB'],['96'],['155'],['61.9'],['978'],['6.3'],['44'],['10'],['2'],['9'],['133.6']
Brennan Armstrong,NCSU,['QB'],['94'],['160'],['58.8'],['971'],['6.1'],['64'],['5'],['6'],['9'],['112.5']
Gavin Hardison,UTEP,['QB'],['73'],['129'],['56.6'],['947'],['7.3'],['51'],['5'],['7'],['14'],['120.2']
Alex Flinn,ECU,['QB'],['95'],['186'],['51.1'],['943'],['5.1'],['39'],['4'],['7'],['18'],['93.2']
Taisun Phommachanh,MASS,['QB'],['90'],['139'],['64.7'],['934'],['6.7'],['71'],['3'],['3'],['18'],['124.0']
Michael Alaimo,KENT,['QB'],['79'],['144'],['54.9'],['932'],['6.5'],['43'],['2'],['4'],['27'],['108.3']
Ben Bryant,NU,['QB'],['95'],['161'],['59.0'],['926'],['5.8'],['80'],['6'],['3'],['15'],['115.9']
Anthony Colandrea,UVA,['QB'],['63'],['102'],['61.8'],['923'],['9.0'],['75'],['5'],['6'],['8'],['142.2']
Tayven Jackson,IU,['QB'],['78'],['128'],['60.9'],['914'],['7.1'],['41'],['2'],['5'],['8'],['118.3']
Jeff Undercuffler Jr.,AKR,['QB'],['83'],['135'],['61.5'],['896'],['6.6'],['39'],['4'],['6'],['13'],['118.1']
McCae Hillstead,USU,['QB'],['69'],['119'],['58.0'],['890'],['7.5'],['76'],['10'],['7'],['11'],['136.8']
Carlos Davis,MASS,['QB'],['62'],['101'],['61.4'],['886'],['8.8'],['67'],['6'],['3'],['6'],['148.7']
Hayden Wolff,WMU,['QB'],['88'],['132'],['66.7'],['867'],['6.6'],['49'],['5'],['2'],['8'],['131.3']
Ken Seals,VAN,['QB'],['69'],['113'],['61.1'],['858'],['7.6'],['85'],['8'],['3'],['7'],['142.9']
Heinrich Haarberg,NEB,['QB'],['64'],['124'],['51.6'],['838'],['6.8'],['73'],['7'],['4'],['12'],['120.6']
Phil Jurkovec,PITT,['QB'],['57'],['112'],['50.9'],['818'],['7.3'],['75'],['6'],['3'],['12'],['124.6']
Jiya Wright,ULM,['QB'],['69'],['127'],['54.3'],['775'],['6.1'],['45'],['7'],['6'],['10'],['114.3']
Christian Veilleux,PITT,['QB'],['66'],['127'],['52.0'],['774'],['6.1'],['46'],['5'],['6'],['4'],['106.7']
Bryson Barnes,UTAH,['QB'],['67'],['118'],['56.8'],['769'],['6.5'],['70'],['4'],['5'],['7'],['114.2']
Tyler Shough,TTU,['QB'],['67'],['111'],['60.4'],['746'],['6.7'],['46'],['7'],['4'],['9'],['130.4']
Zion Webb,JVST,['QB'],['62'],['124'],['50.0'],['744'],['6.0'],['63'],['3'],['3'],['6'],['103.5']
Bryson Daily,ARMY,['QB'],['45'],['90'],['50.0'],['740'],['8.2'],['80'],['6'],['6'],['6'],['127.7']
Maddux Madsen,BOIS,['QB'],['53'],['79'],['67.1'],['731'],['9.3'],['83'],['6'],['2'],['4'],['164.8']
DJ Irons,AKR,['QB'],['88'],['133'],['66.2'],['722'],['5.4'],['77'],['3'],['3'],['14'],['114.7']
Treyson Bourguet,WMU,['QB'],['57'],['103'],['55.3'],['713'],['6.9'],['64'],['4'],['1'],['7'],['124.4']
Jalon Daniels,KU,['QB'],['56'],['75'],['74.7'],['705'],['9.4'],['59'],['5'],['1'],['5'],['173.0']
Cade McConnell,UTEP,['QB'],['42'],['82'],['51.2'],['695'],['8.5'],['80'],['3'],['1'],['6'],['132.1']
Brendan Sorsby,IU,['QB'],['58'],['107'],['54.2'],['689'],['6.4'],['90'],['6'],['1'],['7'],['124.9']
Trexler Ivey,CLT,['QB'],['57'],['101'],['56.4'],['669'],['6.6'],['51'],['3'],['4'],['12'],['114.0']
Zac Larrier,AFA,['QB'],['28'],['40'],['70.0'],['651'],['16.3'],['94'],['6'],['0'],['5'],['256.2']
Fernando Mendoza,CAL,['QB'],['56'],['89'],['62.9'],['648'],['7.3'],['48'],['6'],['3'],['4'],['139.6']
Sawyer Robertson,BAY,['QB'],['48'],['97'],['49.5'],['647'],['6.7'],['55'],['1'],['4'],['6'],['100.7']
Ethan Garbers,UCLA,['QB'],['51'],['73'],['69.9'],['643'],['8.8'],['49'],['5'],['3'],['6'],['158.2']
Logan Smothers,JVST,['QB'],['59'],['103'],['57.3'],['642'],['6.2'],['37'],['5'],['2'],['6'],['121.8']
Brendan Sullivan,NU,['QB'],['51'],['80'],['63.8'],['633'],['7.9'],['66'],['5'],['2'],['19'],['145.8']
Jalon Jones,CLT,['QB'],['64'],['104'],['61.5'],['623'],['6.0'],['48'],['2'],['4'],['12'],['110.5']
Blake Murphy,ULM,['QB'],['43'],['77'],['55.8'],['620'],['8.1'],['54'],['3'],['1'],['5'],['133.7']
MJ Morris,NCSU,['QB'],['52'],['92'],['56.5'],['596'],['6.5'],['72'],['6'],['4'],['7'],['123.8']
Ben Finley,CAL,['QB'],['54'],['93'],['58.1'],['572'],['6.2'],['50'],['3'],['4'],['3'],['111.8']
Layne Hatcher,BALL,['QB'],['61'],['95'],['64.2'],['565'],['5.9'],['57'],['4'],['1'],['11'],['126.0']
Sam Jackson V,CAL,['QB'],['51'],['96'],['53.1'],['556'],['5.8'],['36'],['5'],['2'],['5'],['114.8']
Braedyn Locke,WIS,['QB'],['55'],['111'],['49.5'],['534'],['4.8'],['32'],['3'],['1'],['4'],['97.1']
Tai Lavatai,NAVY,['QB'],['40'],['75'],['53.3'],['522'],['7.0'],['58'],['4'],['2'],['4'],['124.1']
Casey Thompson,FAU,['QB'],['50'],['79'],['63.3'],['509'],['6.4'],['72'],['5'],['5'],['3'],['125.6']
Katin Houser,MSU,['QB'],['51'],['89'],['57.3'],['509'],['5.7'],['61'],['2'],['2'],['6'],['108.3']
Ben Wooldridge,UL,['QB'],['39'],['69'],['56.5'],['508'],['7.4'],['50'],['5'],['1'],['3'],['139.4']
Cade McNamara,IOWA,['QB'],['46'],['90'],['51.1'],['505'],['5.6'],['36'],['4'],['3'],['8'],['106.2']
Nate Johnson,UTAH,['QB'],['39'],['72'],['54.2'],['499'],['6.9'],['49'],['3'],['0'],['8'],['126.1']
Grant Wells,VT,['QB'],['33'],['62'],['53.2'],['494'],['8.0'],['44'],['5'],['2'],['3'],['140.3']
Kai Horton,TULN,['QB'],['31'],['62'],['50.0'],['485'],['7.8'],['57'],['3'],['2'],['7'],['125.2']
Kadin Semonza,BALL,['QB'],['50'],['82'],['61.0'],['480'],['5.9'],['27'],['3'],['5'],['6'],['110.0']
Tommy Ulatowski,KENT,['QB'],['34'],['71'],['47.9'],['437'],['6.2'],['43'],['6'],['1'],['3'],['124.7']
Deacon Hill,IOWA,['QB'],['37'],['98'],['37.8'],['427'],['4.4'],['36'],['2'],['3'],['9'],['75.0']
Jarrett Guest,CCU,['QB'],['18'],['25'],['72.0'],['417'],['16.7'],['64'],['4'],['1'],['0'],['256.9']
Justin Lamson,STAN,['QB'],['31'],['65'],['47.7'],['416'],['6.4'],['38'],['0'],['1'],['11'],['98.4']
Jake Strong,TTU,['QB'],['35'],['65'],['53.8'],['409'],['6.3'],['72'],['2'],['6'],['0'],['98.4']
Mason Garcia,ECU,['QB'],['48'],['95'],['50.5'],['408'],['4.3'],['45'],['1'],['2'],['3'],['85.9']
Jaden Rashada,ASU,['QB'],['34'],['60'],['56.7'],['403'],['6.7'],['65'],['3'],['1'],['4'],['126.3']
Logan Fife,FRES,['QB'],['31'],['53'],['58.5'],['377'],['7.1'],['29'],['2'],['1'],['5'],['126.9']
