Player,School,POS,CMP,ATT,CMP%,YDS,AVG,LNG,TD,INT,SACK,RTG
Alex Padilla,SMU,['QB'],['4'],['5'],['80.0'],['58'],['11.6'],['26'],['0'],['0'],['0'],['177.4']
Walker Howard,MISS,['QB'],['3'],['4'],['75.0'],['56'],['14.0'],['29'],['0'],['0'],['0'],['192.6']
Terrell McDonald,UAB,['TE'],['1'],['1'],['100.0'],['55'],['55.0'],['55'],['0'],['0'],['0'],['562.0']
Markel Johnson,ARMY,['RB'],['1'],['1'],['100.0'],['55'],['55.0'],['55'],['0'],['0'],['0'],['562.0']
Sam Horn,MIZ,['QB'],['3'],['5'],['60.0'],['54'],['10.8'],['31'],['1'],['1'],['0'],['176.7']
DJ Riles,MTSU,['QB'],['4'],['5'],['80.0'],['53'],['10.6'],['37'],['0'],['0'],['0'],['169.0']
Gunner Stockton,UGA,['QB'],['6'],['9'],['66.7'],['52'],['5.8'],['20'],['0'],['1'],['1'],['93.0']
Jaelen Gill,FRES,['WR'],['2'],['2'],['100.0'],['51'],['25.5'],['32'],['2'],['0'],['0'],['644.2']
Malik Hornsby,TXST,['QB'],['4'],['7'],['57.1'],['51'],['7.3'],['21'],['0'],['1'],['0'],['89.8']
Harrison Bailey,LOU,['QB'],['3'],['5'],['60.0'],['51'],['10.2'],['34'],['1'],['0'],['0'],['211.7']
Ashton Frye,JVST,['QB'],['5'],['11'],['45.5'],['51'],['4.6'],['19'],['0'],['0'],['0'],['84.4']
Jayden Denegal,MICH,['QB'],['4'],['5'],['80.0'],['50'],['10.0'],['35'],['1'],['0'],['0'],['230.0']
Max Brown,FLA,['QB'],['6'],['7'],['85.7'],['50'],['7.1'],['16'],['0'],['0'],['0'],['145.7']
Goose Crowder,TROY,['QB'],['5'],['6'],['83.3'],['49'],['8.2'],['26'],['0'],['0'],['1'],['151.9']
John Alan Richter,TOL,['QB'],['3'],['4'],['75.0'],['49'],['12.3'],['33'],['0'],['0'],['0'],['177.9']
Trace Campbell,UAB,['QB'],['4'],['9'],['44.4'],['47'],['5.2'],['20'],['0'],['0'],['0'],['88.3']
Donaven McCulley,IU,['WR'],['1'],['1'],['100.0'],['44'],['44.0'],['44'],['1'],['0'],['0'],['799.6']
Paul Tyson,CLEM,['QB'],['3'],['4'],['75.0'],['42'],['10.5'],['24'],['1'],['0'],['0'],['245.7']
Bryce Archie,USF,['QB'],['5'],['10'],['50.0'],['42'],['4.2'],['18'],['0'],['0'],['4'],['85.3']
Noah Smith,SHSU,['WR'],['2'],['3'],['66.7'],['40'],['13.3'],['26'],['0'],['0'],['1'],['178.7']
Lincoln Victor,WSU,['WR'],['1'],['2'],['50.0'],['39'],['19.5'],['39'],['0'],['0'],['0'],['213.8']
Luke Bauer,MIZ,['PK'],['1'],['1'],['100.0'],['39'],['39.0'],['39'],['1'],['0'],['0'],['757.6']
CJ Ogbonna,BUFF,['QB'],['5'],['15'],['33.3'],['38'],['2.5'],['24'],['1'],['2'],['0'],['49.9']
Walter Taylor,VAN,['QB'],['4'],['12'],['33.3'],['38'],['3.2'],['28'],['0'],['1'],['3'],['43.3']
Dom Shoffner,CLT,['QB'],['4'],['6'],['66.7'],['37'],['6.2'],['20'],['0'],['0'],['0'],['118.5']
Parker Kingston,BYU,['WR'],['1'],['1'],['100.0'],['37'],['37.0'],['37'],['1'],['0'],['0'],['740.8']
Xavier Worthy,TEX,['WR'],['1'],['1'],['100.0'],['35'],['35.0'],['35'],['0'],['0'],['0'],['394.0']
Chandler Fields,UL,['QB'],['2'],['3'],['66.7'],['34'],['11.3'],['23'],['0'],['1'],['1'],['95.2']
Brock Domann,LOU,['QB'],['4'],['4'],['100.0'],['34'],['8.5'],['17'],['0'],['0'],['0'],['171.4']
Javion Posey,FAU,['WR'],['1'],['1'],['100.0'],['33'],['33.0'],['33'],['1'],['0'],['0'],['707.2']
Hayden Timosciek,BGSU,['QB'],['6'],['10'],['60.0'],['33'],['3.3'],['12'],['0'],['2'],['0'],['47.7']
Kai Kroeger,SC,['P'],['1'],['1'],['100.0'],['32'],['32.0'],['32'],['0'],['0'],['0'],['368.8']
Jake McNamara,UTEP,['QB'],['3'],['7'],['42.9'],['32'],['4.6'],['15'],['0'],['1'],['0'],['52.7']
Martin Blake,SDSU,['RB'],['1'],['1'],['100.0'],['32'],['32.0'],['32'],['0'],['0'],['0'],['368.8']
Evan Simon,RUTG,['QB'],['2'],['3'],['66.7'],['30'],['10.0'],['20'],['1'],['0'],['0'],['260.7']
Tory Horton,CSU,['WR'],['1'],['2'],['50.0'],['30'],['15.0'],['30'],['1'],['1'],['0'],['241.0']
Braden Smith,CIN,['WR'],['1'],['3'],['33.3'],['30'],['10.0'],['30'],['0'],['0'],['0'],['117.3']
Jacolby Criswell,ARK,['QB'],['2'],['2'],['100.0'],['28'],['14.0'],['14'],['1'],['0'],['0'],['382.6']
Fred Farrier II,UAB,['WR'],['1'],['1'],['100.0'],['28'],['28.0'],['28'],['0'],['0'],['0'],['335.2']
Dylan Rizk,UCF,['QB'],['4'],['5'],['80.0'],['28'],['5.6'],['15'],['0'],['0'],['1'],['127.0']
OJ Arnold,GASO,['RB'],['1'],['1'],['100.0'],['26'],['26.0'],['26'],['1'],['0'],['0'],['648.4']
Savion Red,TEX,['RB'],['1'],['1'],['100.0'],['25'],['25.0'],['25'],['0'],['0'],['0'],['310.0']
Wyatt Begeal,ARST,['WR'],['1'],['1'],['100.0'],['24'],['24.0'],['24'],['0'],['0'],['0'],['301.6']
Giles Pooler,CSU,['QB'],['1'],['1'],['100.0'],['24'],['24.0'],['24'],['1'],['0'],['0'],['631.6']
Simeon Evans,SHSU,['QB'],['1'],['1'],['100.0'],['23'],['23.0'],['23'],['0'],['0'],['0'],['293.2']
Ajani Sheppard,RUTG,['QB'],['2'],['2'],['100.0'],['23'],['11.5'],['13'],['0'],['0'],['0'],['196.6']
Collin Schlee,UCLA,['QB'],['3'],['8'],['37.5'],['22'],['2.8'],['15'],['0'],['2'],['0'],['10.6']
Jeshaun Jones,MD,['WR'],['1'],['1'],['100.0'],['21'],['21.0'],['21'],['0'],['0'],['0'],['276.4']
Traylon Ray,WVU,['WR'],['1'],['1'],['100.0'],['21'],['21.0'],['21'],['0'],['0'],['0'],['276.4']
Zach Pyron,GT,['QB'],['3'],['5'],['60.0'],['20'],['4.0'],['20'],['0'],['1'],['0'],['53.6']
Larry Robinson,ARMY,['QB'],['2'],['6'],['33.3'],['20'],['3.3'],['13'],['0'],['1'],['0'],['28.0']
Will Pauling,WIS,['WR'],['1'],['1'],['100.0'],['19'],['19.0'],['19'],['0'],['0'],['0'],['259.6']
Thomas Leo,UL,['PK'],['1'],['1'],['100.0'],['18'],['18.0'],['18'],['0'],['0'],['0'],['251.2']
Nick Haberer,WSU,['P'],['1'],['1'],['100.0'],['18'],['18.0'],['18'],['0'],['0'],['0'],['251.2']
Cameron Edge,MD,['QB'],['2'],['3'],['66.7'],['18'],['6.0'],['11'],['0'],['0'],['1'],['117.1']
Luke Doty,SC,['QB'],['2'],['4'],['50.0'],['17'],['4.3'],['11'],['0'],['0'],['1'],['85.7']
Chase Penry,BOIS,['WR'],['1'],['1'],['100.0'],['17'],['17.0'],['17'],['0'],['0'],['0'],['242.8']
Deuce Spann,FSU,['WR'],['1'],['1'],['100.0'],['17'],['17.0'],['17'],['0'],['0'],['0'],['242.8']
J.J. Kohl,ISU,['QB'],['8'],['9'],['88.9'],['17'],['1.9'],['8'],['0'],['0'],['1'],['104.8']
Micah Leon,FLA,['QB'],['2'],['3'],['66.7'],['16'],['5.3'],['9'],['0'],['0'],['0'],['111.5']
Chase Griffin,UCLA,['QB'],['1'],['1'],['100.0'],['16'],['16.0'],['16'],['0'],['0'],['1'],['234.4']
DC Tabscott,UNM,['QB'],['1'],['5'],['20.0'],['16'],['3.2'],['16'],['0'],['1'],['0'],['6.9']
Malachi Thomas,VT,['RB'],['1'],['1'],['100.0'],['16'],['16.0'],['16'],['1'],['0'],['0'],['564.4']
Brett Griffis,JMU,['QB'],['2'],['2'],['100.0'],['16'],['8.0'],['11'],['0'],['0'],['0'],['167.2']
Colten Gauthier,SC,['QB'],['1'],['2'],['50.0'],['15'],['7.5'],['15'],['0'],['0'],['0'],['113.0']
Alonza Barnett III,JMU,['QB'],['3'],['11'],['27.3'],['15'],['1.4'],['8'],['0'],['1'],['0'],['20.5']
Germie Bernard,WASH,['WR'],['1'],['1'],['100.0'],['14'],['14.0'],['14'],['0'],['0'],['0'],['217.6']
Jake Farrell,HAW,['QB'],['3'],['8'],['37.5'],['14'],['1.8'],['6'],['0'],['1'],['0'],['27.2']
Austin Novosad,ORE,['QB'],['4'],['4'],['100.0'],['14'],['3.5'],['9'],['0'],['0'],['0'],['129.4']
Emmett Brown,WSU,['QB'],['2'],['4'],['50.0'],['14'],['3.5'],['9'],['0'],['1'],['0'],['29.4']
Kenny Minchey,ND,['QB'],['2'],['2'],['100.0'],['12'],['6.0'],['8'],['0'],['0'],['0'],['150.4']
Jackson Brousseau,CSU,['QB'],['1'],['2'],['50.0'],['12'],['6.0'],['12'],['0'],['0'],['0'],['100.4']
Dalen Morris,HAW,['QB'],['1'],['1'],['100.0'],['11'],['11.0'],['11'],['0'],['0'],['0'],['192.4']
Trey Potts,PSU,['RB'],['1'],['1'],['100.0'],['11'],['11.0'],['11'],['1'],['0'],['0'],['522.4']
Nico Iamaleava,TENN,['QB'],['2'],['5'],['40.0'],['11'],['2.2'],['6'],['0'],['0'],['1'],['58.5']
Billy Atkins,JMU,['QB'],['1'],['2'],['50.0'],['10'],['5.0'],['10'],['0'],['0'],['1'],['92.0']
Jack Lausch,NU,['QB'],['2'],['3'],['66.7'],['10'],['3.3'],['6'],['0'],['0'],['1'],['94.7']
Jalen McMillan,WASH,['WR'],['1'],['1'],['100.0'],['9'],['9.0'],['9'],['0'],['0'],['0'],['175.6']
Tevin Carter,MEM,['QB'],['1'],['2'],['50.0'],['9'],['4.5'],['9'],['0'],['0'],['0'],['87.8']
Donovan Brown,SYR,['WR'],['1'],['1'],['100.0'],['9'],['9.0'],['9'],['0'],['0'],['0'],['175.6']
TJ McMahon,MRSH,['QB'],['1'],['1'],['100.0'],['8'],['8.0'],['8'],['0'],['0'],['0'],['167.2']
Treshaun Ward,KSU,['RB'],['1'],['1'],['100.0'],['8'],['8.0'],['8'],['1'],['0'],['0'],['497.2']
Grant Tisdale,TCU,['QB'],['1'],['1'],['100.0'],['8'],['8.0'],['8'],['0'],['0'],['0'],['167.2']
Logan Lupo,FAU,['P'],['1'],['1'],['100.0'],['8'],['8.0'],['8'],['0'],['0'],['0'],['167.2']
Broc Lowry,IU,['QB'],['1'],['1'],['100.0'],['8'],['8.0'],['8'],['0'],['0'],['0'],['167.2']
Hunter Renner,NU,['P'],['1'],['1'],['100.0'],['7'],['7.0'],['7'],['0'],['0'],['0'],['158.8']
Justin Lynch,NIU,['RB'],['1'],['1'],['100.0'],['7'],['7.0'],['7'],['1'],['0'],['0'],['488.8']
Brady Allen,LOU,['QB'],['1'],['1'],['100.0'],['7'],['7.0'],['7'],['0'],['0'],['0'],['158.8']
Pierce Clarkson,LOU,['QB'],['1'],['2'],['50.0'],['7'],['3.5'],['7'],['0'],['0'],['0'],['79.4']
Bennett Meredith,PUR,['QB'],['2'],['4'],['50.0'],['7'],['1.8'],['8'],['0'],['0'],['0'],['64.7']
Chase Jenkins,RICE,['QB'],['2'],['2'],['100.0'],['7'],['3.5'],['8'],['0'],['0'],['0'],['129.4']
Devaughn Vele,UTAH,['WR'],['1'],['3'],['33.3'],['6'],['2.0'],['6'],['0'],['0'],['0'],['50.1']
Jake Rubley,KSU,['QB'],['1'],['1'],['100.0'],['5'],['5.0'],['5'],['0'],['0'],['0'],['142.0']
Billy Edwards Jr.,MD,['QB'],['2'],['7'],['28.6'],['5'],['0.7'],['3'],['0'],['0'],['0'],['34.6']
Taji Hudson,JMU,['WR'],['1'],['1'],['100.0'],['4'],['4.0'],['4'],['1'],['0'],['0'],['463.6']
Mikele Colasurdo,GAST,['QB'],['1'],['1'],['100.0'],['3'],['3.0'],['3'],['0'],['0'],['1'],['125.2']
Brennan Presley,OKST,['WR'],['1'],['1'],['100.0'],['3'],['3.0'],['3'],['0'],['0'],['0'],['125.2']
Rickie Collins,LSU,['QB'],['2'],['2'],['100.0'],['3'],['1.5'],['2'],['0'],['0'],['0'],['112.6']
Ryan Staub,COLO,['QB'],['1'],['2'],['50.0'],['3'],['1.5'],['3'],['0'],['0'],['1'],['62.6']
Keldric Luster,SMU,['QB'],['1'],['2'],['50.0'],['3'],['1.5'],['3'],['0'],['0'],['0'],['62.6']
Micah Davis,USU,['WR'],['1'],['1'],['100.0'],['2'],['2.0'],['2'],['0'],['0'],['0'],['116.8']
LJ Martin,BYU,['RB'],['1'],['1'],['100.0'],['2'],['2.0'],['2'],['0'],['0'],['0'],['116.8']
Ryan Sanborn,TEX,['P'],['1'],['1'],['100.0'],['1'],['1.0'],['1'],['0'],['0'],['0'],['108.4']
Stephen Kotsanlee,USU,['P'],['1'],['1'],['100.0'],['1'],['1.0'],['1'],['0'],['0'],['0'],['108.4']
Ethan Vasko,CCU,['QB'],['1'],['2'],['50.0'],['1'],['0.5'],['1'],['0'],['0'],['0'],['54.2']
Raheim Jeter,ECU,['QB'],['1'],['2'],['50.0'],['1'],['0.5'],['1'],['0'],['0'],['0'],['54.2']
Deshaun Fenwick,ORST,['RB'],['0'],['1'],['0.0'],['0'],['0.0'],['0'],['0'],['0'],['0'],['0.0']
Johnathan Bennett,LIB,['QB'],['0'],['3'],['0.0'],['0'],['0.0'],['0'],['0'],['0'],['0'],['0.0']
Joshua Cephus,UTSA,['WR'],['0'],['1'],['0.0'],['0'],['0.0'],['0'],['0'],['1'],['1'],['-200.0']
Luke McCaffrey,RICE,['WR'],['0'],['1'],['0.0'],['0'],['0.0'],['0'],['0'],['0'],['0'],['0.0']
Cole Kramer,MINN,['QB'],['0'],['1'],['0.0'],['0'],['0.0'],['0'],['0'],['1'],['0'],['-200.0']
Kobe Hudson,UCF,['WR'],['0'],['1'],['0.0'],['0'],['0.0'],['0'],['0'],['0'],['0'],['0.0']
Micah Bowens,CLT,['QB'],['0'],['0'],['0.0'],['0'],['0.0'],['0'],['0'],['0'],['1'],['0.0']
Drake Dabney,BAY,['TE'],['0'],['1'],['0.0'],['0'],['0.0'],['0'],['0'],['0'],['0'],['0.0']
Frank Gore Jr.,USM,['RB'],['0'],['2'],['0.0'],['0'],['0.0'],['0'],['0'],['0'],['1'],['0.0']
Chubba Purdy,NEB,['QB'],['0'],['2'],['0.0'],['0'],['0.0'],['0'],['0'],['0'],['0'],['0.0']
RJ Harvey,UCF,['RB'],['0'],['1'],['0.0'],['0'],['0.0'],['0'],['0'],['0'],['1'],['0.0']
Ryan O'Keefe,BC,['WR'],['0'],['1'],['0.0'],['0'],['0.0'],['0'],['0'],['0'],['0'],['0.0']
Alexander Honig,CONN,['TE'],['0'],['1'],['0.0'],['0'],['0.0'],['0'],['0'],['0'],['0'],['0.0']
Michael Johnson Jr.,FAU,['QB'],['0'],['1'],['0.0'],['0'],['0.0'],['0'],['0'],['0'],['0'],['0.0']
Jermaine Brown Jr.,UAB,['RB'],['0'],['1'],['0.0'],['0'],['0.0'],['0'],['0'],['0'],['0'],['0.0']
Nick Nash,SJSU,['WR'],['0'],['1'],['0.0'],['0'],['0.0'],['0'],['0'],['0'],['0'],['0.0']
Avery Boyd,GT,['WR'],['0'],['1'],['0.0'],['0'],['0.0'],['0'],['0'],['0'],['0'],['0.0']
Jaylin Lane,VT,['WR'],['0'],['1'],['0.0'],['0'],['0.0'],['0'],['0'],['0'],['0'],['0.0']
Dan Villari,SYR,['TE'],['0'],['1'],['0.0'],['0'],['0.0'],['0'],['0'],['0'],['0'],['0.0']
Kaiya Sheron,UK,['QB'],['0'],['1'],['0.0'],['0'],['0.0'],['0'],['0'],['0'],['0'],['0.0']
Zahir Abdus-Salaam,WMU,['RB'],['0'],['1'],['0.0'],['0'],['0.0'],['0'],['0'],['1'],['0'],['-200.0']
Joseph Manjack IV,HOU,['WR'],['0'],['1'],['0.0'],['0'],['0.0'],['0'],['0'],['0'],['0'],['0.0']
Brady Olson,MASS,['QB'],['0'],['3'],['0.0'],['0'],['0.0'],['0'],['0'],['1'],['0'],['-66.7']
Justin Ibieta,TULN,['QB'],['0'],['1'],['0.0'],['0'],['0.0'],['0'],['0'],['0'],['0'],['0.0']
Charlie Pollock,MISS,['P'],['0'],['1'],['0.0'],['0'],['0.0'],['0'],['0'],['1'],['0'],['-200.0']
JP Richardson,TCU,['WR'],['0'],['1'],['0.0'],['0'],['0.0'],['0'],['0'],['1'],['0'],['-200.0']
AJ Duffy,FSU,['QB'],['0'],['0'],['0.0'],['0'],['0.0'],['0'],['0'],['0'],['1'],['0.0']
Justyn Martin,UCLA,['QB'],['0'],['0'],['0.0'],['0'],['0.0'],['0'],['0'],['0'],['1'],['0.0']
Devin Kargman,KENT,['QB'],['0'],['0'],['0.0'],['0'],['0.0'],['0'],['0'],['0'],['1'],['0.0']
Xavier Arline,NAVY,['QB'],['0'],['1'],['0.0'],['0'],['0.0'],['0'],['0'],['0'],['1'],['0.0']
Tyson Riley,ARMY,['RB'],['0'],['1'],['0.0'],['0'],['0.0'],['0'],['0'],['0'],['0'],['0.0']
Brian Garcia,ULM,['QB'],['0'],['2'],['0.0'],['0'],['0.0'],['0'],['0'],['0'],['1'],['0.0']
Kahleil Jackson,FLA,['WR'],['0'],['1'],['0.0'],['0'],['0.0'],['0'],['0'],['1'],['0'],['-200.0']
Conner Harrell,UNC,['QB'],['0'],['2'],['0.0'],['0'],['0.0'],['0'],['0'],['0'],['0'],['0.0']
Kevin Concepcion,NCSU,['WR'],['0'],['1'],['0.0'],['0'],['0.0'],['0'],['0'],['0'],['0'],['0.0']
Malachi Nelson,USC,['QB'],['1'],['3'],['33.3'],['0'],['0.0'],['0'],['0'],['0'],['0'],['33.3']
Davis Warren,MICH,['QB'],['0'],['5'],['0.0'],['0'],['0.0'],['0'],['0'],['1'],['0'],['-40.0']
Tyrone Howell,ULM,['WR'],['0'],['1'],['0.0'],['0'],['0.0'],['0'],['0'],['0'],['0'],['0.0']
Dalen Cobb,GASO,['WR'],['0'],['1'],['0.0'],['0'],['0.0'],['0'],['0'],['0'],['0'],['0.0']
Cam'Ron McCoy,EMU,['QB'],['0'],['1'],['0.0'],['0'],['0.0'],['0'],['0'],['1'],['0'],['-200.0']
Tiger Bachmeier,STAN,['WR'],['0'],['1'],['0.0'],['0'],['0.0'],['0'],['0'],['0'],['0'],['0.0']
Tobin O'Dell,SDSU,['QB'],['1'],['2'],['50.0'],['0'],['0.0'],['0'],['0'],['1'],['1'],['-50.0']
Kyle Lowe,MTSU,['QB'],['1'],['1'],['100.0'],['-1'],['-1.0'],['0'],['0'],['0'],['0'],['91.6']
Jacob Cowing,ARIZ,['WR'],['1'],['1'],['100.0'],['-2'],['-2.0'],['0'],['0'],['0'],['0'],['83.2']
Bronson Barron,WKU,['QB'],['1'],['2'],['50.0'],['-3'],['-1.5'],['0'],['0'],['1'],['1'],['-62.6']
Kyre Duplessis,CCU,['WR'],['1'],['2'],['50.0'],['-7'],['-3.5'],['0'],['0'],['0'],['0'],['20.6']
Dewayne Coleman,ARMY,['QB'],['1'],['1'],['100.0'],['-14'],['-14.0'],['11'],['0'],['0'],['0'],['-17.6']
