Team,Opo Team,Score,Players
UCF,@Cincinnati,3:30 PM,"[{'Player': 'FS', 'Stats': '1'}, {'Player': 'Tickets as low as $10', 'Stats': ''}, {'Player': 'Nippert Stadium, Cincinnati, OH', 'Stats': ''}]"
James Madison,@Georgia State,3:30 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $11', 'Stats': ''}, {'Player': 'Center Parc Stadium, Atlanta, GA', 'Stats': ''}]"
Coastal Carolina,@Old Dominion,3:30 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $9', 'Stats': ''}, {'Player': 'S.B. Ballard Stadium, Norfolk, VA', 'Stats': ''}]"
Auburn,@Vanderbilt,4:00 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $103', 'Stats': ''}, {'Player': 'FirstBank Stadium, Nashville, TN', 'Stats': ''}]"
Charlotte,@Tulsa,4:00 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $2', 'Stats': ''}, {'Player': 'Chapman Stadium, Tulsa, OK', 'Stats': ''}]"
UL Monroe,@Southern Miss,4:00 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $10', 'Stats': ''}, {'Player': 'M. M. Roberts Stadium, Hattiesburg, MS', 'Stats': ''}]"
Hawai'i,@Nevada,4:00 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $9', 'Stats': ''}, {'Player': 'Mackay Stadium, Reno, NV', 'Stats': ''}]"
Georgia Southern,@Texas State,5:00 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $10', 'Stats': ''}, {'Player': 'Bobcat Stadium (TX), San Marcos, TX', 'Stats': ''}]"
California,@6Oregon,5:30 PM,"[{'Player': 'PAC', 'Stats': '12'}, {'Player': 'Tickets as low as $7', 'Stats': ''}, {'Player': 'Autzen Stadium, Eugene, OR', 'Stats': ''}]"
Louisiana Tech,@Liberty,6:00 PM,"[{'Player': 'CBSSN', 'Stats': ''}, {'Player': 'Tickets as low as $24', 'Stats': ''}, {'Player': 'Williams Stadium (VA), Lynchburg, VA', 'Stats': ''}]"
Middle Tennessee,@New Mexico State,6:00 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $21', 'Stats': ''}, {'Player': 'Aggie Memorial Stadium, Las Cruces, NM', 'Stats': ''}]"
Marshall,@Appalachian State,6:00 PM,"[{'Player': 'NFL NET', 'Stats': ''}, {'Player': 'Tickets as low as $75', 'Stats': ''}, {'Player': 'Kidd Brewer Stadium, Boone, NC', 'Stats': ''}]"
UNLV,@New Mexico,6:00 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $11', 'Stats': ''}, {'Player': 'University Stadium (NM), Albuquerque, NM', 'Stats': ''}]"
21Kansas,@Iowa State,7:00 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $36', 'Stats': ''}, {'Player': 'Jack Trice Stadium, Ames, IA', 'Stats': ''}]"
BYU,@West Virginia,7:00 PM,"[{'Player': 'FOX', 'Stats': ''}, {'Player': 'Tickets as low as $34', 'Stats': ''}, {'Player': 'Milan Puskar Stadium, Morgantown, WV', 'Stats': ''}]"
Utah State,@San Diego State,7:00 PM,"[{'Player': 'FS', 'Stats': '1'}, {'Player': 'Tickets as low as $24', 'Stats': ''}, {'Player': 'Snapdragon Stadium, San Diego, CA', 'Stats': ''}]"
Purdue,@3Michigan,7:30 PM,"[{'Player': 'NBC', 'Stats': ''}, {'Player': 'Tickets as low as $90', 'Stats': ''}, {'Player': 'Michigan Stadium, Ann Arbor, MI', 'Stats': ''}]"
5Washington,@20USC,7:30 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $58', 'Stats': ''}, {'Player': 'Los Angeles Memorial Coliseum, Los Angeles, CA', 'Stats': ''}]"
Kentucky,@Mississippi State,7:30 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $5', 'Stats': ''}, {'Player': 'Davis Wade Stadium, Starkville, MS', 'Stats': ''}]"
SMU,@Rice,7:30 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $21', 'Stats': ''}, {'Player': 'Rice Stadium, Houston, TX', 'Stats': ''}]"
14LSU,@8Alabama,7:45 PM,"[{'Player': 'CBS', 'Stats': ''}, {'Player': 'Tickets as low as $132', 'Stats': ''}, {'Player': 'Bryant-Denny Stadium, Tuscaloosa, AL', 'Stats': ''}]"
Miami,@NC State,8:00 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $32', 'Stats': ''}, {'Player': 'Carter-Finley Stadium, Raleigh, NC', 'Stats': ''}]"
Western Kentucky,@UTEP,9:00 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $6', 'Stats': ''}, {'Player': 'Sun Bowl, El Paso, TX', 'Stats': ''}]"
Stanford,@Washington State,9:00 PM,"[{'Player': 'PAC', 'Stats': '12'}, {'Player': 'Tickets as low as $10', 'Stats': ''}, {'Player': 'Gesa Field, Pullman, WA', 'Stats': ''}]"
16Oregon State,@Colorado,10:00 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $79', 'Stats': ''}, {'Player': 'Folsom Field, Boulder, CO', 'Stats': ''}]"
Boise State,@Fresno State,10:00 PM,"[{'Player': 'CBSSN', 'Stats': ''}, {'Player': 'Tickets as low as $68', 'Stats': ''}, {'Player': 'Bulldog Stadium (CA), Fresno, CA', 'Stats': ''}]"
19UCLA,@Arizona,10:30 PM,"[{'Player': 'FS', 'Stats': '1'}, {'Player': 'Tickets as low as $21', 'Stats': ''}, {'Player': 'Arizona Stadium, Tucson, AZ', 'Stats': ''}]"
