Team,Opo Team,Score,Players
Northern Illinois,@Central Michigan,"CMU 37, NIU 31","[{'Player': 'Rocky Lombardi', 'Stats': '298'}, {'Player': 'Marion Lukes', 'Stats': '202'}, {'Player': 'Trayvon Rudolph', 'Stats': '170'}]"
Buffalo,@Toledo,"TOL 31, BUFF 13","[{'Player': 'Dequan Finn', 'Stats': '176'}, {'Player': 'Peny Boone', 'Stats': '125'}, {'Player': 'Anthony Torres', 'Stats': '84'}]"
Ball State,@Bowling Green,"BGSU 24, BALL 21","[{'Player': 'Connor Bazelak', 'Stats': '128'}, {'Player': 'Terion Stewart', 'Stats': '92'}, {'Player': 'Harold Fannin Jr.92', 'Stats': ''}]"
Kent State,@Akron,"AKR 31, KENT 27","[{'Player': 'Jeff Undercuffler Jr.298', 'Stats': ''}, {'Player': 'Lorenzo Lingard', 'Stats': '106'}, {'Player': 'Chrishon McCray', 'Stats': '161'}]"
TCU,@Texas Tech,"TTU 35, TCU 28","[{'Player': 'Josh Hoover', 'Stats': '353'}, {'Player': 'Tahj Brooks', 'Stats': '146'}, {'Player': 'Coy Eakin', 'Stats': '78'}]"
Wake Forest,@Duke,"DUKE 24, WAKE 21","[{'Player': 'Mitch Griffis', 'Stats': '241'}, {'Player': 'Demond Claiborne', 'Stats': '81'}, {'Player': 'Taylor Morin', 'Stats': '92'}]"
South Alabama,@Troy,"TROY 28, USA 10","[{'Player': 'Gunnar Watson', 'Stats': '271'}, {'Player': 'Kimani Vidal', 'Stats': '125'}, {'Player': 'Chris Lewis', 'Stats': '120'}]"
Boston College,@Syracuse,LIVE,"[{'Player': '', 'Stats': ''}, {'Player': '', 'Stats': ''}, {'Player': 'JMA Wireless Dome, Syracuse, NY', 'Stats': ''}]"
Colorado State,@Wyoming,LIVE,"[{'Player': 'CBSSN', 'Stats': ''}, {'Player': '', 'Stats': ''}, {'Player': 'Jonah Field at War Memorial Stadium, Laramie, WY', 'Stats': ''}]"
1Ohio State,@Rutgers,12:00 PM,"[{'Player': 'CBS', 'Stats': ''}, {'Player': 'Tickets as low as $49', 'Stats': ''}, {'Player': 'SHI Stadium, Piscataway, NJ', 'Stats': ''}]"
23Kansas State,@7Texas,12:00 PM,"[{'Player': 'FOX', 'Stats': ''}, {'Player': 'Tickets as low as $62', 'Stats': ''}, {'Player': 'DKR-Texas Memorial Stadium, Austin, TX', 'Stats': ''}]"
Texas A&M,@10Ole Miss,12:00 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $30', 'Stats': ''}, {'Player': 'Vaught-Hemingway Stadium, Oxford, MS', 'Stats': ''}]"
15Notre Dame,@Clemson,12:00 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $40', 'Stats': ''}, {'Player': 'Memorial Stadium (Clemson, SC), Clemson, SC', 'Stats': ''}]"
UConn,@17Tennessee,12:00 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $38', 'Stats': ''}, {'Player': 'Neyland Stadium, Knoxville, TN', 'Stats': ''}]"
Arkansas,@Florida,12:00 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $53', 'Stats': ''}, {'Player': 'Ben Hill Griffin Stadium, Gainesville, FL', 'Stats': ''}]"
Wisconsin,@Indiana,12:00 PM,"[{'Player': 'BTN', 'Stats': ''}, {'Player': 'Tickets as low as $14', 'Stats': ''}, {'Player': 'Memorial Stadium (Bloomington, IN), Bloomington, IN', 'Stats': ''}]"
Nebraska,@Michigan State,12:00 PM,"[{'Player': 'FS', 'Stats': '1'}, {'Player': 'Tickets as low as $13', 'Stats': ''}, {'Player': 'Spartan Stadium, East Lansing, MI', 'Stats': ''}]"
Jacksonville State,@South Carolina,12:00 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $15', 'Stats': ''}, {'Player': 'Williams-Brice Stadium, Columbia, SC', 'Stats': ''}]"
Campbell,@North Carolina,12:00 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $15', 'Stats': ''}, {'Player': 'Kenan Stadium, Chapel Hill, NC', 'Stats': ''}]"
Kennesaw State,@Sam Houston,1:00 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $18', 'Stats': ''}, {'Player': 'Elliott T. Bowers Stadium, Huntsville, TX', 'Stats': ''}]"
Arizona State,@18Utah,2:00 PM,"[{'Player': 'PAC', 'Stats': '12'}, {'Player': 'Tickets as low as $38', 'Stats': ''}, {'Player': 'Rice-Eccles Stadium, Salt Lake City, UT', 'Stats': ''}]"
Georgia Tech,@Virginia,2:00 PM,"[{'Player': 'CW NETWORK', 'Stats': ''}, {'Player': 'Tickets as low as $19', 'Stats': ''}, {'Player': 'Scott Stadium, Charlottesville, VA', 'Stats': ''}]"
Navy,@Temple,2:00 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $11', 'Stats': ''}, {'Player': 'Lincoln Financial Field, Philadelphia, PA', 'Stats': ''}]"
Army,@25Air Force,2:30 PM,"[{'Player': 'CBSSN', 'Stats': ''}, {'Player': 'Tickets as low as $43', 'Stats': ''}, {'Player': 'Empower Field at Mile High, Denver, CO', 'Stats': ''}]"
Florida Atlantic,@UAB,3:00 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $12', 'Stats': ''}, {'Player': 'Protective Stadium, Birmingham, AL', 'Stats': ''}]"
UTSA,@North Texas,3:00 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $10', 'Stats': ''}, {'Player': 'DATCU Stadium, Denton, TX', 'Stats': ''}]"
South Florida,@Memphis,3:00 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $14', 'Stats': ''}, {'Player': 'Simmons Bank Liberty Stadium, Memphis, TN', 'Stats': ''}]"
Louisiana,@Arkansas State,3:00 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $9', 'Stats': ''}, {'Player': 'Centennial Bank Stadium, Jonesboro, AR', 'Stats': ''}]"
12Missouri,@2Georgia,3:30 PM,"[{'Player': 'CBS', 'Stats': ''}, {'Player': 'Tickets as low as $75', 'Stats': ''}, {'Player': 'Sanford Stadium, Athens, GA', 'Stats': ''}]"
4Florida State,@Pittsburgh,3:30 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $19', 'Stats': ''}, {'Player': 'Acrisure Stadium, Pittsburgh, PA', 'Stats': ''}]"
9Oklahoma,@22Oklahoma State,3:30 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $273', 'Stats': ''}, {'Player': 'Boone Pickens Stadium, Stillwater, OK', 'Stats': ''}]"
11Penn State,@Maryland,3:30 PM,"[{'Player': 'FOX', 'Stats': ''}, {'Player': 'Tickets as low as $72', 'Stats': ''}, {'Player': 'SECU Stadium, College Park, MD', 'Stats': ''}]"
Virginia Tech,@13Louisville,3:30 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $35', 'Stats': ''}, {'Player': 'Cardinal Stadium, Louisville, KY', 'Stats': ''}]"
24Tulane,@East Carolina,3:30 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $5', 'Stats': ''}, {'Player': 'Dowdy-Ficklen Stadium, Greenville, NC', 'Stats': ''}]"
Illinois,@Minnesota,3:30 PM,"[{'Player': 'BTN', 'Stats': ''}, {'Player': 'Tickets as low as $13', 'Stats': ''}, {'Player': 'Huntington Bank Stadium, Minneapolis, MN', 'Stats': ''}]"
Iowa,@Northwestern,3:30 PM,"[{'Player': 'Peacock', 'Stats': ''}, {'Player': 'Tickets as low as $75', 'Stats': ''}, {'Player': 'Wrigley Field, Chicago, IL', 'Stats': ''}]"
Merrimack,@Massachusetts,3:30 PM,"[{'Player': '', 'Stats': ''}, {'Player': 'Tickets as low as $13', 'Stats': ''}, {'Player': 'Warren McGuirk Alumni Stadium, Amherst, MA', 'Stats': ''}]"
Houston,@Baylor,3:30 PM,"[{'Player': 'BIG', 'Stats': '12'}, {'Player': 'Tickets as low as $5', 'Stats': ''}, {'Player': 'McLane Stadium, Waco, TX', 'Stats': ''}]"
