Player,School,POS,REC,YDS,AVG,LNG,TD
MalikhiMiller,SJSU,'WR','16','181','11.3','19','0'
LarryMcCammon,FAU,'RB','21','181','8.6','55','0'
JosephScates,MEM,'WR','17','180','10.6','45','4'
JavonAntonio,COLO,'WR','15','180','12.0','43','2'
DraeMcCray,TTU,'WR','18','180','10.0','44','1'
CarlosHernandez,WSU,'WR','21','180','8.6','19','0'
NoahFrith,LIB,'WR','10','179','17.9','55','1'
KenanChriston,SDSU,'RB','24','179','7.5','16','1'
KelekiLatu,NEV,'TE','14','179','12.8','30','0'
HarveyBroussard,UL,'WR','15','179','11.9','36','1'
JawharJordan,LOU,'RB','12','178','14.8','75','1'
Dont'eThorntonJr.,TENN,'WR','12','178','14.8','47','0'
NyNyDavis,ULM,'WR','20','178','8.9','51','2'
DominicDutton,ODU,'WR','6','178','29.7','58','4'
MarcusWashington,NEB,'WR','8','176','22.0','56','0'
MarcusCarroll,GAST,'RB','16','176','11.0','49','0'
JaydenGibson,OU,'WR','7','176','25.1','41','2'
AnthonyLandphere,MEM,'TE','18','175','9.7','21','2'
Abdul-FataiIbrahim,BGSU,'WR','16','174','10.9','33','2'
LeQuintAllen,SYR,'RB','26','174','6.7','26','1'
Ja'VarriusJohnson,AUB,'WR','10','172','17.2','45','1'
TrevorWilson,KU,'WR','10','172','17.2','58','2'
MudiaReuben,STAN,'WR','13','172','13.2','38','0'
TipReiman,ILL,'TE','15','171','11.4','42','3'
AlexBullock,NEB,'WR','11','171','15.5','34','1'
JordanSmart,UNT,'WR','18','171','9.5','29','0'
DevinCulp,WASH,'TE','12','170','14.2','30','2'
TreVeyonHenderson,OSU,'RB','12','170','14.2','65','0'
HoldenStaes,ND,'TE','13','170','13.1','40','4'
TyWashington,ARK,'TE','11','170','15.5','34','2'
ColbyBowman,USU,'WR','7','169','24.1','63','2'
JonahPanoke,HAW,'WR','16','169','10.6','24','1'
DrewDonley,TXST,'WR','11','169','15.4','42','1'
TyrellHenry,MSU,'WR','17','169','9.9','28','3'
KaleoBallungay,UNLV,'TE','10','168','16.8','39','0'
JaedonWilson,ARK,'WR','12','168','14.0','65','1'
BrevynSpann-Ford,MINN,'TE','18','167','9.3','31','1'
MunirMcClain,UTAH,'WR','6','167','27.8','49','1'
DanVillari,SYR,'TE','19','167','8.8','37','2'
BrocLane,USU,'TE','18','167','9.3','27','0'
GeordonPorter,CONN,'WR','16','166','10.4','28','1'
JadenGreathouse,ND,'WR','12','166','13.8','35','3'
AdamJones,ARST,'WR','8','165','20.6','55','1'
LincolnSefcik,USA,'TE','17','165','9.7','24','1'
KyronHudson,USC,'WR','14','164','11.7','33','1'
JoshCuevas,WASH,'TE','4','164','41.0','57','1'
JordanSmith,TEM,'TE','14','163','11.6','22','3'
KamBrown,UCLA,'WR','13','163','12.5','67','1'
JosiahNorwood,UCLA,'WR','10','161','16.1','81','2'
JoshuaSimon,SC,'TE','19','161','8.5','33','2'
MoochieDixon,SMU,'WR','13','161','12.4','20','1'
HarrisonWallaceIII,PSU,'WR','15','161','10.7','21','0'
NyckHarbor,SC,'WR','10','161','16.1','45','1'
ChristianWells,MASS,'WR','10','160','16.0','68','1'
JohnMichaelGyllenborg,WYO,'TE','15','160','10.7','25','2'
DylanSampson,TENN,'RB','14','160','11.4','37','1'
StarThomas,NMSU,'RB','16','160','10.0','21','1'
AaronBedgood,LIB,'WR','13','159','12.2','29','2'
JadenAlexis,USF,'WR','15','159','10.6','40','1'
MontrellJohnsonJr.,FLA,'RB','23','159','6.9','19','1'
AlexBauman,TULN,'TE','23','159','6.9','23','4'
ElijahSohn,SHSU,'TE','15','159','10.6','28','2'
KamariMorales,UNC,'TE','11','158','14.4','55','0'
CadenPrieskorn,MISS,'TE','8','158','19.8','35','0'
TerranceCarter,UL,'TE','18','158','8.8','35','2'
JameelGardnerJr.,KENT,'WR','17','158','9.3','40','0'
MarShawnLloyd,USC,'RB','10','157','15.7','54','0'
BryceFarrell,STAN,'WR','17','157','9.2','26','1'
OmarionHampton,UNC,'RB','16','157','9.8','29','1'
IsaiahJones,SYR,'WR','8','157','19.6','44','2'
ReaganEaly,ARST,'WR','16','157','9.8','33','1'
GarrettMiller,PUR,'TE','19','155','8.2','28','1'
RasheenAli,MRSH,'RB','19','155','8.2','65','1'
JavonTracy,M-OH,'WR','11','155','14.1','27','2'
ChuckMontgomery,MRSH,'WR','13','155','11.9','19','1'
SemajMorgan,MICH,'WR','12','155','12.9','35','2'
SahmirHagans,DUKE,'WR','19','154','8.1','19','0'
MooseMuhammadIII,TA&M,'WR','17','153','9.0','31','1'
NikMcMillan,BUFF,'WR','10','153','15.3','33','1'
KyleFord,UCLA,'WR','13','152','11.7','37','0'
ShawnHarrisJr.,MASS,'WR','16','152','9.5','24','0'
CharlesRobertson,UL,'WR','11','152','13.8','43','0'
Ja'KhiDouglas,FSU,'WR','8','151','18.9','37','0'
BraydonBennett,CCU,'RB','14','151','10.8','63','0'
MasonPierce,MRSH,'WR','15','150','10.0','23','0'
DJThomas-Jones,USA,'TE','14','150','10.7','33','0'
AlredLuke,ULM,'WR','12','149','12.4','36','0'
BlakeDaniels,EMU,'TE','13','149','11.5','37','0'
NicholasSingleton,PSU,'RB','19','148','7.8','28','1'
GregDesrosiersJr.,MASS,'RB','12','148','12.3','40','2'
CarlChester,TLSA,'WR','9','148','16.4','40','0'
LawranceToafili,FSU,'RB','17','147','8.6','41','1'
JacobyJones,OHIO,'WR','8','147','18.4','42','0'
KevinDavis,M-OH,'RB','10','146','14.6','46','1'
MichaelJacksonIII,USC,'WR','17','146','8.6','16','1'
CJBeasley,CCU,'RB','14','145','10.4','26','0'
BradleyRozner,NCSU,'WR','14','145','10.4','21','2'
QuincySkinnerJr.,VAN,'WR','13','145','11.2','34','1'
ChristionCarter,NIU,'TE','11','145','13.2','32','2'
MoussaBarry,WKU,'WR','9','145','16.1','51','1'
IsaiahHamilton,WSU,'WR','13','144','11.1','39','1'
KimaniVidal,TROY,'RB','12','144','12.0','44','1'
SioneVaki,UTAH,'S','6','144','24.0','53','2'
DawsonPendergrass,BAY,'RB','14','144','10.3','26','0'
KeatonUpshaw,GASO,'TE','13','143','11.0','27','2'
JulianGray,NCSU,'WR','14','143','10.2','64','0'
KeaganJohnson,KSU,'WR','15','143','9.5','20','1'
AhmarianGranger,ODU,'WR','9','143','15.9','40','1'
FinnHogan,BGSU,'WR','10','143','14.3','50','1'
JoJoEarle,TCU,'WR','11','142','12.9','24','1'
AudricEstime,ND,'RB','17','142','8.4','22','0'
ZackDobson,MTSU,'WR','14','141','10.1','72','1'
TrentPennix,NCSU,'TE','12','141','11.8','62','2'
EmaniBailey,TCU,'RB','19','141','7.4','24','0'
GriffinMoore,ILL,'TE','10','140','14.0','46','1'
CameronHite,WAKE,'TE','10','140','14.0','69','2'
MajorEverhart,TCU,'WR','14','140','10.0','22','0'
JohnAdams,TEM,'WR','13','139','10.7','31','2'
KobieCampbell,RICE,'WR','7','139','19.9','70','1'
Jo'QuaviousMarks,MSST,'RB','18','138','7.7','32','1'
TylerFoster,OHIO,'TE','13','138','10.6','50','0'
JoshCameron,BAY,'WR','12','138','11.5','24','0'
JeremyTateJr.,MTSU,'WR','10','137','13.7','40','1'
AdamRandall,CLEM,'WR','13','136','10.5','34','0'
CaseyReynolds,ARMY,'WR','12','136','11.3','27','0'
JosiahMiamen,FIU,'TE','11','135','12.3','38','0'
IanStrong,RUTG,'WR','10','135','13.5','27','2'
MilesMarshall,M-OH,'WR','9','134','14.9','38','0'
DianteVines,IOWA,'WR','12','134','11.2','36','1'
JalenJohnson,NIU,'WR','15','134','8.9','24','1'
ShaneHooks,AUB,'WR','9','133','14.8','32','2'
IsaacGuerendo,LOU,'RB','12','133','11.1','25','0'
SiehBangura,OHIO,'RB','17','133','7.8','29','1'
MalikSherrod,FRES,'RB','25','133','5.3','29','1'
SamOlson,SJSU,'TE','12','133','11.1','29','1'
MichaelPettway,JVST,'WR','12','133','11.1','37','1'
CalebDouglas,FLA,'WR','11','133','12.1','34','1'
KeyonLesane,NCSU,'WR','17','132','7.8','38','0'
MarquezCooper,BALL,'RB','14','132','9.4','26','0'
JamalHaynes,GT,'RB','17','132','7.8','46','0'
ChaseCurtis,TCU,'TE','15','132','8.8','36','1'
WillieMcCoy,UTSA,'WR','15','132','8.8','20','2'
LukeLachey,IOWA,'TE','10','131','13.1','35','0'
TrevorEtienne,FLA,'RB','15','131','8.7','41','0'
GunnarHelm,TEX,'TE','9','131','14.6','25','1'
K.D.Hutchinson,WKU,'WR','17','131','7.7','35','0'
MekhiMews,UGA,'WR','11','131','11.9','54','1'
MonroeYoung,CAL,'WR','12','130','10.8','34','0'
RwehaMunyagiJr.,ORST,'WR','5','130','26.0','37','1'
JakeRoberts,BAY,'TE','16','130','8.1','17','1'
CJDippre,ALA,'TE','7','130','18.6','45','0'
KobePace,UVA,'RB','13','130','10.0','75','3'
EmmanualStevenson,ARST,'TE','18','129','7.2','17','2'
JalenBuckley,WMU,'RB','13','129','9.9','49','0'
DallasPayne,UAB,'TE','11','128','11.6','31','0'
DillonBell,UGA,'WR','14','127','9.1','17','1'
DimitriStanley,ISU,'WR','14','126','9.0','32','0'
DaneKinamon,AFA,'WR','5','126','25.2','94','2'
TylerMorris,MICH,'WR','10','126','12.6','23','0'
JosiahJohnson,OKST,'TE','16','125','7.8','29','1'
DominicRichardson,BAY,'RB','17','125','7.4','18','0'
PorterRooks,NCSU,'WR','10','125','12.5','24','0'
TychaunChapman,UNC,'WR','6','125','20.8','45','1'
JalenWalthall,HAW,'WR','10','125','12.5','38','1'
C.J.Williams,WIS,'WR','13','125','9.6','20','0'
TJBanks,AKR,'TE','17','124','7.3','21','1'
Tar'VarishDawson,COLO,'WR','14','124','8.9','30','1'
ChrisHiltonJr.,LSU,'WR','7','123','17.6','47','1'
SackettWoodJr.,UVA,'TE','7','123','17.6','28','0'
AbdulJanneh,GT,'WR','6','122','20.3','33','2'
JaidenCredle,MTSU,'RB','20','122','6.1','17','1'
FrankGoreJr.,USM,'RB','15','121','8.1','30','1'
TsionNunnally,WSU,'WR','3','121','40.3','72','1'
EddieLewis,SC,'WR','9','120','13.3','46','0'
WillShipley,CLEM,'RB','20','120','6.0','18','2'
MasonTharp,TTU,'TE','11','120','10.9','28','2'
ChandlerPittman,USM,'RB','14','120','8.6','31','0'
MarioAnderson,SC,'RB','15','120','8.0','20','1'
NicoRagaini,IOWA,'WR','15','119','7.9','29','0'
ShaneCalhoun,ECU,'TE','15','119','7.9','17','2'
QuinshonJudkins,MISS,'RB','14','119','8.5','25','1'
JustinHolmes,KENT,'TE','15','119','7.9','16','0'
BlueSmith,WKU,'WR','10','118','11.8','21','1'
KeanuHill,BYU,'WR','10','118','11.8','25','1'
JhariPatterson,ECU,'WR','16','118','7.4','30','0'
DakereonJoyner,SC,'RB','21','117','5.6','27','0'
TreshaunWard,KSU,'RB','15','116','7.7','33','2'
BenjiGosnell,VT,'TE','10','116','11.6','23','0'
C.J.Smith,UGA,'WR','6','116','19.3','47','0'
MartinBlake,SDSU,'RB','8','116','14.5','33','0'
AlecHoller,UCF,'TE','12','115','9.6','21','2'
MarkestonDouglas,FSU,'TE','9','115','12.8','42','2'
JaseMcClellan,ALA,'RB','11','114','10.4','42','0'
GavinWilliams,NIU,'RB','19','114','6.0','18','0'
P.J.Wells,JVST,'WR','8','114','14.3','29','0'
Ja'QuezCross,ARST,'RB','17','114','6.7','18','0'
BraylinPresley,TLSA,'RB','8','114','14.3','32','0'
HudsonHabermehl,UCLA,'TE','5','113','22.6','45','0'
JadenNixon,OKST,'RB','10','113','11.3','60','1'
MarlionJackson,LT,'WR','8','113','14.1','28','0'
DavionErvin-Poindexter,WKU,'RB','13','112','8.6','18','1'
TreyCooley,GT,'RB','11','112','10.2','55','1'
FrankPeasant,MTSU,'RB','10','112','11.2','30','0'
NateJones,LT,'TE','13','112','8.6','33','0'
DevinPrice,FAU,'WR','6','111','18.5','34','1'
KentrelBullock,USA,'RB','14','111','7.9','30','1'
JaylenWright,TENN,'RB','19','111','5.8','20','0'
BryceChildress,NMSU,'WR','3','111','37.0','75','1'
TyRobinson,BALL,'WR','6','111','18.5','27','1'
TroyOmeire,ASU,'WR','10','110','11.0','30','2'
JackBech,TCU,'WR','10','110','11.0','26','0'
LukeWysong,UNM,'WR','7','110','15.7','41','1'
WestonWolff,USF,'TE','12','110','9.2','20','0'
JohntayCookII,TEX,'WR','5','110','22.0','51','0'
JohnnyLangan,RUTG,'TE','13','109','8.4','30','0'
LukeDoty,SC,'QB','11','109','9.9','36','1'
IsaiahHorton,MIA,'WR','6','109','18.2','52','1'
DominicGicinto,UNLV,'WR','6','108','18.0','43','1'
MaxWright,TA&M,'TE','12','108','9.0','20','0'
EdwardSaydee,TEM,'RB','12','108','9.0','16','2'
NickyDalmolin,DUKE,'TE','9','108','12.0','21','0'
La'DamianWebb,USA,'RB','18','108','6.0','19','0'
ElijahGilliam,FRES,'RB','10','108','10.8','32','1'
TraylonRay,WVU,'WR','10','108','10.8','35','1'
JonahBurton,BAY,'WR','8','108','13.5','27','0'
JeremiahNoga,ORST,'WR','7','108','15.4','31','1'
KordellDavid,NMSU,'WR','10','108','10.8','24','0'
DillonJohnson,WASH,'RB','15','107','7.1','20','0'
RyanMarquez,WYO,'WR','10','106','10.6','27','0'
IversonHooks,UAB,'WR','10','106','10.6','20','2'
ChaseLane,GT,'WR','7','105','15.0','48','1'
BrenenThompson,OU,'WR','4','105','26.3','54','0'
JustinBall,VAN,'TE','12','104','8.7','27','1'
JacksonMcDonald,FIU,'TE','10','104','10.4','23','0'
TysonMobley,CCU,'WR','7','104','14.9','33','0'
BrettNorfleet,MIZ,'TE','9','104','11.6','27','1'
GiovanniSanders,ASU,'WR','11','104','9.5','23','0'
SedrickAlexander,VAN,'RB','14','104','7.4','21','0'
CarsonSteele,UCLA,'RB','13','103','7.9','16','2'
JordynBailey,TCU,'WR','5','103','20.6','34','1'
FreddieRoberson,MSST,'WR','8','102','12.8','36','1'
BlaineGreen,OKST,'WR','13','102','7.8','24','0'
CreedWhittemore,MSST,'WR','11','102','9.3','33','2'
JordanFaison,ND,'WR','7','102','14.6','36','1'
SeanShawJr.,TXST,'WR','12','101','8.4','14','0'
BrianHightower,CAL,'WR','10','101','10.1','20','0'
EthanPayne,MRSH,'RB','11','101','9.2','35','0'
JumaOtoviano,RICE,'RB','12','100','8.3','35','0'
DylanLeonard,GT,'TE','10','100','10.0','23','0'
JaydnOtt,CAL,'RB','15','100','6.7','48','1'
BrycePierre,ASU,'TE','13','100','7.7','19','0'
SterlingGalban,JVST,'WR','9','99','11.0','23','1'
RyanRivera,LT,'TE','7','99','14.1','21','0'
TyroneBroden,ARK,'WR','12','99','8.3','19','2'
Ja'CyaisCredle,GAST,'WR','11','99','9.0','16','0'
BobbyGolden,AKR,'WR','13','99','7.6','22','0'
JamaryeJoiner,JVST,'WR','9','98','10.9','22','0'
NathanCarter,MSU,'RB','19','98','5.2','21','0'
RayshonLuke,ARIZ,'RB','3','98','32.7','66','0'
DevinMockobee,PUR,'RB','15','98','6.5','24','0'
MylesBailey,CMU,'RB','12','98','8.2','23','0'
PatrickHerbert,ORE,'TE','10','97','9.7','23','1'
MarcusBellon,UTEP,'WR','10','97','9.7','20','0'
AndyJean,FLA,'WR','6','97','16.2','32','0'
JaydenDixon-Veal,PUR,'WR','12','97','8.1','29','1'
EthanConner,TROY,'TE','8','97','12.1','19','2'
ThomasGordon,NU,'TE','9','96','10.7','18','1'
BraelonAllen,WIS,'RB','24','96','4.0','12','0'
ReeseClark,TEM,'TE','13','96','7.4','28','1'
DaijunEdwards,UGA,'RB','11','95','8.6','23','0'
BrandonBuckhaulter,UAB,'WR','4','95','23.8','75','1'
StacySneed,HOU,'RB','13','95','7.3','58','1'
PrestonHoward,MD,'TE','8','95','11.9','33','0'
KennyJohnson,PITT,'WR','9','95','10.6','34','1'
JarquezHunter,AUB,'RB','11','94','8.5','47','0'
SethAnderson,IOWA,'WR','7','94','13.4','36','1'
GilesJackson,WASH,'WR','12','93','7.8','26','1'
MershawnRice,PUR,'WR','4','93','23.3','43','0'
KadenFeagin,ILL,'RB','8','93','11.6','54','1'
ColeCavallo,USM,'TE','8','92','11.5','17','0'
KennyTracy,M-OH,'RB','8','92','11.5','39','1'
CashJones,UGA,'RB','11','92','8.4','27','1'
MatthewColeman,SJSU,'WR','9','92','10.2','29','0'
TobiOlawole,ARMY,'WR','6','92','15.3','43','0'
AustinStogner,OU,'TE','10','91','9.1','19','0'
BJAlexander,FAU,'WR','9','91','10.1','23','1'
ThomazWhitford,NMSU,'TE','8','91','11.4','20','2'
MarcusSandersJr.,GASO,'WR','6','91','15.2','30','1'
JacobFields,LT,'DB','11','91','8.3','20','0'
MalikBenson,ALA,'WR','8','91','11.4','27','0'
Kay'RonLynch-Adams,MASS,'RB','16','90','5.6','21','0'
E.J.Smith,STAN,'RB','16','90','5.6','22','0'
LiamClifford,PSU,'WR','9','90','10.0','33','0'
BarryJacksonJr.,CIN,'WR','2','90','45.0','65','1'
TyquanHenderson,USM,'WR','9','90','10.0','18','1'
ThomasYassmin,UTAH,'TE','8','89','11.1','41','1'
BaylorCupp,TTU,'TE','8','89','11.1','19','2'
JadenDottin,TOL,'WR','8','89','11.1','16','0'
EvanPrater,CIN,'WR','10','89','8.9','14','0'
DarionWilliamson,FSU,'WR','7','89','12.7','23','1'
GamarionCarter,VAN,'WR','3','89','29.7','41','0'
CraigBurtJr.,WKU,'WR','10','89','8.9','27','0'
C'BoFlemister,PITT,'RB','6','88','14.7','61','1'
GavinBlackwell,UNC,'WR','6','88','14.7','38','0'
TajiHudson,JMU,'WR','8','88','11.0','32','1'
JoshHenderson,IU,'RB','6','88','14.7','22','0'
RicoBarfield,BALL,'RB','6','88','14.7','27','1'
KevinGreenJr.,ARIZ,'WR','7','88','12.6','26','0'
MekhiMiller,MIZ,'WR','6','88','14.7','31','1'
KyeRobichaux,BC,'RB','10','88','8.8','45','0'
MalachiColeman,NEB,'WR','4','88','22.0','44','1'
JaylenLloyd,NEB,'WR','3','88','29.3','73','1'
DonerioDavenport,TXST,'RB','9','88','9.8','27','1'
JujuMcDowell,SC,'RB','10','87','8.7','27','1'
CamrynEdwards,CONN,'RB','10','87','8.7','26','1'
DestynHill,FSU,'WR','6','87','14.5','30','0'
KeshawnWicks,ODU,'RB','11','86','7.8','21','1'
LandonParker,TROY,'WR','5','85','17.0','29','1'
XavierJohnson,OSU,'WR','7','85','12.1','40','0'
GeorgeHolani,BOIS,'RB','11','85','7.7','32','0'
AntonioHarmon,MSST,'TE','10','85','8.5','21','1'
JoshWilliams,LSU,'RB','6','85','14.2','38','1'
KobyDuru,LT,'WR','6','84','14.0','53','2'
TalikKeaton,MRSH,'WR','9','84','9.3','21','0'
PerrisJones,UVA,'RB','4','84','21.0','60','0'
JordanWaters,DUKE,'RB','6','84','14.0','25','0'
KarterJohnson,PITT,'TE','4','84','21.0','50','1'
PaytenSingletary,CIN,'TE','9','84','9.3','32','2'
AhmonGreen,GAST,'TE','11','84','7.6','24','2'
JoshuaThompson,GASO,'WR','2','84','42.0','43','0'
LoganKyle,VAN,'TE','9','83','9.2','28','0'
PeytonHiggins,TROY,'WR','6','83','13.8','32','0'
RodneyHill,FSU,'RB','5','83','16.6','48','0'
JeremiahFranklin,BC,'TE','7','83','11.9','30','1'
RashodDubinion,ARK,'RB','13','83','6.4','26','1'
RuebenOwens,TA&M,'RB','9','83','9.2','26','0'
ClaytonOllendieck,TROY,'TE','7','83','11.9','27','0'
JakeNewell,AKR,'TE','8','83','10.4','29','0'
GavinFreeman,OU,'WR','17','83','4.9','13','1'
RichieHoskins,VAN,'WR','6','83','13.8','27','2'
JefferyPittman,MSST,'RB','10','83','8.3','29','2'
TySonLawton,JMU,'RB','10','82','8.2','14','1'
JaylonBarden,GASO,'WR','9','82','9.1','23','0'
LoganDiggs,LSU,'RB','8','82','10.3','18','0'
AntonioGatesJr.,MSU,'WR','5','82','16.4','45','1'
E.J.WilliamsJr.,IU,'WR','7','82','11.7','21','0'
CamPorter,NU,'RB','15','82','5.5','17','1'
CameronBall,BUFF,'TE','8','82','10.3','32','0'
CadeHarris,AFA,'WR','2','82','41.0','54','1'
BrandonEngel,AFA,'WR','5','82','16.4','28','0'
AnwarLewis,JVST,'RB','10','82','8.2','19','0'
CCEzirim,TOL,'TE','4','82','20.5','35','0'
NathanielPeat,MIZ,'RB','6','81','13.5','49','1'
KodyEpps,BYU,'WR','8','81','10.1','20','0'
JavonteSherman,MTSU,'WR','8','81','10.1','17','0'
HoustonThomas,UTSA,'TE','5','81','16.2','26','0'
DariusTaylor,MINN,'RB','9','81','9.0','25','0'
MalcolmGillie,BALL,'WR','9','81','9.0','18','0'
UlyssesBentleyIV,MISS,'RB','9','80','8.9','25','1'
BlakeNowell,TCU,'WR','8','80','10.0','20','1'
AydenWilliams,MISS,'WR','4','80','20.0','43','0'
ChasNimrod,TENN,'WR','6','80','13.3','39','1'
CooperRusk,TOL,'WR','6','80','13.3','33','2'
BradleyArcher,IU,'TE','6','79','13.2','24','0'
HaydenRucci,WIS,'TE','7','79','11.3','45','0'
AidanBitter,ISU,'WR','5','79','15.8','45','0'
KendrickLaw,ALA,'WR','7','79','11.3','34','0'
IsaahCrocker,NEV,'WR','3','78','26.0','55','1'
EastonDean,ISU,'TE','13','78','6.0','15','1'
JadonThompson,LOU,'WR','6','78','13.0','37','1'
NoahWhittington,ORE,'RB','10','78','7.8','31','0'
MarcusBurke,FLA,'WR','5','78','15.6','37','0'
TalynShettron,OKST,'WR','6','78','13.0','19','0'
MichaelHetzel,APP,'WR','7','78','11.1','22','1'
CamdenBrown,AUB,'WR','8','78','9.8','15','0'
MasonWilliams,OHIO,'TE','3','78','26.0','34','1'
MichelDukes,USF,'RB','8','77','9.6','39','0'
WillNixon,WASH,'RB','10','77','7.7','18','0'
MonteWatkins,NMSU,'RB','8','77','9.6','39','1'
DevinVoisin,USA,'WR','5','77','15.4','29','1'
MattLauter,BOIS,'TE','4','77','19.3','59','0'
MalcolmJohnsonJr.,AUB,'WR','5','77','15.4','30','0'
DJRogers,TCU,'TE','6','77','12.8','22','1'
NathanKent,NAVY,'WR','4','77','19.3','35','1'
TyshawnRussell,SC,'WR','4','77','19.3','50','1'
JordanSmith,NMSU,'WR','6','77','12.8','29','0'
JavonIvory,USA,'WR','10','76','7.6','19','0'
Ay'JaunMarshall,ARMY,'WR','6','76','12.7','20','0'
DrakeAnderson,AKR,'RB','15','75','5.0','15','1'
JacobWarren,TENN,'TE','9','75','8.3','14','3'
CodySchrader,MIZ,'RB','15','75','5.0','9','0'
MarcusMajor,OU,'RB','12','75','6.3','27','1'
JonathanOdom,FLA,'TE','9','75','8.3','23','0'
AaronTurner,CIN,'WR','10','75','7.5','21','2'
MikeO'Laughlin,HOU,'TE','10','74','7.4','13','0'
IfeAdeyi,SHSU,'WR','7','74','10.6','26','0'
PhilMafah,CLEM,'RB','15','74','4.9','13','0'
JakeClemons,CLT,'TE','10','74','7.4','19','1'
RockyBeers,FIU,'TE','7','74','10.6','19','0'
MalikJackson,JVST,'RB','13','73','5.6','16','0'
BrettSeither,GT,'TE','6','73','12.2','35','4'
AveryBoyd,GT,'WR','5','73','14.6','31','2'
Le'MekeBrockington,MINN,'WR','5','73','14.6','25','1'
JordanJames,ORE,'RB','11','73','6.6','22','1'
MalachiHolt-Bennett,UAB,'WR','4','73','18.3','37','1'
JordanNabors,BAY,'WR','8','73','9.1','43','0'
JehlaniGalloway,WMU,'WR','13','72','5.5','19','0'
AliJennings,VT,'WR','5','72','14.4','44','2'
RaheimSanders,ARK,'RB','9','72','8.0','38','0'
ArmaniWinfield,BAY,'WR','6','72','12.0','29','0'
ShaadieClayton-Johnson,TULN,'RB','5','72','14.4','29','0'
KaydinPope,UNM,'WR','5','72','14.4','46','1'
JRWilson,UVA,'WR','6','72','12.0','32','0'
TJHarden,UCLA,'RB','10','72','7.2','25','0'
JohnHumphreys,STAN,'WR','5','71','14.2','31','1'
MalikMcClain,PSU,'WR','6','71','11.8','25','1'
TimothyConerly,UNLV,'WR','7','71','10.1','23','0'
SamScott,WYO,'RB','9','71','7.9','18','0'
KalebWebb,TENN,'WR','6','71','11.8','28','1'
HykeemWilliams,FSU,'WR','4','71','17.8','44','1'
KarsynPupunu,HAW,'WR','5','71','14.2','33','0'
TuckerAshcraft,WIS,'TE','5','71','14.2','24','1'
KamreanJohnson,VAN,'TE','7','71','10.1','17','2'
JoeyGatewood,LOU,'TE','3','70','23.3','34','1'
JaylanFranklin,MSU,'TE','5','70','14.0','46','0'
JaredCasey,KU,'TE','6','70','11.7','24','1'
JoshKattus,UK,'TE','6','70','11.7','18','2'
ChanceMorrow,BUFF,'WR','4','70','17.5','29','0'
JaquaizePettaway,OU,'WR','11','70','6.4','13','0'
BrockLampe,NIU,'FB','5','70','14.0','26','0'
LukeMcGary,TLSA,'TE','6','70','11.7','24','2'
JaylanKnighton,SMU,'RB','8','69','8.6','28','0'
TrevorKardell,KU,'TE','5','69','13.8','20','1'
NateNoel,APP,'RB','12','69','5.8','15','0'
KelseyJohnson,BAY,'TE','9','69','7.7','21','0'
JaednSkeete,BC,'WR','6','69','11.5','34','0'
TahjBrooks,TTU,'RB','18','68','3.8','12','0'
DacariCollins,NCSU,'WR','5','68','13.6','23','1'
AustinJones,USC,'RB','7','68','9.7','24','1'
AlexBrown,WYO,'WR','6','68','11.3','16','0'
Le'VeonMoss,TA&M,'RB','9','68','7.6','19','0'
JalenHale,ALA,'WR','3','68','22.7','33','1'
MitchelCollier,CMU,'TE','7','68','9.7','20','1'
MillerMcCrumby,ARST,'TE','6','68','11.3','21','0'
CadarriusThompson,GAST,'WR','11','67','6.1','11','1'
ArianSmith,UGA,'WR','4','67','16.8','37','1'
IsaacJernagin,SJSU,'WR','8','67','8.4','34','0'
MalachaiJones,TLSA,'WR','4','67','16.8','31','1'
IsaiahEssissima,NEV,'CB','2','67','33.5','43','0'
OrondeGadsdenII,SYR,'TE','7','67','9.6','17','1'
AnthonyHankerson,COLO,'RB','14','67','4.8','12','1'
RobertHenry,UTSA,'RB','12','67','5.6','14','0'
JacobKibodi,UL,'RB','6','66','11.0','37','1'
ElijahYoung,WKU,'RB','9','66','7.3','43','1'
DemieSumo-Karngbaye,UK,'RB','13','66','5.1','18','1'
MichaelAllen,NCSU,'RB','11','66','6.0','19','0'
TyrellRobinson,ARMY,'RB','5','66','13.2','23','0'
DamienMartinez,ORST,'RB','7','66','9.4','16','0'
OJArnold,GASO,'RB','8','66','8.3','21','0'
TaweeWalker,OU,'RB','7','66','9.4','16','0'
AdamMoore,SMU,'TE','3','66','22.0','52','0'
ChrisCarter,TULN,'TE','6','65','10.8','18','0'
SeanDollars,NEV,'RB','14','65','4.6','26','0'
VincentDavisJr.,UNLV,'RB','5','65','13.0','27','1'
MichaelTrigg,MISS,'TE','4','65','16.3','21','1'
LandenKing,UTAH,'TE','7','65','9.3','20','3'
JadarianPrice,ND,'RB','5','65','13.0','40','1'
HankBeatty,ILL,'WR','8','65','8.1','26','0'
JuiceVereen,NCSU,'TE','4','65','16.3','22','0'
ChaseHendricks,OHIO,'WR','7','65','9.3','20','0'
GeorgeTakacs,BC,'TE','6','64','10.7','27','1'
DontaeFleming,TULN,'WR','4','64','16.0','39','0'
JimmyValsinIII,ORST,'WR','4','64','16.0','20','1'
JaquezMoore,DUKE,'RB','4','64','16.0','28','0'
JeremiyahLove,ND,'RB','7','64','9.1','33','0'
L.T.Sanders,WKU,'RB','7','64','9.1','19','0'
BlakeCorum,MICH,'RB','10','63','6.3','20','0'
