Player,School,POS,REC,YDS,AVG,LNG,TD
GeorgeJohnsonIII,MASS,'WR','28','355','12.7','32','3'
CameronRoss,CONN,'WR','34','353','10.4','41','1'
JackHestera,CLT,'WR','27','353','13.1','37','3'
DalenCobb,GASO,'WR','25','353','14.1','76','1'
BlakeWatson,MEM,'RB','35','352','10.1','63','1'
JairusMack,CLT,'WR','19','350','18.4','51','1'
JadenBray,OKST,'WR','27','349','12.9','45','1'
ZaeBaines,TEM,'WR','26','347','13.3','60','0'
DrakeDabney,BAY,'TE','23','347','15.1','53','4'
KyrenLacy,LSU,'WR','18','347','19.3','57','4'
DariusLassiter,BYU,'WR','28','347','12.4','47','4'
Da'QuanFelton,VT,'WR','24','346','14.4','62','4'
MichaelBrown-Stephens,USF,'WR','26','344','13.2','38','2'
JermaineBrownJr.,UAB,'RB','30','343','11.4','55','1'
DariyanWiley,ULM,'WR','19','340','17.9','68','2'
TajDavis,CAL,'WR','31','338','10.9','27','3'
DevaughnVele,UTAH,'WR','29','337','11.6','35','2'
Ke'ShawnWilliams,WAKE,'WR','31','337','10.9','34','1'
LaddMcConkey,UGA,'WR','22','337','15.3','54','1'
TJSheffield,PUR,'WR','30','336','11.2','43','1'
EastonMesser,WKU,'WR','27','335','12.4','35','3'
KamdynBenjamin,TLSA,'WR','25','334','13.4','40','2'
IsaacRex,BYU,'TE','26','333','12.8','65','1'
JerandBradley,TTU,'WR','31','332','10.7','34','4'
EmekaEgbuka,OSU,'WR','26','332','12.8','28','3'
JaredRoznos,AFA,'WR','11','332','30.2','84','2'
JaQuaeJackson,RUTG,'WR','20','331','16.5','61','1'
DeanPatterson,FIU,'WR','20','330','16.5','40','0'
Abdur-RahmaanYaseen,PUR,'WR','25','329','13.2','30','0'
CalebMedford,UNM,'WR','20','327','16.4','55','1'
TigerBachmeier,STAN,'WR','32','327','10.2','35','1'
GavinBartholomew,PITT,'TE','18','326','18.1','60','1'
JoeWilkinsJr.,M-OH,'WR','23','325','14.1','49','1'
D.J.Washington,UNM,'WR','26','324','12.5','35','3'
MarlynJohnson,BUFF,'WR','32','322','10.1','36','4'
TrentHudson,NMSU,'WR','17','322','18.9','78','6'
DashaunDavis,APP,'WR','25','320','12.8','57','3'
DanteWright,TEM,'WR','26','319','12.3','36','2'
JordanKerley,SMU,'WR','18','319','17.7','59','2'
KacperRutkiewicz,NIU,'WR','21','319','15.2','64','2'
MasonFairchild,KU,'TE','21','317','15.1','44','2'
JordanHudson,SMU,'WR','22','317','14.4','67','5'
RJMaryland,SMU,'TE','23','315','13.7','62','5'
JacobBernard,UL,'WR','24','313','13.0','43','1'
RobertWilliams,UL,'WR','24','313','13.0','60','3'
JalenMcMillan,WASH,'WR','20','311','15.6','39','3'
RaraThomas,UGA,'WR','20','311','15.6','56','1'
DarrellHardingJr.,BUFF,'WR','19','310','16.3','51','3'
SavionWilliams,TCU,'WR','25','310','12.4','31','3'
JalinConyers,ASU,'TE','24','310','12.9','50','0'
ZavionThomas,MSST,'WR','27','310','11.5','32','1'
QianMagwood,BALL,'WR','34','309','9.1','32','1'
KhafreBrown,USF,'WR','18','305','16.9','84','3'
KoleTaylor,WVU,'TE','25','305','12.2','43','3'
MekhiShaw,SDSU,'WR','21','305','14.5','69','2'
DonovanBrown,SYR,'WR','23','305','13.3','86','1'
ReymelloMurphy,ODU,'WR','15','302','20.1','61','2'
MarkPope,MASS,'WR','24','301','12.5','54','1'
MarioWilliams,USC,'WR','28','301','10.8','29','2'
ChrisParker,CMU,'WR','19','301','15.8','56','2'
MarkRedman,SDSU,'TE','28','300','10.7','29','3'
ErickAll,IOWA,'TE','21','299','14.2','34','3'
WesleyGrimes,WAKE,'WR','16','299','18.7','49','2'
HudsonClement,WVU,'WR','12','298','24.8','70','4'
CaseyWashington,ILL,'WR','27','295','10.9','33','0'
LukeGrimm,KU,'WR','23','295','12.8','48','3'
HaroldFanninJr.,BGSU,'TE','22','293','13.3','40','3'
CoreyCroomsJr.,MINN,'WR','24','292','12.2','30','0'
BugsMortimer,ULM,'WR','15','291','19.4','54','0'
JosephGriffinJr.,BC,'WR','23','291','12.7','35','1'
IsiahPaige,ODU,'WR','30','291','9.7','26','1'
GraysonBarnes,NIU,'WR','16','291','18.2','58','3'
BrionnePenny,SDSU,'WR','24','290','12.1','36','1'
JordanWhittington,TEX,'WR','27','290','10.7','31','0'
TreWatson,FRES,'TE','28','289','10.3','28','4'
TreMosley,MSU,'WR','28','288','10.3','30','2'
GermieBernard,WASH,'WR','21','288','13.7','36','1'
TerranceFerguson,ORE,'TE','27','287','10.6','33','2'
BuckyIrving,ORE,'RB','35','286','8.2','42','1'
JonahColeman,ARIZ,'RB','22','285','13.0','69','1'
RicoFloresJr.,ND,'WR','18','285','15.8','60','1'
CamCamper,IU,'WR','17','285','16.8','41','1'
JayFair,AUB,'WR','28','284','10.1','36','2'
MarquisShoulders,TLSA,'WR','16','283','17.7','80','5'
JBMitchellIII,EMU,'WR','24','283','11.8','50','1'
ChimereDike,WIS,'WR','16','282','17.6','41','1'
KobePaysour,UNC,'WR','22','282','12.8','77','3'
TonyJohnson,FAU,'WR','26','282','10.8','72','3'
Al'vonteWoodard,SHSU,'WR','24','281','11.7','26','2'
CadeMcDonald,M-OH,'WR','21','281','13.4','42','2'
AnthonyTorres,TOL,'TE','16','280','17.5','36','2'
RomelloBrinson,SMU,'WR','18','280','15.6','74','2'
JamesonTucker,CCU,'WR','13','280','21.5','51','2'
DevonteRoss,TROY,'WR','25','280','11.2','38','2'
LorenzoLingard,AKR,'RB','24','279','11.6','77','1'
JavonHarvey,ODU,'WR','14','279','19.9','68','2'
KyleMaxwell,LT,'WR','14','279','19.9','47','2'
PrestonFox,WVU,'WR','18','278','15.4','34','2'
TreyKnox,SC,'TE','32','277','8.7','20','2'
RivaldoFairweather,AUB,'TE','27','277','10.3','53','3'
KobyDrake,MEM,'WR','25','277','11.1','24','2'
DominickMazotti,SJSU,'TE','19','274','14.4','44','1'
JahdaeWalker,TA&M,'WR','18','274','15.2','37','1'
CameronSkattebo,ASU,'RB','20','273','13.6','66','1'
RoderickDanielsJr.,SMU,'WR','16','272','17.0','91','4'
ChrisBell,LOU,'WR','15','272','18.1','48','2'
TraeshonHolden,ORE,'WR','27','271','10.0','60','4'
EliStowers,NMSU,'QB','24','271','11.3','32','0'
HamzeEl-Zayat,EMU,'WR','18','270','15.0','50','2'
WyattWieland,WYO,'WR','29','270','9.3','29','4'
DominickBlaylock,GT,'WR','19','269','14.2','34','1'
StephenGosnell,VT,'WR','19','268','14.1','39','0'
JsiHatfield,ECU,'WR','20','268','13.4','39','0'
ArlisBoardingham,FLA,'TE','23','268','11.7','25','4'
MarquisJohnson,MIZ,'WR','9','268','29.8','76','3'
TreyCleveland,UNT,'WR','18','267','14.8','32','2'
OmarCooperJr.,IU,'WR','18','267','14.8','35','2'
CalebCoombs,MRSH,'WR','30','266','8.9','24','2'
ColeHarrity,BUFF,'WR','31','266','8.6','29','3'
IsaiahAlston,ARMY,'WR','9','266','29.6','70','2'
GaryBryantJr.,ORE,'WR','20','265','13.3','31','2'
JaylonRobinson,TCU,'WR','24','264','11.0','29','1'
BodenGroen,RICE,'TE','27','264','9.8','31','1'
ChristianLeary,GT,'WR','20','263','13.1','44','2'
DJGiddens,KSU,'RB','24','263','11.0','61','1'
JaronGlover,MSU,'WR','14','261','18.6','33','0'
CharlesRoss,SJSU,'WR','19','260','13.7','35','1'
AyirAsante,WYO,'WR','13','259','19.9','66','5'
Ta'ronKeith,BGSU,'RB','27','259','9.6','58','2'
NoahThomas,TA&M,'WR','20','259','12.9','34','4'
JackEndries,CAL,'TE','22','259','11.8','30','1'
MilanTucker,APP,'WR','17','258','15.2','69','1'
DalvinSmith,WKU,'WR','28','257','9.2','42','2'
TrellHarris,KENT,'WR','15','257','17.1','43','1'
EricRivers,FIU,'WR','21','256','12.2','48','0'
BenjaminBrahmer,ISU,'TE','19','255','13.4','48','2'
LandonRansom-Goelz,RICE,'WR','17','255','15.0','44','2'
LukeHasz,ARK,'TE','16','253','15.8','59','3'
JamaalBell,NEV,'WR','29','252','8.7','77','1'
JaydenThomas,ND,'WR','17','251','14.8','39','1'
TysonDavis,CMU,'WR','20','251','12.6','31','2'
DylanEdwards,COLO,'RB','29','251','8.7','75','3'
NoahShort,ARMY,'WR','17','251','14.8','80','2'
AhmadEdwards,BALL,'WR','20','250','12.5','57','1'
AnthonyQueeley,GASO,'WR','26','249','9.6','18','3'
AlexPerry,HAW,'WR','22','249','11.3','38','3'
IsaacTeSlaa,ARK,'WR','25','248','9.9','36','1'
BlairConwright,UNT,'WR','17','247','14.5','43','1'
