Player,School,POS,SOLO,AST,TOT,SACK,YDS,PD,INT,LNG,TD,FF
Jason Henderson,ODU,['LB'],['37'],['80'],['117'],['2.5'],['15'],['0'],['0'],['0'],['0'],['0']
Joe Sparacio,EMU,['LB'],['45'],['61'],['106'],['2.0'],['0'],['2'],['0'],['0'],['0'],['2']
Tyrice Knight,UTEP,['LB'],['66'],['36'],['102'],['3.5'],['18'],['3'],['0'],['0'],['0'],['0']
Jay Higgins,IOWA,['LB'],['43'],['58'],['101'],['0.0'],['0'],['2'],['1'],['0'],['0'],['1']
Bryce Houston,OHIO,['LB'],['40'],['53'],['93'],['1.5'],['15'],['0'],['2'],['24'],['0'],['1']
Matt Salopek,M-OH,['LB'],['51'],['42'],['93'],['2.0'],['0'],['1'],['0'],['0'],['0'],['0']
Trevor Williams,SHSU,['LB'],['59'],['33'],['92'],['0.5'],['0'],['0'],['0'],['0'],['0'],['1']
Donovan Manuel,FIU,['LB'],['47'],['43'],['90'],['0.5'],['0'],['2'],['0'],['0'],['0'],['4']
Payton Wilson,NCSU,['LB'],['41'],['48'],['89'],['4.0'],['11'],['3'],['2'],['15'],['1'],['0']
Chase Kline,EMU,['LB'],['30'],['55'],['85'],['2.0'],['24'],['2'],['0'],['0'],['0'],['2']
Jett Johnson,MSST,['LB'],['35'],['49'],['84'],['4.0'],['20'],['0'],['2'],['33'],['0'],['2']
MJ Tafisi Jr.,USU,['LB'],['32'],['51'],['83'],['0.0'],['0'],['1'],['0'],['0'],['0'],['2']
Nickolas Martin,OKST,['LB'],['40'],['43'],['83'],['5.0'],['3'],['0'],['1'],['13'],['0'],['1']
Jackson Mitchell,CONN,['LB'],['39'],['42'],['81'],['1.0'],['0'],['1'],['1'],['0'],['0'],['0']
Nathaniel Watson,MSST,['LB'],['26'],['54'],['80'],['7.5'],['4'],['2'],['1'],['16'],['0'],['1']
Kendarin Ray,TLSA,['S'],['40'],['40'],['80'],['0.0'],['0'],['0'],['1'],['0'],['0'],['0']
Terry Jones,ODU,['S'],['21'],['58'],['79'],['0.0'],['28'],['4'],['0'],['0'],['0'],['0']
Hunter Wohler,WIS,['S'],['49'],['29'],['78'],['1.0'],['19'],['4'],['2'],['0'],['0'],['0']
Jack Howell,CSU,['DB'],['24'],['54'],['78'],['0.0'],['10'],['2'],['1'],['23'],['0'],['1']
Chase Wilson,CSU,['LB'],['30'],['47'],['77'],['1.0'],['0'],['2'],['0'],['0'],['0'],['0']
Cedric Gray,UNC,['LB'],['42'],['34'],['76'],['2.5'],['22'],['3'],['1'],['0'],['0'],['1']
Bryan McCoy,AKR,['LB'],['25'],['51'],['76'],['1.0'],['33'],['0'],['0'],['0'],['0'],['0']
Easton Gibbs,WYO,['LB'],['37'],['37'],['74'],['0.5'],['0'],['4'],['0'],['0'],['0'],['2']
Jaheim Thomas,ARK,['LB'],['32'],['42'],['74'],['3.5'],['0'],['2'],['0'],['0'],['0'],['0']
Marques Watson-Trent,GASO,['LB'],['39'],['35'],['74'],['2.5'],['13'],['1'],['2'],['50'],['1'],['1']
Dillon Thieneman,PUR,['DB'],['52'],['22'],['74'],['0.0'],['13'],['1'],['3'],['26'],['0'],['2']
Danny Stutsman,OU,['LB'],['35'],['38'],['73'],['2.0'],['6'],['2'],['1'],['30'],['1'],['1']
Easton Mascarenas-Arnold,ORST,['LB'],['28'],['45'],['73'],['2.0'],['0'],['0'],['2'],['10'],['0'],['0']
Dallas Gant,TOL,['LB'],['35'],['37'],['72'],['1.0'],['52'],['1'],['1'],['0'],['0'],['1']
Jason Johnson,UCF,['LB'],['46'],['26'],['72'],['0.0'],['16'],['0'],['0'],['0'],['0'],['0']
Ben Roberts,TTU,['LB'],['37'],['35'],['72'],['0.5'],['0'],['0'],['1'],['5'],['0'],['2']
Namdi Obiazor,TCU,['LB'],['41'],['31'],['72'],['4.0'],['0'],['2'],['0'],['0'],['0'],['0']
Myles Heard,LT,['DB'],['32'],['39'],['71'],['0.0'],['0'],['4'],['0'],['0'],['0'],['1']
Bryun Parham,SJSU,['LB'],['40'],['31'],['71'],['0.5'],['0'],['1'],['0'],['0'],['0'],['1']
Tre Freeman,DUKE,['LB'],['30'],['41'],['71'],['0.5'],['1'],['1'],['1'],['24'],['0'],['1']
Tyren Dupree,LIB,['LB'],['38'],['32'],['70'],['2.0'],['0'],['2'],['2'],['6'],['0'],['0']
Bryce Gallagher,NU,['LB'],['25'],['45'],['70'],['1.0'],['0'],['1'],['1'],['0'],['0'],['2']
Wayne Matthews III,ODU,['LB'],['19'],['51'],['70'],['1.5'],['23'],['2'],['0'],['0'],['0'],['1']
Debo Williams,SC,['LB'],['40'],['30'],['70'],['1.0'],['6'],['2'],['0'],['0'],['0'],['0']
Aaron Casey,IU,['LB'],['47'],['22'],['69'],['3.5'],['0'],['2'],['0'],['0'],['0'],['1']
Jonas Sanker,UVA,['S'],['50'],['19'],['69'],['0.0'],['13'],['8'],['0'],['0'],['0'],['2']
Jackson Woodard,UNLV,['LB'],['30'],['39'],['69'],['0.0'],['0'],['2'],['1'],['5'],['0'],['0']
Andrew Parker Jr.,APP,['LB'],['32'],['36'],['68'],['2.0'],['7'],['1'],['0'],['0'],['0'],['0']
Keye Thompson,OHIO,['LB'],['23'],['44'],['67'],['1.5'],['0'],['2'],['1'],['8'],['0'],['0']
Marlowe Wax,SYR,['LB'],['40'],['27'],['67'],['4.0'],['4'],['2'],['1'],['14'],['0'],['3']
Kaleb Elarms-Orr,CAL,['LB'],['39'],['28'],['67'],['0.0'],['0'],['5'],['1'],['1'],['0'],['1']
Keli Lawson,VT,['LB'],['32'],['34'],['66'],['1.5'],['15'],['4'],['1'],['4'],['0'],['1']
Jordan Brown,UNT,['LB'],['36'],['30'],['66'],['1.0'],['0'],['0'],['0'],['0'],['0'],['0']
Nick Jackson,IOWA,['LB'],['26'],['39'],['65'],['1.0'],['10'],['1'],['0'],['0'],['0'],['2']
Brian Holloway,TXST,['LB'],['36'],['29'],['65'],['0.5'],['50'],['0'],['1'],['0'],['0'],['2']
Donovan McMillon,PITT,['DB'],['29'],['36'],['65'],['0.0'],['0'],['1'],['0'],['0'],['0'],['0']
Aiden Fisher,JMU,['LB'],['24'],['41'],['65'],['1.5'],['26'],['5'],['1'],['4'],['0'],['0']
Justin Sanchez,CSU,['LB'],['28'],['37'],['65'],['0.0'],['13'],['2'],['0'],['0'],['0'],['1']
Emany Johnson,NEV,['DB'],['45'],['19'],['64'],['0.0'],['30'],['0'],['2'],['0'],['0'],['1']
Jontrey Hunter,GAST,['LB'],['36'],['28'],['64'],['1.0'],['23'],['3'],['0'],['0'],['0'],['2']
Shae Suiaunoa,WYO,['LB'],['43'],['21'],['64'],['2.0'],['10'],['2'],['0'],['0'],['0'],['0']
Keionte Newson,BALL,['LB'],['35'],['29'],['64'],['1.5'],['3'],['2'],['0'],['0'],['0'],['1']
Kendal Daniels,OKST,['S'],['39'],['25'],['64'],['1.0'],['0'],['0'],['1'],['20'],['0'],['1']
Shawn Asbury II,ODU,['S'],['30'],['34'],['64'],['0.0'],['0'],['3'],['1'],['46'],['0'],['0']
Jalon Kilgore,SC,['DB'],['39'],['25'],['64'],['0.0'],['0'],['5'],['1'],['0'],['0'],['0']
Antavious Fish,AKR,['LB'],['27'],['37'],['64'],['1.0'],['2'],['0'],['0'],['0'],['0'],['0']
Quae Drake,JVST,['LB'],['29'],['34'],['63'],['0.0'],['5'],['2'],['1'],['0'],['0'],['0']
Jeslord Boateng,LT,['LB'],['21'],['42'],['63'],['1.0'],['40'],['1'],['0'],['0'],['0'],['0']
Jesus Machado,TULN,['LB'],['33'],['30'],['63'],['0.0'],['0'],['1'],['1'],['17'],['0'],['0']
Reggie Peterson,FIU,['LB'],['34'],['29'],['63'],['2.5'],['0'],['0'],['1'],['61'],['0'],['0']
Caleb Downs,ALA,['DB'],['39'],['24'],['63'],['0.0'],['0'],['1'],['2'],['11'],['0'],['1']
Jacob Manu,ARIZ,['LB'],['23'],['40'],['63'],['3.5'],['5'],['1'],['0'],['0'],['0'],['0']
Javante Mackey,ARST,['LB'],['39'],['24'],['63'],['2.0'],['0'],['0'],['0'],['0'],['0'],['0']
Joe Andreessen,BUFF,['LB'],['38'],['24'],['62'],['1.0'],['2'],['1'],['0'],['0'],['0'],['1']
Eugene Asante,AUB,['LB'],['40'],['22'],['62'],['3.5'],['24'],['1'],['0'],['0'],['0'],['0']
Anthony Switzer,USU,['S'],['32'],['30'],['62'],['1.0'],['6'],['2'],['1'],['2'],['0'],['0']
Jacob Roberts,WAKE,['LB'],['26'],['36'],['62'],['5.0'],['6'],['0'],['0'],['0'],['0'],['1']
Ike Larsen,USU,['S'],['35'],['27'],['62'],['0.0'],['12'],['5'],['3'],['47'],['1'],['1']
Malik Robinson,HOU,['LB'],['29'],['32'],['61'],['0.0'],['0'],['1'],['0'],['0'],['0'],['0']
Isaiah Tufaga,HAW,['LB'],['34'],['27'],['61'],['2.0'],['15'],['0'],['0'],['0'],['0'],['1']
Tommy Eichenberg,OSU,['LB'],['35'],['26'],['61'],['1.0'],['0'],['0'],['0'],['0'],['0'],['1']
Power Echols,UNC,['LB'],['40'],['21'],['61'],['0.0'],['11'],['1'],['1'],['0'],['0'],['1']
TJ Quinn,LOU,['LB'],['22'],['39'],['61'],['0.0'],['0'],['2'],['0'],['0'],['0'],['0']
Quentin Wilfawn,USA,['LB'],['33'],['28'],['61'],['3.0'],['22'],['0'],['0'],['0'],['0'],['1']
Peter Manuma,HAW,['DB'],['40'],['21'],['61'],['0.0'],['0'],['1'],['1'],['5'],['0'],['0']
Sam Brumfield,MTSU,['LB'],['37'],['24'],['61'],['2.5'],['0'],['0'],['0'],['0'],['0'],['2']
Tywan Francis,TEM,['S'],['42'],['18'],['60'],['0.0'],['0'],['5'],['1'],['2'],['0'],['0']
Cole Pearce,BALL,['LB'],['34'],['26'],['60'],['3.0'],['0'],['2'],['0'],['0'],['0'],['2']
Nick Ross,APP,['S'],['27'],['33'],['60'],['1.5'],['5'],['2'],['1'],['0'],['0'],['0']
Justin Barron,SYR,['DB'],['35'],['25'],['60'],['0.5'],['19'],['4'],['1'],['5'],['0'],['2']
Jordan Magee,TEM,['LB'],['34'],['26'],['60'],['2.5'],['0'],['3'],['0'],['0'],['0'],['1']
Kyle Thornton,WSU,['LB'],['22'],['38'],['60'],['1.0'],['9'],['0'],['0'],['0'],['0'],['0']
Michael Batton,ULM,['LB'],['21'],['39'],['60'],['0.5'],['8'],['0'],['0'],['0'],['0'],['0']
Chandler Martin,MEM,['LB'],['42'],['18'],['60'],['2.0'],['26'],['0'],['0'],['0'],['0'],['2']
Julius Wood,ECU,['DB'],['31'],['29'],['60'],['0.0'],['14'],['1'],['1'],['29'],['0'],['0']
Adari Haulcy,HOU,['DB'],['44'],['16'],['60'],['0.0'],['0'],['3'],['0'],['0'],['0'],['0']
Keyshaun Elliott,NMSU,['LB'],['29'],['31'],['60'],['2.5'],['1'],['3'],['0'],['0'],['0'],['1']
Daniel Bolden,TOL,['LB'],['24'],['35'],['59'],['0.5'],['16'],['1'],['0'],['0'],['0'],['0']
Lee Kpogba,WVU,['LB'],['30'],['29'],['59'],['2.0'],['4'],['1'],['0'],['0'],['0'],['1']
Cal Haladay,MSU,['LB'],['23'],['36'],['59'],['1.0'],['4'],['0'],['1'],['2'],['0'],['0']
Alec Mock,AFA,['LB'],['36'],['23'],['59'],['2.0'],['0'],['1'],['1'],['18'],['1'],['2']
Joseph Sipp Jr.,BGSU,['LB'],['32'],['27'],['59'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Devin Grant,BUFF,['S'],['39'],['20'],['59'],['0.0'],['0'],['2'],['5'],['87'],['2'],['1']
James Neal,UTEP,['LB'],['21'],['38'],['59'],['1.0'],['7'],['2'],['1'],['30'],['0'],['1']
D'Verik Daniel,FIU,['DB'],['39'],['20'],['59'],['0.0'],['0'],['2'],['1'],['17'],['0'],['0']
Vinny DePalma,BC,['LB'],['28'],['30'],['58'],['0.0'],['0'],['1'],['0'],['0'],['0'],['0']
Kolbi Fuqua,JVST,['DB'],['31'],['27'],['58'],['2.5'],['0'],['1'],['1'],['1'],['0'],['1']
Sanoussi Kane,PUR,['DB'],['40'],['18'],['58'],['1.0'],['9'],['3'],['0'],['0'],['0'],['1']
Jaylen Stinson,DUKE,['S'],['23'],['35'],['58'],['1.0'],['4'],['5'],['0'],['0'],['0'],['0']
Ty Wise,M-OH,['LB'],['31'],['27'],['58'],['4.0'],['0'],['3'],['1'],['14'],['0'],['0']
James Miller,USA,['LB'],['21'],['36'],['57'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Edefuan Ulofoshio,WASH,['LB'],['41'],['16'],['57'],['2.0'],['0'],['1'],['1'],['45'],['1'],['1']
Tate Hallock,WMU,['S'],['34'],['23'],['57'],['0.0'],['0'],['4'],['2'],['8'],['0'],['1']
JD Bertrand,ND,['LB'],['29'],['28'],['57'],['1.5'],['8'],['2'],['0'],['0'],['0'],['0']
Jaylan Ford,TEX,['LB'],['25'],['32'],['57'],['1.0'],['0'],['0'],['2'],['5'],['0'],['1']
Charles Willekes,ARST,['LB'],['21'],['36'],['57'],['1.0'],['16'],['1'],['0'],['0'],['0'],['1']
James Jackson,UVA,['LB'],['25'],['32'],['57'],['1.0'],['0'],['3'],['1'],['0'],['0'],['0']
Melique Straker,ARST,['LB'],['27'],['30'],['57'],['0.0'],['6'],['0'],['1'],['6'],['0'],['0']
Darren Anders,BGSU,['LB'],['28'],['28'],['56'],['4.0'],['0'],['1'],['0'],['0'],['0'],['1']
Demetrius Knight II,CLT,['LB'],['28'],['28'],['56'],['1.5'],['9'],['2'],['1'],['16'],['1'],['0']
Plae Wyatt,RICE,['S'],['31'],['25'],['56'],['1.0'],['20'],['5'],['0'],['0'],['0'],['0']
Jaylin Smith,USC,['S'],['40'],['16'],['56'],['0.0'],['0'],['0'],['0'],['0'],['0'],['1']
Aaron Wofford,WMU,['CB'],['34'],['22'],['56'],['0.0'],['46'],['4'],['2'],['-1'],['0'],['1']
Beau Freyler,ISU,['DB'],['24'],['32'],['56'],['1.0'],['0'],['3'],['3'],['18'],['0'],['0']
Trey Taylor,AFA,['S'],['29'],['27'],['56'],['0.5'],['0'],['3'],['2'],['51'],['1'],['0']
Darrian Lewis,AKR,['CB'],['32'],['24'],['56'],['0.5'],['3'],['0'],['0'],['0'],['0'],['0']
Kyle Moretti,CMU,['LB'],['28'],['28'],['56'],['2.0'],['0'],['4'],['0'],['0'],['0'],['0']
DQ Smith,SC,['DB'],['27'],['29'],['56'],['0.5'],['0'],['1'],['1'],['16'],['0'],['1']
Cecil Singleton Jr.,LT,['DB'],['29'],['26'],['55'],['0.0'],['0'],['0'],['1'],['0'],['0'],['1']
Max Tooley,BYU,['LB'],['31'],['24'],['55'],['1.0'],['10'],['1'],['1'],['24'],['0'],['0']
Sam Lockett III,WSU,['DB'],['29'],['26'],['55'],['0.5'],['0'],['1'],['2'],['25'],['0'],['0']
Kenny Logan Jr.,KU,['S'],['34'],['21'],['55'],['0.0'],['0'],['3'],['1'],['30'],['1'],['1']
Isaac Gifford,NEB,['DB'],['30'],['25'],['55'],['0.5'],['17'],['7'],['1'],['3'],['0'],['0']
D'Eryk Jackson,UK,['LB'],['35'],['20'],['55'],['1.0'],['7'],['2'],['1'],['1'],['0'],['0']
Xander Mueller,NU,['LB'],['28'],['27'],['55'],['4.5'],['61'],['1'],['1'],['28'],['0'],['0']
Will Harbour,NAVY,['LB'],['28'],['27'],['55'],['3.0'],['0'],['0'],['0'],['0'],['0'],['1']
Trey Jones,CMU,['DB'],['31'],['24'],['55'],['0.0'],['11'],['2'],['1'],['0'],['0'],['1']
Matt Jones,BAY,['LB'],['34'],['21'],['55'],['2.0'],['28'],['4'],['0'],['0'],['0'],['0']
Chris Conti,RICE,['LB'],['25'],['30'],['55'],['0.5'],['0'],['0'],['1'],['15'],['0'],['0']
Mason Cobb,USC,['LB'],['32'],['23'],['55'],['0.0'],['16'],['1'],['0'],['0'],['0'],['0']
Shemar James,FLA,['LB'],['24'],['31'],['55'],['1.0'],['0'],['0'],['0'],['0'],['0'],['0']
Malik Mustapha,WAKE,['DB'],['26'],['29'],['55'],['0.5'],['8'],['2'],['1'],['50'],['0'],['0']
Tahj Ra-El,ODU,['S'],['25'],['30'],['55'],['0.0'],['0'],['5'],['0'],['0'],['0'],['0']
Fred Perry,JVST,['S'],['38'],['17'],['55'],['0.0'],['24'],['2'],['1'],['18'],['0'],['3']
Jhalyn Shuler,USF,['LB'],['24'],['31'],['55'],['2.0'],['0'],['2'],['0'],['0'],['0'],['1']
Dominique Hampton,WASH,['CB'],['30'],['24'],['54'],['0.0'],['12'],['2'],['1'],['0'],['0'],['0']
Jeremiah Trotter Jr.,CLEM,['LB'],['33'],['21'],['54'],['1.5'],['2'],['4'],['1'],['0'],['0'],['2']
Trey Rucker,OKST,['S'],['30'],['24'],['54'],['0.0'],['40'],['0'],['0'],['0'],['0'],['0']
Jackson Ambush,FAU,['LB'],['26'],['28'],['54'],['1.0'],['0'],['0'],['1'],['0'],['0'],['0']
Gaethan Bernadel,STAN,['LB'],['29'],['25'],['54'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Wyett Ekeler,WYO,['S'],['31'],['23'],['54'],['2.0'],['47'],['5'],['1'],['10'],['0'],['2']
Trey Kiser,USA,['LB'],['23'],['31'],['54'],['2.5'],['0'],['2'],['0'],['0'],['0'],['0']
Colin Ramos,NAVY,['LB'],['31'],['23'],['54'],['1.0'],['0'],['2'],['0'],['0'],['0'],['1']
Bryce Sheppert,KENT,['S'],['36'],['18'],['54'],['0.0'],['16'],['6'],['0'],['0'],['0'],['0']
Jayden McDonald,TROY,['LB'],['32'],['21'],['53'],['0.5'],['0'],['1'],['0'],['0'],['0'],['0']
Eli Neal,MRSH,['LB'],['16'],['37'],['53'],['1.5'],['7'],['0'],['1'],['6'],['0'],['0']
Dadrion Taylor-Demerson,TTU,['DB'],['40'],['13'],['53'],['0.0'],['0'],['4'],['3'],['23'],['0'],['0']
AJ Vongphachanh,BYU,['LB'],['21'],['32'],['53'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Dylan Lawrence,USM,['S'],['26'],['27'],['53'],['1.0'],['0'],['1'],['0'],['0'],['0'],['0']
Devin Nicholson,KENT,['LB'],['33'],['20'],['53'],['0.0'],['0'],['1'],['0'],['0'],['0'],['0']
Dorian Mausi,DUKE,['LB'],['9'],['44'],['53'],['0.5'],['0'],['2'],['1'],['0'],['0'],['0']
Tra Fluellen,MTSU,['S'],['33'],['20'],['53'],['0.0'],['14'],['2'],['2'],['20'],['0'],['0']
Brevin Randle,LT,['LB'],['26'],['27'],['53'],['2.0'],['0'],['2'],['0'],['0'],['0'],['0']
Marco Notarainni,BOIS,['LB'],['29'],['24'],['53'],['3.0'],['0'],['1'],['0'],['0'],['0'],['1']
Johnathan Youngblood,AFA,['LB'],['26'],['27'],['53'],['0.0'],['5'],['0'],['1'],['8'],['0'],['0']
Malik Spencer,MSU,['DB'],['24'],['29'],['53'],['0.0'],['26'],['4'],['0'],['0'],['0'],['0']
Jarron Morris,FAU,['DB'],['28'],['24'],['52'],['0.0'],['0'],['4'],['2'],['72'],['1'],['2']
Deion Jennings,RUTG,['LB'],['22'],['30'],['52'],['0.0'],['0'],['4'],['0'],['0'],['0'],['0']
Edgerrin Cooper,TA&M,['LB'],['28'],['24'],['52'],['6.5'],['2'],['1'],['0'],['0'],['0'],['2']
Tyreem Powell,RUTG,['LB'],['25'],['27'],['52'],['2.0'],['22'],['2'],['0'],['0'],['0'],['1']
Justin Abraham,GAST,['LB'],['32'],['20'],['52'],['1.0'],['0'],['1'],['0'],['0'],['0'],['1']
Jesiah Pierre,TTU,['LB'],['27'],['25'],['52'],['0.5'],['8'],['0'],['0'],['0'],['0'],['0']
Chris Edmonds,ASU,['DB'],['27'],['25'],['52'],['0.0'],['0'],['2'],['0'],['0'],['0'],['0']
Collin Oliver,OKST,['LB'],['28'],['24'],['52'],['4.0'],['3'],['5'],['0'],['0'],['0'],['3']
CJ Taylor,VAN,['LB'],['27'],['25'],['52'],['3.0'],['5'],['3'],['2'],['35'],['0'],['2']
Devyn Bobby,BAY,['S'],['34'],['18'],['52'],['0.0'],['13'],['2'],['1'],['0'],['0'],['1']
Michael Moore,UAB,['DL'],['28'],['24'],['52'],['0.0'],['0'],['0'],['0'],['0'],['0'],['1']
John Pupel,BC,['DB'],['36'],['15'],['51'],['0.0'],['6'],['0'],['0'],['0'],['0'],['1']
Damari Roberson,WMU,['LB'],['23'],['28'],['51'],['0.5'],['0'],['4'],['1'],['0'],['0'],['1']
Greg Penn III,LSU,['LB'],['19'],['32'],['51'],['2.0'],['3'],['1'],['1'],['0'],['0'],['0']
Jamal Potts,FIU,['DB'],['30'],['21'],['51'],['0.5'],['0'],['1'],['0'],['0'],['0'],['2']
Durante Jones,CONN,['DB'],['31'],['20'],['51'],['1.0'],['11'],['1'],['0'],['0'],['0'],['0']
Jaden Voisin,USA,['S'],['20'],['31'],['51'],['0.0'],['0'],['5'],['2'],['0'],['0'],['1']
Dylan Hazen,WAKE,['LB'],['20'],['31'],['51'],['1.0'],['0'],['0'],['0'],['0'],['0'],['0']
Jake Chaney,WIS,['LB'],['32'],['19'],['51'],['3.0'],['29'],['0'],['0'],['0'],['0'],['0']
Dylan Rosiek,ILL,['LB'],['32'],['19'],['51'],['0.0'],['0'],['2'],['0'],['0'],['0'],['3']
Jamoi Hodge,TCU,['LB'],['22'],['29'],['51'],['2.5'],['0'],['1'],['0'],['0'],['0'],['0']
Jordan Riley,BALL,['DB'],['31'],['20'],['51'],['0.0'],['15'],['6'],['0'],['0'],['0'],['0']
Andre' Sam,LSU,['S'],['31'],['19'],['50'],['0.0'],['0'],['2'],['3'],['60'],['0'],['0']
Akili Arnold,ORST,['DB'],['20'],['30'],['50'],['0.5'],['3'],['6'],['2'],['13'],['0'],['0']
Dean Clark,FRES,['DB'],['25'],['25'],['50'],['0.0'],['0'],['2'],['1'],['4'],['0'],['0']
Shawn Holton,TXST,['S'],['38'],['12'],['50'],['0.0'],['15'],['1'],['1'],['0'],['0'],['4']
Major Burns,LSU,['S'],['21'],['29'],['50'],['1.0'],['0'],['1'],['1'],['17'],['1'],['0']
Mohamed Toure,RUTG,['LB'],['23'],['27'],['50'],['1.5'],['11'],['2'],['0'],['0'],['0'],['1']
Deshawn Pace,CIN,['S'],['22'],['28'],['50'],['1.5'],['2'],['4'],['0'],['0'],['0'],['1']
TyGee Leach,GAST,['S'],['31'],['19'],['50'],['0.0'],['14'],['3'],['1'],['0'],['0'],['0']
Henry Blackburn,CSU,['DB'],['24'],['26'],['50'],['1.0'],['18'],['0'],['2'],['0'],['0'],['0']
Javon McIntyre,PITT,['DB'],['25'],['25'],['50'],['0.0'],['0'],['4'],['0'],['0'],['0'],['0']
Myles Rowser,NMSU,['S'],['29'],['21'],['50'],['0.0'],['0'],['2'],['0'],['0'],['0'],['1']
K.C. Ossai,UL,['LB'],['26'],['24'],['50'],['1.0'],['0'],['0'],['0'],['0'],['0'],['2']
Elijah Herring,TENN,['LB'],['18'],['32'],['50'],['0.0'],['167'],['0'],['0'],['0'],['0'],['0']
Jakobe Thomas,MTSU,['S'],['35'],['15'],['50'],['0.0'],['0'],['4'],['0'],['0'],['0'],['1']
Maverick Baranowski,MINN,['LB'],['21'],['29'],['50'],['1.0'],['30'],['2'],['0'],['0'],['0'],['0']
Miles Scott,ILL,['DB'],['40'],['10'],['50'],['0.0'],['0'],['3'],['1'],['48'],['1'],['0']
Devin Richardson,WSU,['LB'],['23'],['26'],['49'],['1.0'],['17'],['0'],['0'],['0'],['0'],['1']
Patrick McMorris,CAL,['DB'],['28'],['21'],['49'],['1.0'],['0'],['6'],['0'],['0'],['0'],['2']
Jacob Wahlberg,WMU,['LB'],['20'],['29'],['49'],['1.0'],['0'],['4'],['0'],['0'],['0'],['0']
Alaka'i Gilman,STAN,['S'],['29'],['20'],['49'],['0.0'],['16'],['3'],['1'],['0'],['0'],['0']
Nikhai Hill-Green,CLT,['LB'],['34'],['15'],['49'],['2.0'],['1'],['1'],['0'],['0'],['0'],['0']
Deontae Lawson,ALA,['LB'],['22'],['27'],['49'],['2.0'],['4'],['2'],['0'],['0'],['0'],['0']
Raishein Thomas,NIU,['DE'],['24'],['25'],['49'],['1.5'],['0'],['1'],['0'],['0'],['0'],['0']
Alijah Clark,SYR,['DB'],['26'],['23'],['49'],['0.0'],['1'],['3'],['0'],['0'],['0'],['1']
Trey Washington,MISS,['S'],['24'],['25'],['49'],['0.0'],['0'],['1'],['2'],['35'],['0'],['1']
Chris Paul Jr.,ARK,['LB'],['20'],['29'],['49'],['1.0'],['15'],['1'],['0'],['0'],['0'],['0']
Louis Moore,IU,['DB'],['38'],['11'],['49'],['0.0'],['14'],['1'],['2'],['49'],['1'],['1']
Tre Jenkins,SJSU,['S'],['31'],['17'],['48'],['0.0'],['0'],['3'],['1'],['6'],['0'],['0']
Kendre' Gant,UL,['LB'],['24'],['24'],['48'],['5.0'],['0'],['1'],['0'],['0'],['0'],['2']
Darius McClendon,FAU,['CB'],['32'],['16'],['48'],['0.0'],['11'],['2'],['0'],['0'],['0'],['1']
Levelle Bailey,FRES,['LB'],['30'],['18'],['48'],['0.0'],['45'],['3'],['2'],['0'],['0'],['2']
J.J. Roberts,MRSH,['DB'],['28'],['20'],['48'],['0.0'],['0'],['1'],['2'],['9'],['0'],['1']
Aaron Beasley,TENN,['LB'],['26'],['22'],['48'],['2.0'],['8'],['3'],['0'],['0'],['0'],['0']
Trevian Thomas,ARST,['S'],['32'],['16'],['48'],['0.0'],['17'],['1'],['1'],['0'],['0'],['0']
Laletia Hale,JVST,['LB'],['25'],['23'],['48'],['1.0'],['0'],['0'],['0'],['0'],['0'],['0']
Zyrus Fiaseu,SDSU,['LB'],['26'],['22'],['48'],['2.5'],['9'],['3'],['0'],['0'],['0'],['4']
Jaden Hicks,WSU,['DB'],['31'],['17'],['48'],['1.5'],['5'],['4'],['1'],['37'],['1'],['1']
Trevor Woods,COLO,['S'],['35'],['13'],['48'],['0.0'],['8'],['2'],['2'],['0'],['0'],['1']
Jasper Williams,UL,['LB'],['27'],['21'],['48'],['2.0'],['0'],['0'],['0'],['0'],['0'],['0']
Collin Wright,STAN,['CB'],['39'],['9'],['48'],['1.0'],['11'],['2'],['1'],['0'],['0'],['0']
Jordan Pollard,SJSU,['LB'],['34'],['14'],['48'],['0.0'],['0'],['0'],['2'],['11'],['0'],['1']
Jackson Sirmon,CAL,['LB'],['27'],['20'],['47'],['1.0'],['0'],['1'],['0'],['0'],['0'],['1']
Owen Porter,MRSH,['DL'],['21'],['26'],['47'],['5.0'],['6'],['0'],['0'],['0'],['0'],['2']
Steele Chambers,OSU,['LB'],['23'],['24'],['47'],['0.0'],['39'],['1'],['1'],['0'],['0'],['0']
Howard Cross III,ND,['DL'],['20'],['27'],['47'],['1.0'],['0'],['2'],['0'],['0'],['0'],['2']
Myron Morrison,RICE,['LB'],['18'],['29'],['47'],['0.5'],['15'],['0'],['0'],['0'],['0'],['0']
Dell Pettus,TROY,['S'],['27'],['20'],['47'],['0.0'],['16'],['3'],['0'],['0'],['0'],['0']
Beau Brade,MD,['DB'],['28'],['19'],['47'],['0.0'],['9'],['5'],['1'],['27'],['0'],['0']
Calen Bullock,USC,['S'],['32'],['15'],['47'],['0.0'],['0'],['6'],['2'],['30'],['1'],['0']
Langston Patterson,VAN,['LB'],['23'],['24'],['47'],['1.0'],['0'],['0'],['1'],['22'],['0'],['1']
Jaylen Mahoney,VAN,['DB'],['29'],['18'],['47'],['0.0'],['0'],['3'],['0'],['0'],['0'],['0']
