Team,Opo Team,Score,Players
Middle Tennessee,@Western Kentucky,"WKU 31, MTSU 10","[{'Player': 'Austin Reed', 'Stats': '297'}, {'Player': 'L.T. Sanders83', 'Stats': ''}, {'Player': 'Malachi Corley', 'Stats': '81'}]"
Temple,@Tulsa,"TLSA 48, TEM 26","[{'Player': 'E.J. Warner269', 'Stats': ''}, {'Player': 'Cardell Williams', 'Stats': '90'}, {'Player': 'Marquis Shoulders', 'Stats': '76'}]"
Jacksonville State,@Sam Houston,"JVST 35, SHSU 28 (OT)","[{'Player': 'Keegan Shoemaker', 'Stats': '285'}, {'Player': 'Malik Jackson', 'Stats': '129'}, {'Player': 'Noah Smith', 'Stats': '97'}]"
10Utah,@19Oregon State,"ORST 21, UTAH 7","[{'Player': 'DJ Uiagalelei', 'Stats': '204'}, {'Player': 'Damien Martinez', 'Stats': '65'}, {'Player': 'Silas Bolden', 'Stats': '100'}]"
Louisville,@NC State,"LOU 13, NCSU 10","[{'Player': 'Jack Plummer', 'Stats': '286'}, {'Player': 'Brennan Armstrong', 'Stats': '61'}, {'Player': 'Chris Bell', 'Stats': '85'}]"
Louisiana Tech,@UTEP,"LT 24, UTEP 10","[{'Player': 'Jack Turner', 'Stats': '152'}, {'Player': 'Tyre Shelton', 'Stats': '104'}, {'Player': 'Cyrus Allen', 'Stats': '85'}]"
Cincinnati,@BYU,"BYU 35, CIN 27","[{'Player': 'Emory Jones', 'Stats': '256'}, {'Player': 'Emory Jones', 'Stats': '94'}, {'Player': 'Chase Roberts', 'Stats': '131'}]"
1Georgia,@Auburn,"UGA 27, AUB 20","[{'Player': 'Carson Beck', 'Stats': '313'}, {'Player': 'Payton Thorne', 'Stats': '92'}, {'Player': 'Brock Bowers', 'Stats': '157'}]"
2Michigan,@Nebraska,"MICH 45, NEB 7","[{'Player': 'Heinrich Haarberg', 'Stats': '199'}, {'Player': 'Joshua Fleeks', 'Stats': '74'}, {'Player': 'Billy Kemp IV', 'Stats': '61'}]"
24Kansas,@3Texas,"TEX 40, KU 14","[{'Player': 'Quinn Ewers', 'Stats': '325'}, {'Player': 'Jonathon Brooks', 'Stats': '218'}, {'Player': 'Adonai Mitchell', 'Stats': '141'}]"
6Penn State,@Northwestern,"PSU 41, NU 13","[{'Player': 'Drew Allar', 'Stats': '189'}, {'Player': 'Nicholas Singleton', 'Stats': '80'}, {'Player': 'KeAndre Lambert-Smith86', 'Stats': ''}]"
7Washington,@Arizona,"WASH 31, ARIZ 24","[{'Player': 'Michael Penix Jr.363', 'Stats': ''}, {'Player': 'Dillon Johnson', 'Stats': '91'}, {'Player': 'Germie Bernard', 'Stats': '98'}]"
8USC,@Colorado,"USC 48, COLO 41","[{'Player': 'Caleb Williams', 'Stats': '403'}, {'Player': 'MarShawn Lloyd', 'Stats': '84'}, {'Player': 'Omarion Miller', 'Stats': '196'}]"
9Oregon,@Stanford,"ORE 42, STAN 6","[{'Player': 'Bo Nix', 'Stats': '290'}, {'Player': 'Bucky Irving', 'Stats': '88'}, {'Player': 'Troy Franklin', 'Stats': '117'}]"
11Notre Dame,@17Duke,"ND 21, DUKE 14","[{'Player': 'Sam Hartman', 'Stats': '222'}, {'Player': 'Riley Leonard', 'Stats': '88'}, {'Player': 'Mitchell Evans', 'Stats': '134'}]"
12Alabama,@Mississippi State,"ALA 40, MSST 17","[{'Player': 'Jalen Milroe', 'Stats': '164'}, {'Player': 'Jalen Milroe', 'Stats': '69'}, {'Player': 'Amari Niblack', 'Stats': '61'}]"
13LSU,@20Ole Miss,"MISS 55, LSU 49","[{'Player': 'Jayden Daniels', 'Stats': '414'}, {'Player': 'Quinshon Judkins', 'Stats': '177'}, {'Player': 'Tre Harris', 'Stats': '153'}]"
Iowa State,@14Oklahoma,"OU 50, ISU 20","[{'Player': 'Dillon Gabriel', 'Stats': '366'}, {'Player': 'Abu Sama III', 'Stats': '67'}, {'Player': 'Jayden Higgins', 'Stats': '91'}]"
South Carolina,@21Tennessee,"TENN 41, SC 20","[{'Player': 'Joe Milton III', 'Stats': '239'}, {'Player': 'Jaylen Wright', 'Stats': '123'}, {'Player': 'Squirrel White', 'Stats': '104'}]"
22Florida,@Kentucky,"UK 33, FLA 14","[{'Player': 'Graham Mertz', 'Stats': '244'}, {'Player': 'Ray Davis', 'Stats': '280'}, {'Player': 'Ricky Pearsall', 'Stats': '62'}]"
23Missouri,@Vanderbilt,"MIZ 38, VAN 21","[{'Player': 'Brady Cook', 'Stats': '395'}, {'Player': 'Nathaniel Peat', 'Stats': '71'}, {'Player': 'Luther Burden III', 'Stats': '140'}]"
Nevada,@25Fresno State,"FRES 27, NEV 9","[{'Player': 'Mikey Keene', 'Stats': '269'}, {'Player': 'Malik Sherrod', 'Stats': '123'}, {'Player': 'Jaelen Gill', 'Stats': '126'}]"
