Team,Opo Team,Score,Players
Texas A&M,@Arkansas,"TA&M 34, ARK 22","[{'Player': 'Max Johnson', 'Stats': '210'}, {'Player': ""Le'Veon Moss107"", 'Stats': ''}, {'Player': 'Andrew Armstrong', 'Stats': '78'}]"
Louisiana,@Minnesota,"MINN 35, UL 24","[{'Player': 'Zeon Chriss', 'Stats': '172'}, {'Player': 'Zach Evans', 'Stats': '85'}, {'Player': 'Daniel Jackson', 'Stats': '89'}]"
Utah State,@UConn,"USU 34, CONN 33","[{'Player': ""Ta'Quan Roberson255"", 'Stats': ''}, {'Player': 'Victor Rosa', 'Stats': '92'}, {'Player': 'Jalen Royals', 'Stats': '185'}]"
Clemson,@Syracuse,"CLEM 31, SYR 14","[{'Player': 'Cade Klubnik', 'Stats': '263'}, {'Player': 'Will Shipley', 'Stats': '61'}, {'Player': 'Tyler Brown', 'Stats': '153'}]"
UAB,@Tulane,"TULN 35, UAB 23","[{'Player': 'Jacob Zeno', 'Stats': '236'}, {'Player': 'Makhi Hughes', 'Stats': '123'}, {'Player': 'Amare Thomas', 'Stats': '99'}]"
South Alabama,@James Madison,"JMU 31, USA 23","[{'Player': 'Carter Bradley', 'Stats': '299'}, {'Player': 'Jordan McCloud', 'Stats': '61'}, {'Player': 'Caullin Lacy', 'Stats': '132'}]"
Buffalo,@Akron,"BUFF 13, AKR 10 (OT)","[{'Player': 'Cole Snyder', 'Stats': '142'}, {'Player': 'DJ Irons', 'Stats': '77'}, {'Player': 'Chance Morrow', 'Stats': '45'}]"
Eastern Michigan,@Central Michigan,"CMU 26, EMU 23","[{'Player': 'Jase Bauer', 'Stats': '218'}, {'Player': 'Myles Bailey', 'Stats': '92'}, {'Player': 'Tanner Knue', 'Stats': '68'}]"
Virginia,@Boston College,"BC 27, UVA 24","[{'Player': 'Tony Muskett', 'Stats': '247'}, {'Player': 'Pat Garwo III', 'Stats': '87'}, {'Player': 'Lewis Bond', 'Stats': '104'}]"
Miami (OH),@Kent State,"M-OH 23, KENT 3","[{'Player': 'Brett Gabbert', 'Stats': '216'}, {'Player': 'Rashad Amos', 'Stats': '54'}, {'Player': 'Joe Wilkins Jr.110', 'Stats': ''}]"
Arizona State,@California,"CAL 24, ASU 21","[{'Player': 'Trenton Bourguet', 'Stats': '344'}, {'Player': 'Jaydn Ott', 'Stats': '165'}, {'Player': 'Cameron Skattebo', 'Stats': '98'}]"
Indiana,@Maryland,"MD 44, IU 17","[{'Player': 'Taulia Tagovailoa', 'Stats': '352'}, {'Player': 'Christian Turner', 'Stats': '61'}, {'Player': 'Tai Felton', 'Stats': '134'}]"
Illinois,@Purdue,"PUR 44, ILL 19","[{'Player': 'Hudson Card', 'Stats': '217'}, {'Player': 'Tyrone Tracy Jr.112', 'Stats': ''}, {'Player': 'Isaiah Williams', 'Stats': '113'}]"
Wagner,@Rutgers,"RUTG 52, WAG 3","[{'Player': 'Gavin Wimsatt', 'Stats': '146'}, {'Player': 'Kyle Monangai', 'Stats': '87'}, {'Player': 'JaQuae Jackson', 'Stats': '71'}]"
Bowling Green,@Georgia Tech,"BGSU 38, GT 27","[{'Player': 'Haynes King', 'Stats': '348'}, {'Player': 'Terion Stewart', 'Stats': '138'}, {'Player': 'Dominick Blaylock', 'Stats': '131'}]"
Houston,@Texas Tech,"TTU 49, HOU 28","[{'Player': 'Donovan Smith', 'Stats': '336'}, {'Player': ""Cam'Ron Valdez111"", 'Stats': ''}, {'Player': 'Samuel Brown', 'Stats': '113'}]"
Baylor,@UCF,"BAY 36, UCF 35","[{'Player': 'Blake Shapen', 'Stats': '293'}, {'Player': 'Johnny Richardson', 'Stats': '105'}, {'Player': 'Monaray Baldwin', 'Stats': '150'}]"
Arkansas State,@Massachusetts,"ARST 52, MASS 28","[{'Player': 'Jaylen Raynor', 'Stats': '383'}, {'Player': 'Greg Desrosiers Jr.75', 'Stats': ''}, {'Player': 'Adam Jones', 'Stats': '105'}]"
South Florida,@Navy,"USF 44, NAVY 30","[{'Player': 'Byrum Brown', 'Stats': '338'}, {'Player': 'Alex Tecza', 'Stats': '82'}, {'Player': 'Sean Atkins', 'Stats': '116'}]"
Old Dominion,@Marshall,"MRSH 41, ODU 35","[{'Player': 'Cam Fancher', 'Stats': '278'}, {'Player': 'Kadarius Calloway', 'Stats': '236'}, {'Player': 'Caleb Coombs', 'Stats': '76'}]"
Ball State,@Western Michigan,"WMU 42, BALL 24","[{'Player': 'Treyson Bourguet', 'Stats': '328'}, {'Player': 'Marquez Cooper', 'Stats': '82'}, {'Player': 'Qian Magwood', 'Stats': '110'}]"
Northern Illinois,@Toledo,"TOL 35, NIU 33","[{'Player': 'Dequan Finn', 'Stats': '281'}, {'Player': 'Antario Brown', 'Stats': '152'}, {'Player': 'Junior Vandeross III', 'Stats': '147'}]"
Boise State,@Memphis,"MEM 35, BOIS 32","[{'Player': 'Seth Henigan', 'Stats': '269'}, {'Player': 'Blake Watson', 'Stats': '113'}, {'Player': 'Roc Taylor', 'Stats': '102'}]"
Hawai'i,@UNLV,"UNLV 44, HAW 20","[{'Player': 'Brayden Schager', 'Stats': '313'}, {'Player': 'Donavyn Lester', 'Stats': '98'}, {'Player': 'Steven McBride', 'Stats': '180'}]"
New Mexico,@Wyoming,"WYO 35, UNM 26","[{'Player': 'Andrew Peasley', 'Stats': '194'}, {'Player': 'Harrison Waylee', 'Stats': '191'}, {'Player': 'Ayir Asante', 'Stats': '72'}]"
East Carolina,@Rice,"RICE 24, ECU 17","[{'Player': 'Alex Flinn', 'Stats': '246'}, {'Player': 'Javious Bond', 'Stats': '72'}, {'Player': 'Chase Sowell', 'Stats': '88'}]"
Abilene Christian,@North Texas,"UNT 45, ACU 31","[{'Player': 'Chandler Rogers', 'Stats': '321'}, {'Player': ""Jay'Veon Sunday140"", 'Stats': ''}, {'Player': ""Ja'Mori Maclin110"", 'Stats': ''}]"
Coastal Carolina,@Georgia Southern,"GASO 38, CCU 28","[{'Player': 'Davis Brin', 'Stats': '322'}, {'Player': 'Braydon Bennett', 'Stats': '114'}, {'Player': 'Sam Pinckney', 'Stats': '132'}]"
Troy,@Georgia State,"TROY 28, GAST 7","[{'Player': 'Gunnar Watson', 'Stats': '256'}, {'Player': 'Kimani Vidal', 'Stats': '76'}, {'Player': 'Jabre Barber', 'Stats': '121'}]"
Texas State,@Southern Miss,"TXST 50, USM 36","[{'Player': 'TJ Finley', 'Stats': '338'}, {'Player': 'Frank Gore Jr.123', 'Stats': ''}, {'Player': 'Joey Hobert', 'Stats': '126'}]"
Utah Tech,@Colorado State,"CSU 41, UTU 20","[{'Player': 'Brayden Fowler-Nicolosi462', 'Stats': ''}, {'Player': 'Ronnie Walker Jr.83', 'Stats': ''}, {'Player': 'Tory Horton', 'Stats': '227'}]"
Michigan State,@Iowa,"IOWA 26, MSU 16","[{'Player': 'Noah Kim', 'Stats': '193'}, {'Player': 'Nathan Carter', 'Stats': '108'}, {'Player': 'Montorie Foster Jr.79', 'Stats': ''}]"
Charlotte,@SMU,"SMU 34, CLT 16","[{'Player': 'Preston Stone', 'Stats': '135'}, {'Player': 'Jaylan Knighton', 'Stats': '150'}, {'Player': 'Jack Hestera', 'Stats': '81'}]"
Pittsburgh,@Virginia Tech,"VT 38, PITT 21","[{'Player': 'Phil Jurkovec', 'Stats': '235'}, {'Player': 'Bhayshul Tuten', 'Stats': '109'}, {'Player': ""Da'Quan Felton81"", 'Stats': ''}]"
West Virginia,@TCU,"WVU 24, TCU 21","[{'Player': 'Chandler Morris', 'Stats': '298'}, {'Player': 'Garrett Greene', 'Stats': '80'}, {'Player': 'JP Richardson', 'Stats': '87'}]"
Appalachian State,@UL Monroe,"APP 41, ULM 40","[{'Player': 'Joey Aguilar', 'Stats': '335'}, {'Player': 'Nate Noel', 'Stats': '109'}, {'Player': 'Christan Horn', 'Stats': '124'}]"
San Diego State,@Air Force,"AFA 49, SDSU 10","[{'Player': 'Zac Larrier', 'Stats': '189'}, {'Player': 'Zac Larrier', 'Stats': '103'}, {'Player': 'Cade Harris', 'Stats': '82'}]"
