Team,Opo Team,Score,Players
San José State,@6USC,"USC 56, SJSU 28","[{'Player': 'Caleb Williams', 'Stats': '278'}, {'Player': 'Quali Conley', 'Stats': '108'}, {'Player': 'Nick Nash', 'Stats': '89'}]"
Navy,@13Notre Dame,"ND 42, NAVY 3","[{'Player': 'Sam Hartman', 'Stats': '251'}, {'Player': 'Audric Estime', 'Stats': '95'}, {'Player': 'Jaden Greathouse', 'Stats': '68'}]"
UTEP,@Jacksonville State,"JVST 17, UTEP 14","[{'Player': 'Gavin Hardison', 'Stats': '208'}, {'Player': 'Malik Jackson', 'Stats': '76'}, {'Player': 'Kelly Akharaiyi', 'Stats': '102'}]"
Massachusetts,@New Mexico State,"MASS 41, NMSU 30","[{'Player': 'Diego Pavia', 'Stats': '248'}, {'Player': 'Taisun Phommachanh', 'Stats': '96'}, {'Player': 'Christian Wells', 'Stats': '68'}]"
Ohio,@San Diego State,"SDSU 20, OHIO 13","[{'Player': 'CJ Harris', 'Stats': '204'}, {'Player': 'Jaylon Armstead', 'Stats': '78'}, {'Player': 'Sam Wiglusz', 'Stats': '103'}]"
Florida International,@Louisiana Tech,"LT 22, FIU 17","[{'Player': 'Hank Bachmeier', 'Stats': '333'}, {'Player': 'Shomari Lawrence', 'Stats': '139'}, {'Player': 'Smoke Harris', 'Stats': '155'}]"
Hawai'i,@Vanderbilt,"VAN 35, HAW 28","[{'Player': 'Brayden Schager', 'Stats': '351'}, {'Player': 'Landon Sims', 'Stats': '38'}, {'Player': 'Pofele Ashlock', 'Stats': '127'}]"
Florida,@14Utah,"UTAH 24, FLA 11","[{'Player': 'Graham Mertz', 'Stats': '333'}, {'Player': 'Nate Johnson', 'Stats': '45'}, {'Player': 'Ricky Pearsall', 'Stats': '92'}]"
Elon,@Wake Forest,"WAKE 37, ELON 17","[{'Player': 'Mitch Griffis', 'Stats': '329'}, {'Player': 'Jalen Hampton', 'Stats': '89'}, {'Player': 'Jahmal Banks', 'Stats': '108'}]"
Kent State,@UCF,"UCF 56, KENT 6","[{'Player': 'John Rhys Plumlee', 'Stats': '281'}, {'Player': 'Johnny Richardson', 'Stats': '100'}, {'Player': 'Xavier Townsend', 'Stats': '81'}]"
Rhode Island,@Georgia State,"GAST 42, URI 35","[{'Player': 'Kasim Hill', 'Stats': '408'}, {'Player': 'Marcus Carroll', 'Stats': '184'}, {'Player': 'Marquis Buchanan', 'Stats': '101'}]"
St. Francis (PA),@Western Michigan,"WMU 35, SFPA 17","[{'Player': 'Cole Doyle', 'Stats': '230'}, {'Player': 'Jalen Buckley', 'Stats': '194'}, {'Player': 'Dawson Snyder', 'Stats': '87'}]"
NC State,@UConn,"NCSU 24, CONN 14","[{'Player': 'Brennan Armstrong', 'Stats': '155'}, {'Player': 'Victor Rosa', 'Stats': '99'}, {'Player': 'Justin Joly', 'Stats': '38'}]"
Nebraska,@Minnesota,"MINN 13, NEB 10","[{'Player': 'Athan Kaliakmanis', 'Stats': '196'}, {'Player': 'Jeff Sims', 'Stats': '91'}, {'Player': 'Daniel Jackson', 'Stats': '68'}]"
South Dakota,@Missouri,"MIZ 35, SDAK 10","[{'Player': 'Brady Cook', 'Stats': '172'}, {'Player': 'Cody Schrader', 'Stats': '138'}, {'Player': 'Luther Burden III', 'Stats': '96'}]"
Arkansas-Pine Bluff,@Tulsa,"TLSA 42, UAPB 7","[{'Player': 'Cardell Williams', 'Stats': '233'}, {'Player': 'Jordan Ford', 'Stats': '110'}, {'Player': 'Marquis Shoulders', 'Stats': '132'}]"
North Carolina A&T,@UAB,"UAB 35, NCAT 6","[{'Player': 'Jacob Zeno', 'Stats': '291'}, {'Player': 'Wesley Graves', 'Stats': '58'}, {'Player': 'Fred Farrier II', 'Stats': '54'}]"
Southern Utah,@Arizona State,"ASU 24, SUU 21","[{'Player': 'Jaden Rashada', 'Stats': '236'}, {'Player': 'Cameron Skattebo', 'Stats': '71'}, {'Player': 'Xavier Guillory', 'Stats': '73'}]"
Howard,@Eastern Michigan,"EMU 33, HOW 23","[{'Player': 'Quinton Williams', 'Stats': '194'}, {'Player': 'Eden James', 'Stats': '96'}, {'Player': 'Jamarr Ebron', 'Stats': '79'}]"
Central Michigan,@Michigan State,"MSU 31, CMU 7","[{'Player': 'Noah Kim', 'Stats': '279'}, {'Player': 'Nathan Carter', 'Stats': '113'}, {'Player': 'Jaron Glover', 'Stats': '75'}]"
Miami (OH),@Miami,"MIA 38, M-OH 3","[{'Player': 'Tyler Van Dyke', 'Stats': '201'}, {'Player': 'Henry Parrish Jr.90', 'Stats': ''}, {'Player': 'Gage Larvadain', 'Stats': '80'}]"
Louisville,@Georgia Tech,"LOU 39, GT 34","[{'Player': 'Haynes King', 'Stats': '313'}, {'Player': 'Jawhar Jordan', 'Stats': '96'}, {'Player': 'Jamari Thrash', 'Stats': '88'}]"
Missouri State,@Kansas,"KU 48, MOST 17","[{'Player': 'Jason Bean', 'Stats': '276'}, {'Player': 'Devin Neal', 'Stats': '94'}, {'Player': 'Lawrence Arnold', 'Stats': '77'}]"
Stanford,@Hawai'i,"STAN 37, HAW 24","[{'Player': 'Brayden Schager', 'Stats': '355'}, {'Player': 'Casey Filkins', 'Stats': '67'}, {'Player': 'Benjamin Yurosek', 'Stats': '138'}]"
UT Martin,@1Georgia,"UGA 48, UTM 7","[{'Player': 'Carson Beck', 'Stats': '294'}, {'Player': 'Kendall Milton', 'Stats': '53'}, {'Player': 'Brock Bowers', 'Stats': '78'}]"
East Carolina,@2Michigan,"MICH 30, ECU 3","[{'Player': 'J.J. McCarthy280', 'Stats': ''}, {'Player': 'Blake Corum', 'Stats': '73'}, {'Player': 'Roman Wilson', 'Stats': '78'}]"
3Ohio State,@Indiana,"OSU 23, IU 3","[{'Player': 'Kyle McCord', 'Stats': '239'}, {'Player': 'Chip Trayanum', 'Stats': '57'}, {'Player': 'Cade Stover', 'Stats': '98'}]"
Middle Tennessee,@4Alabama,"ALA 56, MTSU 7","[{'Player': 'Jalen Milroe', 'Stats': '194'}, {'Player': 'Jalen Milroe', 'Stats': '48'}, {'Player': 'Isaiah Bond', 'Stats': '76'}]"
Nevada,@6USC,"USC 66, NEV 14","[{'Player': 'Caleb Williams', 'Stats': '319'}, {'Player': 'MarShawn Lloyd', 'Stats': '76'}, {'Player': 'Jamaal Bell', 'Stats': '121'}]"
West Virginia,@7Penn State,"PSU 38, WVU 15","[{'Player': 'Drew Allar', 'Stats': '325'}, {'Player': 'CJ Donaldson Jr.81', 'Stats': ''}, {'Player': 'KeAndre Lambert-Smith123', 'Stats': ''}]"
Boise State,@10Washington,"WASH 56, BOIS 19","[{'Player': 'Michael Penix Jr.450', 'Stats': ''}, {'Player': 'George Holani', 'Stats': '51'}, {'Player': 'Rome Odunze', 'Stats': '132'}]"
Rice,@11Texas,"TEX 37, RICE 10","[{'Player': 'Quinn Ewers', 'Stats': '260'}, {'Player': 'Jaydon Blue', 'Stats': '55'}, {'Player': 'Xavier Worthy', 'Stats': '90'}]"
Virginia,@12Tennessee,"TENN 49, UVA 13","[{'Player': 'Joe Milton III', 'Stats': '201'}, {'Player': 'Jaylen Wright', 'Stats': '115'}, {'Player': 'Ramel Keyton', 'Stats': '66'}]"
Tennessee State,@13Notre Dame,"ND 56, TNST 3","[{'Player': 'Sam Hartman', 'Stats': '194'}, {'Player': 'Audric Estime', 'Stats': '116'}, {'Player': 'Jayden Thomas', 'Stats': '62'}]"
Portland State,@15Oregon,"ORE 81, PRST 7","[{'Player': 'Bo Nix', 'Stats': '287'}, {'Player': 'Bucky Irving', 'Stats': '119'}, {'Player': 'Troy Franklin', 'Stats': '106'}]"
Southeast Missouri State,@16Kansas State,"KSU 45, SEMO 0","[{'Player': 'Will Howard', 'Stats': '297'}, {'Player': 'DJ Giddens', 'Stats': '128'}, {'Player': 'RJ Garcia II', 'Stats': '119'}]"
Colorado,@17TCU,"COLO 45, TCU 42","[{'Player': 'Shedeur Sanders', 'Stats': '510'}, {'Player': 'Emani Bailey', 'Stats': '164'}, {'Player': 'Dylan Edwards', 'Stats': '135'}]"
Buffalo,@19Wisconsin,"WIS 38, BUFF 17","[{'Player': 'Cole Snyder', 'Stats': '194'}, {'Player': 'Chez Mellusi', 'Stats': '157'}, {'Player': 'Will Pauling', 'Stats': '55'}]"
Arkansas State,@20Oklahoma,"OU 73, ARST 0","[{'Player': 'Dillon Gabriel', 'Stats': '308'}, {'Player': 'Jovantae Barnes', 'Stats': '49'}, {'Player': 'Nic Anderson', 'Stats': '68'}]"
21North Carolina,@South Carolina,"UNC 31, SC 17","[{'Player': 'Spencer Rattler', 'Stats': '353'}, {'Player': 'British Brooks', 'Stats': '103'}, {'Player': 'Xavier Legette', 'Stats': '178'}]"
Mercer,@22Ole Miss,"MISS 73, MER 7","[{'Player': 'Jaxson Dart', 'Stats': '334'}, {'Player': 'Quinshon Judkins', 'Stats': '60'}, {'Player': 'Tre Harris', 'Stats': '133'}]"
New Mexico,@23Texas A&M,"TA&M 52, UNM 10","[{'Player': 'Conner Weigman', 'Stats': '236'}, {'Player': 'Amari Daniels', 'Stats': '51'}, {'Player': 'Evan Stewart', 'Stats': '115'}]"
South Alabama,@24Tulane,"TULN 37, USA 17","[{'Player': 'Michael Pratt', 'Stats': '294'}, {'Player': 'Makhi Hughes', 'Stats': '41'}, {'Player': ""Jha'Quan Jackson106"", 'Stats': ''}]"
Utah State,@25Iowa,"IOWA 24, USU 14","[{'Player': 'Cooper Legas', 'Stats': '213'}, {'Player': 'Kaleb Johnson', 'Stats': '63'}, {'Player': 'Terrell Vaughn', 'Stats': '93'}]"
Ball State,@Kentucky,"UK 44, BALL 14","[{'Player': 'Devin Leary', 'Stats': '241'}, {'Player': 'Ray Davis', 'Stats': '112'}, {'Player': 'Dane Key', 'Stats': '96'}]"
Bowling Green,@Liberty,"LIB 34, BGSU 24","[{'Player': 'Kaidon Salter', 'Stats': '143'}, {'Player': 'Kaidon Salter', 'Stats': '82'}, {'Player': 'Odieu Hiliare', 'Stats': '59'}]"
Fresno State,@Purdue,"FRES 39, PUR 35","[{'Player': 'Mikey Keene', 'Stats': '366'}, {'Player': 'Elijah Gilliam', 'Stats': '93'}, {'Player': 'Erik Brooks', 'Stats': '170'}]"
Louisiana Tech,@SMU,"SMU 38, LT 14","[{'Player': 'Preston Stone', 'Stats': '248'}, {'Player': 'LJ Johnson Jr.128', 'Stats': ''}, {'Player': 'Jordan Hudson', 'Stats': '72'}]"
Northern Illinois,@Boston College,"NIU 27, BC 24 (OT)","[{'Player': 'Rocky Lombardi', 'Stats': '165'}, {'Player': 'Thomas Castellanos', 'Stats': '67'}, {'Player': 'Kacper Rutkiewicz', 'Stats': '46'}]"
Long Island University,@Ohio,"OHIO 27, LIU 10","[{'Player': 'Luca Stanzani', 'Stats': '172'}, {'Player': 'Sieh Bangura', 'Stats': '107'}, {'Player': 'Quincy McDuffie', 'Stats': '43'}]"
Western Carolina,@Arkansas,"ARK 56, WCU 13","[{'Player': 'KJ Jefferson', 'Stats': '246'}, {'Player': 'Raheim Sanders', 'Stats': '42'}, {'Player': 'Jaedon Wilson', 'Stats': '83'}]"
Robert Morris,@Air Force,"AFA 42, RMU 7","[{'Player': 'Anthony Chiccitt', 'Stats': '99'}, {'Player': 'Zac Larrier', 'Stats': '99'}, {'Player': 'Jared Roznos', 'Stats': '95'}]"
East Tennessee State,@Jacksonville State,"JVST 49, ETSU 3","[{'Player': 'Logan Smothers', 'Stats': '127'}, {'Player': 'Malik Jackson', 'Stats': '100'}, {'Player': 'Xavier Gaillardetz', 'Stats': '69'}]"
Northern Iowa,@Iowa State,"ISU 30, UNI 9","[{'Player': 'Theo Day', 'Stats': '164'}, {'Player': 'Tyjahree Edwards', 'Stats': '72'}, {'Player': 'Logan Wolf', 'Stats': '40'}]"
Akron,@Temple,"TEM 24, AKR 21","[{'Player': 'E.J. Warner292', 'Stats': ''}, {'Player': 'Drake Anderson', 'Stats': '40'}, {'Player': 'Lorenzo Lingard', 'Stats': '77'}]"
