Team,Opo Team,Score,Players
Massachusetts,@Auburn,"AUB 59, MASS 14","[{'Player': 'Payton Thorne', 'Stats': '141'}, {'Player': ""Kay'Ron Lynch-Adams101"", 'Stats': ''}, {'Player': 'Anthony Simpson', 'Stats': '89'}]"
Towson,@Maryland,"MD 38, TOW 6","[{'Player': 'Taulia Tagovailoa', 'Stats': '260'}, {'Player': 'Roman Hemby', 'Stats': '58'}, {'Player': 'Corey Dyches', 'Stats': '108'}]"
South Florida,@Western Kentucky,"WKU 41, USF 24","[{'Player': 'Austin Reed', 'Stats': '336'}, {'Player': 'Byrum Brown', 'Stats': '160'}, {'Player': 'Dalvin Smith', 'Stats': '97'}]"
Wofford,@Pittsburgh,"PITT 45, WOF 7","[{'Player': 'Phil Jurkovec', 'Stats': '214'}, {'Player': 'Daniel Carter', 'Stats': '65'}, {'Player': 'Tyler Parker', 'Stats': '75'}]"
Eastern Kentucky,@Cincinnati,"CIN 66, EKU 13","[{'Player': 'Emory Jones', 'Stats': '345'}, {'Player': 'Corey Kiner', 'Stats': '105'}, {'Player': 'Xzavier Henderson', 'Stats': '149'}]"
Gardner-Webb,@Appalachian State,"APP 45, GWEB 24","[{'Player': 'Matthew Caldwell', 'Stats': '231'}, {'Player': 'Nate Noel', 'Stats': '115'}, {'Player': 'Jayden Brown', 'Stats': '67'}]"
SE Louisiana,@Mississippi State,"MSST 48, SELA 7","[{'Player': 'Will Rogers', 'Stats': '227'}, {'Player': ""Jo'Quavious Marks127"", 'Stats': ''}, {'Player': 'Creed Whittemore', 'Stats': '59'}]"
California,@North Texas,"CAL 58, UNT 21","[{'Player': 'Ben Finley', 'Stats': '289'}, {'Player': 'Jaydn Ott', 'Stats': '188'}, {'Player': ""Ja'Mori Maclin122"", 'Stats': ''}]"
Colgate,@Syracuse,"SYR 65, COLG 0","[{'Player': 'Garrett Shrader', 'Stats': '257'}, {'Player': 'LeQuint Allen', 'Stats': '107'}, {'Player': 'Umari Hatcher', 'Stats': '105'}]"
Bryant,@UNLV,"UNLV 44, BRY 14","[{'Player': 'Zevi Eckhaus', 'Stats': '230'}, {'Player': 'Zevi Eckhaus', 'Stats': '89'}, {'Player': 'Landon Ruggieri', 'Stats': '109'}]"
South Carolina State,@Charlotte,"CLT 24, SCST 3","[{'Player': 'Jalon Jones', 'Stats': '125'}, {'Player': 'Durell Robinson', 'Stats': '71'}, {'Player': 'Bryce Kennon', 'Stats': '46'}]"
Monmouth,@Florida Atlantic,"FAU 42, MONM 20","[{'Player': 'Casey Thompson', 'Stats': '280'}, {'Player': 'Larry McCammon', 'Stats': '125'}, {'Player': 'Tony Johnson', 'Stats': '91'}]"
The Citadel,@Georgia Southern,"GASO 34, CIT 0","[{'Player': 'Davis Brin', 'Stats': '244'}, {'Player': 'Jalen White', 'Stats': '125'}, {'Player': 'Derwin Burgess Jr.76', 'Stats': ''}]"
Bucknell,@James Madison,"JMU 38, BUCK 3","[{'Player': 'Jordan McCloud', 'Stats': '144'}, {'Player': 'Kaelon Black', 'Stats': '125'}, {'Player': 'Reggie Brown', 'Stats': '77'}]"
UAlbany,@Marshall,"MRSH 21, ALB 17","[{'Player': 'Cam Fancher', 'Stats': '268'}, {'Player': 'Rasheen Ali', 'Stats': '137'}, {'Player': 'Chuck Montgomery', 'Stats': '81'}]"
Maine,@Florida International,"FIU 14, ME 12","[{'Player': 'Keyone Jenkins', 'Stats': '292'}, {'Player': 'Tristen Kenan', 'Stats': '108'}, {'Player': 'Kris Mitchell', 'Stats': '201'}]"
Army,@UL Monroe,"ULM 17, ARMY 13","[{'Player': 'Bryson Daily', 'Stats': '121'}, {'Player': 'Hunter Smith', 'Stats': '103'}, {'Player': 'Tyrone Howell', 'Stats': '67'}]"
Alabama A&M,@Vanderbilt,"VAN 47, AAMU 13","[{'Player': 'AJ Swann', 'Stats': '194'}, {'Player': 'Sedrick Alexander', 'Stats': '87'}, {'Player': 'Terrell Gardner', 'Stats': '83'}]"
Washington State,@Colorado State,"WSU 50, CSU 24","[{'Player': 'Cameron Ward', 'Stats': '451'}, {'Player': 'Cameron Ward', 'Stats': '40'}, {'Player': 'Lincoln Victor', 'Stats': '168'}]"
Texas State,@Baylor,"TXST 42, BAY 31","[{'Player': 'Blake Shapen', 'Stats': '303'}, {'Player': 'Ismail Mahdi', 'Stats': '83'}, {'Player': 'Joey Hobert', 'Stats': '105'}]"
UTSA,@Houston,"HOU 17, UTSA 14","[{'Player': 'Donovan Smith', 'Stats': '233'}, {'Player': 'Kevorian Barnes', 'Stats': '103'}, {'Player': 'Joshua Cephus', 'Stats': '123'}]"
Central Arkansas,@Oklahoma State,"OKST 27, CARK 13","[{'Player': 'Will McElvain', 'Stats': '268'}, {'Player': 'ShunDerrick Powell', 'Stats': '71'}, {'Player': 'Jarrod Barnes', 'Stats': '94'}]"
Bethune-Cookman,@Memphis,"MEM 56, BCU 14","[{'Player': 'Seth Henigan', 'Stats': '334'}, {'Player': 'Sutton Smith', 'Stats': '115'}, {'Player': 'Demeer Blankumsee', 'Stats': '98'}]"
Alcorn State,@Southern Miss,"USM 40, ALCN 14","[{'Player': 'Billy Wiles', 'Stats': '267'}, {'Player': 'Tyler Macon', 'Stats': '83'}, {'Player': 'Jakarius Caston', 'Stats': '104'}]"
Stephen F. Austin,@Troy,"TROY 48, SFA 30","[{'Player': 'Gunnar Watson', 'Stats': '198'}, {'Player': 'Kimani Vidal', 'Stats': '248'}, {'Player': 'Kimani Vidal', 'Stats': '54'}]"
Toledo,@Illinois,"ILL 30, TOL 28","[{'Player': 'Dequan Finn', 'Stats': '230'}, {'Player': 'Jacquez Stuart', 'Stats': '82'}, {'Player': 'Junior Vandeross III', 'Stats': '80'}]"
Old Dominion,@Virginia Tech,"VT 36, ODU 17","[{'Player': 'Grant Wells', 'Stats': '251'}, {'Player': 'Grant Wilson', 'Stats': '81'}, {'Player': 'Ali Jennings', 'Stats': '72'}]"
Northwestern State,@Louisiana,"UL 38, NWST 13","[{'Player': 'Ben Wooldridge', 'Stats': '223'}, {'Player': ""Dre'lyn Washington88"", 'Stats': ''}, {'Player': 'Peter LeBlanc', 'Stats': '58'}]"
Texas Tech,@Wyoming,"WYO 35, TTU 33 (2OT)","[{'Player': 'Tyler Shough', 'Stats': '338'}, {'Player': 'Andrew Peasley', 'Stats': '68'}, {'Player': 'Jerand Bradley', 'Stats': '88'}]"
Western Illinois,@New Mexico State,"NMSU 58, WIU 21","[{'Player': 'Diego Pavia', 'Stats': '317'}, {'Player': 'Star Thomas', 'Stats': '96'}, {'Player': 'Jonathan Brady', 'Stats': '102'}]"
Incarnate Word,@UTEP,"UTEP 28, UIW 14","[{'Player': 'Zach Calzada', 'Stats': '245'}, {'Player': 'Deion Hankins', 'Stats': '174'}, {'Player': 'Brandon Porter', 'Stats': '94'}]"
Northern Arizona,@Arizona,"ARIZ 38, NAU 3","[{'Player': 'Jayden de Laura', 'Stats': '285'}, {'Player': 'TJ McDaniel', 'Stats': '56'}, {'Player': 'Coleman Owen', 'Stats': '90'}]"
Sam Houston,@BYU,"BYU 14, SHSU 0","[{'Player': 'Keegan Shoemaker', 'Stats': '147'}, {'Player': 'LJ Martin', 'Stats': '91'}, {'Player': 'Noah Smith', 'Stats': '44'}]"
Coastal Carolina,@UCLA,"UCLA 27, CCU 13","[{'Player': 'Grayson McCall', 'Stats': '271'}, {'Player': 'Carson Steele', 'Stats': '76'}, {'Player': 'Sam Pinckney', 'Stats': '139'}]"
Idaho State,@San Diego State,"SDSU 36, IDST 28","[{'Player': 'Jordan Cooke', 'Stats': '177'}, {'Player': 'Jalen Mayden', 'Stats': '132'}, {'Player': 'Christian Fredericksen', 'Stats': '66'}]"
5LSU,@8Florida State,"FSU 45, LSU 24","[{'Player': 'Jayden Daniels', 'Stats': '346'}, {'Player': 'Jayden Daniels', 'Stats': '64'}, {'Player': 'Brian Thomas Jr.142', 'Stats': ''}]"
18Oregon State,@San José State,"ORST 42, SJSU 17","[{'Player': 'DJ Uiagalelei', 'Stats': '239'}, {'Player': 'Damien Martinez', 'Stats': '145'}, {'Player': 'Sam Olson', 'Stats': '60'}]"
Northwestern,@Rutgers,"RUTG 24, NU 7","[{'Player': 'Ben Bryant', 'Stats': '169'}, {'Player': 'Kyle Monangai', 'Stats': '49'}, {'Player': 'Cam Johnson', 'Stats': '45'}]"
9Clemson,@Duke,"DUKE 28, CLEM 7","[{'Player': 'Cade Klubnik', 'Stats': '209'}, {'Player': 'Will Shipley', 'Stats': '114'}, {'Player': 'Antonio Williams', 'Stats': '56'}]"
