Team,Opo Team,Score,Players
Syracuse,@4Florida State,"FSU 41, SYR 3","[{'Player': 'Jordan Travis', 'Stats': '284'}, {'Player': 'LeQuint Allen', 'Stats': '110'}, {'Player': 'Keon Coleman', 'Stats': '140'}]"
Massachusetts,@6Penn State,"PSU 63, MASS 0","[{'Player': 'Drew Allar', 'Stats': '162'}, {'Player': 'Nicholas Singleton', 'Stats': '79'}, {'Player': 'Theo Johnson', 'Stats': '66'}]"
8Oregon,@7Washington,"WASH 36, ORE 33","[{'Player': 'Bo Nix', 'Stats': '337'}, {'Player': 'Bucky Irving', 'Stats': '127'}, {'Player': 'Troy Franklin', 'Stats': '154'}]"
10USC,@21Notre Dame,"ND 48, USC 20","[{'Player': 'Caleb Williams', 'Stats': '199'}, {'Player': 'Audric Estime', 'Stats': '95'}, {'Player': 'Chris Tyree', 'Stats': '62'}]"
Arkansas,@11Alabama,"ALA 24, ARK 21","[{'Player': 'Jalen Milroe', 'Stats': '238'}, {'Player': 'Jase McClellan', 'Stats': '83'}, {'Player': 'Kobe Prentice', 'Stats': '93'}]"
25Miami,@12North Carolina,"UNC 41, MIA 31","[{'Player': 'Tyler Van Dyke', 'Stats': '391'}, {'Player': 'Omarion Hampton', 'Stats': '197'}, {'Player': 'Devontez Walker', 'Stats': '132'}]"
14Louisville,@Pittsburgh,"PITT 38, LOU 21","[{'Player': 'Jack Plummer', 'Stats': '350'}, {'Player': 'Maurice Turner', 'Stats': '81'}, {'Player': 'Jamari Thrash', 'Stats': '120'}]"
18UCLA,@15Oregon State,"ORST 36, UCLA 24","[{'Player': 'DJ Uiagalelei', 'Stats': '266'}, {'Player': 'Carson Steele', 'Stats': '110'}, {'Player': 'Silas Bolden', 'Stats': '87'}]"
California,@16Utah,"UTAH 34, CAL 14","[{'Player': 'Fernando Mendoza', 'Stats': '149'}, {'Player': 'Sione Vaki', 'Stats': '158'}, {'Player': 'Taj Davis', 'Stats': '93'}]"
NC State,@17Duke,"DUKE 24, NCSU 3","[{'Player': 'MJ Morris', 'Stats': '193'}, {'Player': 'Jordan Waters', 'Stats': '123'}, {'Player': 'Jalon Calhoun', 'Stats': '69'}]"
Texas A&M,@19Tennessee,"TENN 20, TA&M 13","[{'Player': 'Max Johnson', 'Stats': '223'}, {'Player': 'Jaylen Wright', 'Stats': '136'}, {'Player': 'Noah Thomas', 'Stats': '75'}]"
Arizona,@19Washington State,"ARIZ 44, WSU 6","[{'Player': 'Noah Fifita', 'Stats': '342'}, {'Player': 'Rayshon Luke', 'Stats': '71'}, {'Player': 'Jonah Coleman', 'Stats': '98'}]"
Auburn,@22LSU,"LSU 48, AUB 18","[{'Player': 'Jayden Daniels', 'Stats': '325'}, {'Player': 'Logan Diggs', 'Stats': '97'}, {'Player': 'Kyren Lacy', 'Stats': '111'}]"
23Kansas,@Oklahoma State,"OKST 39, KU 32","[{'Player': 'Jason Bean', 'Stats': '410'}, {'Player': 'Ollie Gordon II', 'Stats': '168'}, {'Player': 'Ollie Gordon II', 'Stats': '116'}]"
Missouri,@24Kentucky,"MIZ 38, UK 21","[{'Player': 'Brady Cook', 'Stats': '175'}, {'Player': 'Ray Davis', 'Stats': '128'}, {'Player': 'Theo Wease Jr.66', 'Stats': ''}]"
Michigan State,@Rutgers,"RUTG 27, MSU 24","[{'Player': 'Gavin Wimsatt', 'Stats': '181'}, {'Player': 'Kyle Monangai', 'Stats': '148'}, {'Player': 'Christian Dremel', 'Stats': '80'}]"
Iowa State,@Cincinnati,"ISU 30, CIN 10","[{'Player': 'Rocco Becht', 'Stats': '241'}, {'Player': 'Emory Jones', 'Stats': '72'}, {'Player': 'Jayden Higgins', 'Stats': '172'}]"
Temple,@North Texas,"UNT 45, TEM 14","[{'Player': 'Chandler Rogers', 'Stats': '307'}, {'Player': 'Quincy Patterson', 'Stats': '113'}, {'Player': ""Ja'Mori Maclin163"", 'Stats': ''}]"
Georgia Southern,@James Madison,"JMU 41, GASO 13","[{'Player': 'Davis Brin', 'Stats': '271'}, {'Player': 'Jalen White', 'Stats': '50'}, {'Player': 'Elijah Sarratt', 'Stats': '105'}]"
Kent State,@Eastern Michigan,"EMU 28, KENT 14","[{'Player': 'Tommy Ulatowski', 'Stats': '169'}, {'Player': 'Jaylen Thomas', 'Stats': '94'}, {'Player': 'Tanner Knue', 'Stats': '85'}]"
Navy,@Charlotte,"NAVY 14, CLT 0","[{'Player': 'Trexler Ivey', 'Stats': '142'}, {'Player': 'Shadrick Byrd', 'Stats': '92'}, {'Player': 'Eli Heidenreich', 'Stats': '69'}]"
Toledo,@Ball State,"TOL 13, BALL 6","[{'Player': 'Dequan Finn', 'Stats': '166'}, {'Player': 'Peny Boone', 'Stats': '148'}, {'Player': 'Junior Vandeross III', 'Stats': '49'}]"
Troy,@Army,"TROY 19, ARMY 0","[{'Player': 'Gunnar Watson', 'Stats': '227'}, {'Player': 'Kanye Udoh', 'Stats': '124'}, {'Player': 'Jabre Barber', 'Stats': '138'}]"
Illinois,@Maryland,"ILL 27, MD 24","[{'Player': 'Taulia Tagovailoa', 'Stats': '266'}, {'Player': 'Kaden Feagin', 'Stats': '84'}, {'Player': 'Kaden Prather', 'Stats': '70'}]"
Florida,@South Carolina,"FLA 41, SC 39","[{'Player': 'Graham Mertz', 'Stats': '423'}, {'Player': 'Mario Anderson', 'Stats': '98'}, {'Player': 'Ricky Pearsall', 'Stats': '166'}]"
Wake Forest,@Virginia Tech,"VT 30, WAKE 13","[{'Player': 'Kyron Drones', 'Stats': '321'}, {'Player': 'Kyron Drones', 'Stats': '59'}, {'Player': 'Jaylin Lane', 'Stats': '102'}]"
BYU,@TCU,"TCU 44, BYU 11","[{'Player': 'Josh Hoover', 'Stats': '439'}, {'Player': 'Emani Bailey', 'Stats': '61'}, {'Player': 'JP Richardson', 'Stats': '104'}]"
Florida Atlantic,@South Florida,"FAU 56, USF 14","[{'Player': 'Daniel Richardson', 'Stats': '382'}, {'Player': ""Nay'Quan Wright106"", 'Stats': ''}, {'Player': 'Tony Johnson', 'Stats': '131'}]"
Akron,@Central Michigan,"CMU 17, AKR 10","[{'Player': 'Jase Bauer', 'Stats': '181'}, {'Player': 'Jase Bauer', 'Stats': '61'}, {'Player': 'Jesse Prewitt III', 'Stats': '50'}]"
Bowling Green,@Buffalo,"BGSU 24, BUFF 14","[{'Player': 'Camden Orth', 'Stats': '77'}, {'Player': 'Terion Stewart', 'Stats': '123'}, {'Player': 'Austin Osborne', 'Stats': '59'}]"
Miami (OH),@Western Michigan,"M-OH 34, WMU 21","[{'Player': 'Brett Gabbert', 'Stats': '223'}, {'Player': 'Jalen Buckley', 'Stats': '61'}, {'Player': 'Cade McDonald', 'Stats': '78'}]"
Iowa,@Wisconsin,"IOWA 15, WIS 6","[{'Player': 'Braedyn Locke', 'Stats': '122'}, {'Player': 'Leshon Williams', 'Stats': '174'}, {'Player': 'Bryson Green', 'Stats': '86'}]"
Ohio,@Northern Illinois,"NIU 23, OHIO 13","[{'Player': 'Rocky Lombardi', 'Stats': '172'}, {'Player': 'Gavin Williams', 'Stats': '55'}, {'Player': 'Grayson Barnes', 'Stats': '66'}]"
UNLV,@Nevada,"UNLV 45, NEV 27","[{'Player': 'Brendon Lewis', 'Stats': '287'}, {'Player': 'Brendon Lewis', 'Stats': '115'}, {'Player': 'Ricky White', 'Stats': '166'}]"
San José State,@New Mexico,"SJSU 52, UNM 24","[{'Player': 'Chevan Cordeiro', 'Stats': '272'}, {'Player': 'Kairee Robinson', 'Stats': '126'}, {'Player': 'Dominick Mazotti', 'Stats': '70'}]"
Kansas State,@Texas Tech,"KSU 38, TTU 21","[{'Player': 'Jake Strong', 'Stats': '173'}, {'Player': 'Treshaun Ward', 'Stats': '118'}, {'Player': 'Coy Eakin', 'Stats': '102'}]"
Marshall,@Georgia State,"GAST 41, MRSH 24","[{'Player': 'Cam Fancher', 'Stats': '301'}, {'Player': 'Marcus Carroll', 'Stats': '159'}, {'Player': 'Tailique Williams', 'Stats': '129'}]"
UL Monroe,@Texas State,"TXST 21, ULM 20","[{'Player': 'TJ Finley', 'Stats': '222'}, {'Player': 'Donerio Davenport', 'Stats': '94'}, {'Player': 'Joey Hobert', 'Stats': '110'}]"
Wyoming,@Air Force,"AFA 34, WYO 27","[{'Player': 'Andrew Peasley', 'Stats': '212'}, {'Player': 'Zac Larrier', 'Stats': '111'}, {'Player': 'Sam Scott', 'Stats': '43'}]"
UAB,@UTSA,"UTSA 41, UAB 20","[{'Player': 'Frank Harris', 'Stats': '171'}, {'Player': 'Robert Henry', 'Stats': '99'}, {'Player': 'Jermaine Brown Jr.116', 'Stats': ''}]"
Boise State,@Colorado State,"CSU 31, BOIS 30","[{'Player': 'Brayden Fowler-Nicolosi359', 'Stats': ''}, {'Player': 'Ashton Jeanty', 'Stats': '212'}, {'Player': 'Tory Horton', 'Stats': '130'}]"
San Diego State,@Hawai'i,"SDSU 41, HAW 34","[{'Player': 'Brayden Schager', 'Stats': '427'}, {'Player': 'Jalen Mayden', 'Stats': '53'}, {'Player': 'Steven McBride', 'Stats': '157'}]"
