Team,Opo Team,Score,Players
Louisiana Tech,@Middle Tennessee,"MTSU 31, LT 23","[{'Player': 'Nicholas Vattiato', 'Stats': '248'}, {'Player': 'Jaiden Credle', 'Stats': '65'}, {'Player': 'Smoke Harris', 'Stats': '129'}]"
Liberty,@Jacksonville State,"LIB 31, JVST 13","[{'Player': 'Kaidon Salter', 'Stats': '177'}, {'Player': 'Quinton Cooley', 'Stats': '163'}, {'Player': 'Perry Carter', 'Stats': '83'}]"
Coastal Carolina,@Appalachian State,"CCU 27, APP 24","[{'Player': 'Grayson McCall', 'Stats': '373'}, {'Player': 'Braydon Bennett', 'Stats': '64'}, {'Player': 'Sam Pinckney', 'Stats': '102'}]"
UTEP,@Florida International,"UTEP 27, FIU 14","[{'Player': 'Cade McConnell', 'Stats': '262'}, {'Player': 'Torrance Burgess Jr.86', 'Stats': ''}, {'Player': 'Kelly Akharaiyi', 'Stats': '223'}]"
Sam Houston,@New Mexico State,"NMSU 27, SHSU 13","[{'Player': 'Diego Pavia', 'Stats': '286'}, {'Player': 'Diego Pavia', 'Stats': '115'}, {'Player': 'Trent Hudson', 'Stats': '122'}]"
West Virginia,@Houston,"HOU 41, WVU 39","[{'Player': 'Garrett Greene', 'Stats': '391'}, {'Player': 'Stacy Sneed', 'Stats': '78'}, {'Player': 'Devin Carter', 'Stats': '116'}]"
SMU,@East Carolina,"SMU 31, ECU 10","[{'Player': 'Preston Stone', 'Stats': '276'}, {'Player': 'Mason Garcia', 'Stats': '38'}, {'Player': 'Chase Sowell', 'Stats': '120'}]"
Tulane,@Memphis,"TULN 31, MEM 21","[{'Player': 'Seth Henigan', 'Stats': '321'}, {'Player': 'Makhi Hughes', 'Stats': '130'}, {'Player': 'Demeer Blankumsee', 'Stats': '108'}]"
Fresno State,@Utah State,"FRES 37, USU 32","[{'Player': 'Cooper Legas', 'Stats': '363'}, {'Player': 'Malik Sherrod', 'Stats': '131'}, {'Player': 'Jalen Royals', 'Stats': '125'}]"
Stanford,@Colorado,"STAN 46, COLO 43 (2OT)","[{'Player': 'Shedeur Sanders', 'Stats': '400'}, {'Player': 'Ashton Daniels', 'Stats': '39'}, {'Player': 'Elic Ayomanor', 'Stats': '294'}]"
1Georgia,@Vanderbilt,"UGA 37, VAN 20","[{'Player': 'Carson Beck', 'Stats': '261'}, {'Player': 'Daijun Edwards', 'Stats': '146'}, {'Player': 'Dominic Lovett', 'Stats': '72'}]"
Indiana,@2Michigan,"MICH 52, IU 7","[{'Player': 'J.J. McCarthy222', 'Stats': ''}, {'Player': 'Benjamin Hall', 'Stats': '58'}, {'Player': 'Colston Loveland', 'Stats': '80'}]"
3Ohio State,@Purdue,"OSU 41, PUR 7","[{'Player': 'Kyle McCord', 'Stats': '276'}, {'Player': 'Devin Mockobee', 'Stats': '110'}, {'Player': 'Marvin Harrison Jr.105', 'Stats': ''}]"
