Team,Opo Team,Score,Players
Georgia State,@Coastal Carolina,"GAST 30, CCU 17","[{'Player': 'Grayson McCall', 'Stats': '295'}, {'Player': 'Marcus Carroll', 'Stats': '150'}, {'Player': 'Tyson Mobley', 'Stats': '82'}]"
Wisconsin,@Purdue,"WIS 38, PUR 17","[{'Player': 'Hudson Card', 'Stats': '202'}, {'Player': 'Braelon Allen', 'Stats': '116'}, {'Player': 'Deion Burks', 'Stats': '73'}]"
NC State,@Virginia,"NCSU 24, UVA 21","[{'Player': 'Anthony Colandrea', 'Stats': '271'}, {'Player': 'Brennan Armstrong', 'Stats': '64'}, {'Player': 'Malik Washington', 'Stats': '170'}]"
Boise State,@San Diego State,"BOIS 34, SDSU 31","[{'Player': 'Jalen Mayden', 'Stats': '241'}, {'Player': 'Ashton Jeanty', 'Stats': '205'}, {'Player': 'Baylin Brooks', 'Stats': '117'}]"
Air Force,@San José State,"AFA 45, SJSU 20","[{'Player': 'Chevan Cordeiro', 'Stats': '239'}, {'Player': 'Emmanuel Michel', 'Stats': '148'}, {'Player': 'Dominick Mazotti', 'Stats': '60'}]"
UAB,@1Georgia,"UGA 49, UAB 21","[{'Player': 'Carson Beck', 'Stats': '338'}, {'Player': 'Daijun Edwards', 'Stats': '66'}, {'Player': 'Brock Bowers', 'Stats': '121'}]"
Rutgers,@2Michigan,"MICH 31, RUTG 7","[{'Player': 'J.J. McCarthy214', 'Stats': ''}, {'Player': 'Blake Corum', 'Stats': '97'}, {'Player': 'Christian Dremel', 'Stats': '85'}]"
3Texas,@Baylor,"TEX 38, BAY 6","[{'Player': 'Quinn Ewers', 'Stats': '293'}, {'Player': 'Jonathon Brooks', 'Stats': '106'}, {'Player': ""Ja'Tavion Sanders110"", 'Stats': ''}]"
4Florida State,@Clemson,"FSU 31, CLEM 24 (OT)","[{'Player': 'Jordan Travis', 'Stats': '289'}, {'Player': 'Phil Mafah', 'Stats': '69'}, {'Player': 'Johnny Wilson', 'Stats': '94'}]"
5USC,@Arizona State,"USC 42, ASU 28","[{'Player': 'Caleb Williams', 'Stats': '322'}, {'Player': 'MarShawn Lloyd', 'Stats': '154'}, {'Player': 'Brenden Rice', 'Stats': '133'}]"
