Team,Opo Team,Score,Players
6Ohio State,@9Notre Dame,"OSU 17, ND 14","[{'Player': 'Kyle McCord', 'Stats': '240'}, {'Player': 'TreVeyon Henderson', 'Stats': '104'}, {'Player': 'Emeka Egbuka', 'Stats': '96'}]"
24Iowa,@7Penn State,"PSU 31, IOWA 0","[{'Player': 'Drew Allar', 'Stats': '166'}, {'Player': 'Kaytron Allen', 'Stats': '72'}, {'Player': 'KeAndre Lambert-Smith66', 'Stats': ''}]"
California,@8Washington,"WASH 59, CAL 32","[{'Player': 'Michael Penix Jr.304', 'Stats': ''}, {'Player': 'Dillon Johnson', 'Stats': '66'}, {'Player': ""Ja'Lynn Polk127"", 'Stats': ''}]"
19Colorado,@10Oregon,"ORE 42, COLO 6","[{'Player': 'Bo Nix', 'Stats': '276'}, {'Player': 'Bucky Irving', 'Stats': '89'}, {'Player': 'Troy Franklin', 'Stats': '126'}]"
22UCLA,@11Utah,"UTAH 14, UCLA 7","[{'Player': 'Dante Moore', 'Stats': '234'}, {'Player': 'Jaylon Glover', 'Stats': '86'}, {'Player': 'Carsen Ryan', 'Stats': '69'}]"
Arkansas,@12LSU,"LSU 34, ARK 31","[{'Player': 'Jayden Daniels', 'Stats': '320'}, {'Player': 'Logan Diggs', 'Stats': '97'}, {'Player': 'Brian Thomas Jr.133', 'Stats': ''}]"
15Ole Miss,@13Alabama,"ALA 24, MISS 10","[{'Player': 'Jaxson Dart', 'Stats': '244'}, {'Player': 'Jase McClellan', 'Stats': '105'}, {'Player': 'Dayton Wade', 'Stats': '88'}]"
14Oregon State,@21Washington State,"WSU 38, ORST 35","[{'Player': 'Cameron Ward', 'Stats': '404'}, {'Player': 'Deshaun Fenwick', 'Stats': '101'}, {'Player': 'Kyle Williams', 'Stats': '174'}]"
16Oklahoma,@Cincinnati,"OU 20, CIN 6","[{'Player': 'Dillon Gabriel', 'Stats': '322'}, {'Player': 'Marcus Major', 'Stats': '63'}, {'Player': 'Andrel Anthony', 'Stats': '117'}]"
17North Carolina,@Pittsburgh,"UNC 41, PITT 24","[{'Player': 'Drake Maye', 'Stats': '296'}, {'Player': 'Rodney Hammond Jr.83', 'Stats': ''}, {'Player': 'J.J. Jones117', 'Stats': ''}]"
18Duke,@UConn,"DUKE 41, CONN 7","[{'Player': 'Riley Leonard', 'Stats': '248'}, {'Player': 'Victor Rosa', 'Stats': '68'}, {'Player': 'Jordan Moore', 'Stats': '86'}]"
20Miami,@Temple,"MIA 41, TEM 7","[{'Player': 'E.J. Warner240', 'Stats': ''}, {'Player': 'Henry Parrish Jr.139', 'Stats': ''}, {'Player': 'Amad Anderson Jr.117', 'Stats': ''}]"
UTSA,@23Tennessee,"TENN 45, UTSA 14","[{'Player': 'Joe Milton III', 'Stats': '209'}, {'Player': 'Dylan Sampson', 'Stats': '139'}, {'Player': 'Joshua Cephus', 'Stats': '58'}]"
Charlotte,@25Florida,"FLA 22, CLT 7","[{'Player': 'Graham Mertz', 'Stats': '284'}, {'Player': 'Jalon Jones', 'Stats': '66'}, {'Player': 'Ricky Pearsall', 'Stats': '99'}]"
Army,@Syracuse,"SYR 29, ARMY 16","[{'Player': 'Garrett Shrader', 'Stats': '245'}, {'Player': 'LeQuint Allen', 'Stats': '104'}, {'Player': 'Damien Alford', 'Stats': '135'}]"
Auburn,@Texas A&M,"TA&M 27, AUB 10","[{'Player': 'Max Johnson', 'Stats': '123'}, {'Player': ""Le'Veon Moss97"", 'Stats': ''}, {'Player': 'Ainias Smith', 'Stats': '78'}]"
Western Kentucky,@Troy,"TROY 27, WKU 24","[{'Player': 'Gunnar Watson', 'Stats': '349'}, {'Player': 'Kimani Vidal', 'Stats': '156'}, {'Player': 'Malachi Corley', 'Stats': '107'}]"
Kentucky,@Vanderbilt,"UK 45, VAN 28","[{'Player': 'Devin Leary', 'Stats': '205'}, {'Player': 'Ray Davis', 'Stats': '78'}, {'Player': 'Barion Brown', 'Stats': '105'}]"
Virginia Tech,@Marshall,"MRSH 24, VT 17","[{'Player': 'Cam Fancher', 'Stats': '166'}, {'Player': 'Rasheen Ali', 'Stats': '174'}, {'Player': 'Benji Gosnell', 'Stats': '52'}]"
SMU,@TCU,"TCU 34, SMU 17","[{'Player': 'Chandler Morris', 'Stats': '265'}, {'Player': 'Emani Bailey', 'Stats': '126'}, {'Player': 'Chase Curtis', 'Stats': '55'}]"
Tulsa,@Northern Illinois,"TLSA 22, NIU 14","[{'Player': 'Cardell Williams', 'Stats': '102'}, {'Player': 'Anthony Watkins', 'Stats': '91'}, {'Player': 'Kamdyn Benjamin', 'Stats': '53'}]"
Western Michigan,@Toledo,"TOL 49, WMU 31","[{'Player': 'Treyson Bourguet', 'Stats': '160'}, {'Player': 'Peny Boone', 'Stats': '211'}, {'Player': 'Jerjuan Newton', 'Stats': '72'}]"
Georgia Southern,@Ball State,"GASO 40, BALL 3","[{'Player': 'Davis Brin', 'Stats': '344'}, {'Player': 'OJ Arnold', 'Stats': '90'}, {'Player': 'Khaleb Hood', 'Stats': '107'}]"
Florida Atlantic,@Illinois,"ILL 23, FAU 17","[{'Player': 'Luke Altmyer', 'Stats': '303'}, {'Player': 'Larry McCammon', 'Stats': '89'}, {'Player': 'LaJohntay Wester', 'Stats': '137'}]"
Maryland,@Michigan State,"MD 31, MSU 9","[{'Player': 'Taulia Tagovailoa', 'Stats': '223'}, {'Player': 'Nathan Carter', 'Stats': '97'}, {'Player': 'Montorie Foster Jr.67', 'Stats': ''}]"
Louisiana Tech,@Nebraska,"NEB 28, LT 14","[{'Player': 'Jack Turner', 'Stats': '292'}, {'Player': 'Heinrich Haarberg', 'Stats': '157'}, {'Player': 'Cyrus Allen', 'Stats': '102'}]"
Boston College,@Louisville,"LOU 56, BC 28","[{'Player': 'Jack Plummer', 'Stats': '388'}, {'Player': 'Jawhar Jordan', 'Stats': '134'}, {'Player': 'Ahmari Huggins-Bruce110', 'Stats': ''}]"
BYU,@Kansas,"KU 38, BYU 27","[{'Player': 'Kedon Slovis', 'Stats': '357'}, {'Player': 'Devin Neal', 'Stats': '91'}, {'Player': 'Chase Roberts', 'Stats': '89'}]"
Texas Tech,@West Virginia,"WVU 20, TTU 13","[{'Player': 'Behren Morton', 'Stats': '158'}, {'Player': 'Tahj Brooks', 'Stats': '149'}, {'Player': 'Xavier White', 'Stats': '45'}]"
New Mexico,@Massachusetts,"UNM 34, MASS 31 (OT)","[{'Player': 'Carlos Davis', 'Stats': '196'}, {'Player': ""Kay'Ron Lynch-Adams97"", 'Stats': ''}, {'Player': 'Anthony Simpson', 'Stats': '104'}]"
Texas A&M-Commerce,@Old Dominion,"ODU 10, TAMC 9","[{'Player': 'Jack Shields', 'Stats': '258'}, {'Player': 'Reggie Branch', 'Stats': '78'}, {'Player': 'Kelby Williams', 'Stats': '197'}]"
Ohio,@Bowling Green,"OHIO 38, BGSU 7","[{'Player': 'Kurtis Rourke', 'Stats': '196'}, {'Player': 'Terion Stewart', 'Stats': '107'}, {'Player': 'Jacoby Jones', 'Stats': '85'}]"
Delaware State,@Miami (OH),"M-OH 62, DSU 20","[{'Player': 'Marqui Adams', 'Stats': '274'}, {'Player': 'Jordan Brunson', 'Stats': '109'}, {'Player': 'Khyheem Waleed', 'Stats': '125'}]"
Oklahoma State,@Iowa State,"ISU 34, OKST 27","[{'Player': 'Rocco Becht', 'Stats': '348'}, {'Player': 'Ollie Gordon II', 'Stats': '121'}, {'Player': 'Jaylin Noel', 'Stats': '146'}]"
Rice,@South Florida,"USF 42, RICE 29","[{'Player': 'Byrum Brown', 'Stats': '435'}, {'Player': 'Byrum Brown', 'Stats': '82'}, {'Player': 'Naiem Simmons', 'Stats': '272'}]"
Eastern Michigan,@Jacksonville State,"JVST 21, EMU 0","[{'Player': 'Logan Smothers', 'Stats': '93'}, {'Player': 'Malik Jackson', 'Stats': '127'}, {'Player': 'Quinton Lane', 'Stats': '60'}]"
Central Michigan,@South Alabama,"CMU 34, USA 30","[{'Player': 'Carter Bradley', 'Stats': '254'}, {'Player': ""La'Damian Webb68"", 'Stats': ''}, {'Player': 'Jesse Prewitt III', 'Stats': '142'}]"
Gardner-Webb,@East Carolina,"ECU 44, GWEB 0","[{'Player': 'Alex Flinn', 'Stats': '94'}, {'Player': 'Javious Bond', 'Stats': '65'}, {'Player': 'Jaylen Johnson', 'Stats': '70'}]"
Liberty,@Florida International,"LIB 38, FIU 6","[{'Player': 'Kaidon Salter', 'Stats': '156'}, {'Player': 'Billy Lucas', 'Stats': '102'}, {'Player': 'Kris Mitchell', 'Stats': '89'}]"
Georgia Tech,@Wake Forest,"GT 30, WAKE 16","[{'Player': 'Haynes King', 'Stats': '222'}, {'Player': 'Justice Ellison', 'Stats': '137'}, {'Player': 'Taylor Morin', 'Stats': '63'}]"
Sam Houston,@Houston,"HOU 38, SHSU 7","[{'Player': 'Donovan Smith', 'Stats': '294'}, {'Player': 'Parker Jenkins', 'Stats': '105'}, {'Player': 'Matthew Golden', 'Stats': '92'}]"
Colorado State,@Middle Tennessee,"CSU 31, MTSU 23","[{'Player': 'Brayden Fowler-Nicolosi321', 'Stats': ''}, {'Player': 'Nicholas Vattiato', 'Stats': '47'}, {'Player': 'Holden Willis', 'Stats': '118'}]"
Arizona,@Stanford,"ARIZ 21, STAN 20","[{'Player': 'Ashton Daniels', 'Stats': '198'}, {'Player': 'Jonah Coleman', 'Stats': '75'}, {'Player': 'Tiger Bachmeier', 'Stats': '93'}]"
Nicholls,@Tulane,"TULN 36, NICH 7","[{'Player': 'Pat McQuaide', 'Stats': '273'}, {'Player': 'Arnold Barnes III', 'Stats': '71'}, {'Player': 'Lawrence Keys III', 'Stats': '77'}]"
Appalachian State,@Wyoming,"WYO 22, APP 19","[{'Player': 'Joey Aguilar', 'Stats': '200'}, {'Player': 'Harrison Waylee', 'Stats': '156'}, {'Player': 'Kaedin Robinson', 'Stats': '51'}]"
Southern Miss,@Arkansas State,"ARST 44, USM 37","[{'Player': 'Jaylen Raynor', 'Stats': '233'}, {'Player': 'Frank Gore Jr.132', 'Stats': ''}, {'Player': 'Courtney Jackson', 'Stats': '94'}]"
Nevada,@Texas State,"TXST 35, NEV 24","[{'Player': 'TJ Finley', 'Stats': '295'}, {'Player': 'Ismail Mahdi', 'Stats': '216'}, {'Player': 'Kole Wilson', 'Stats': '93'}]"
Akron,@Indiana,"IU 29, AKR 27 (4OT)","[{'Player': 'DJ Irons', 'Stats': '194'}, {'Player': 'DJ Irons', 'Stats': '141'}, {'Player': 'Cam Camper', 'Stats': '103'}]"
Memphis,@Missouri,"MIZ 34, MEM 27","[{'Player': 'Brady Cook', 'Stats': '341'}, {'Player': 'Cody Schrader', 'Stats': '123'}, {'Player': 'Luther Burden III', 'Stats': '177'}]"
Minnesota,@Northwestern,"NU 37, MINN 34 (OT)","[{'Player': 'Ben Bryant', 'Stats': '396'}, {'Player': 'Darius Taylor', 'Stats': '198'}, {'Player': 'Bryce Kirtz', 'Stats': '215'}]"
Mississippi State,@South Carolina,"SC 37, MSST 30","[{'Player': 'Will Rogers', 'Stats': '487'}, {'Player': 'Mario Anderson', 'Stats': '88'}, {'Player': 'Lideatrick Griffin', 'Stats': '256'}]"
Buffalo,@Louisiana,"UL 45, BUFF 38","[{'Player': 'Zeon Chriss', 'Stats': '249'}, {'Player': ""Dre'lyn Washington103"", 'Stats': ''}, {'Player': 'Charles Robertson', 'Stats': '58'}]"
UCF,@Kansas State,"KSU 44, UCF 31","[{'Player': 'Timmy McClain', 'Stats': '264'}, {'Player': 'DJ Giddens', 'Stats': '207'}, {'Player': 'Kobe Hudson', 'Stats': '138'}]"
James Madison,@Utah State,"JMU 45, USU 38","[{'Player': 'McCae Hillstead', 'Stats': '399'}, {'Player': 'Davon Booth', 'Stats': '103'}, {'Player': 'Reggie Brown', 'Stats': '160'}]"
UNLV,@UTEP,"UNLV 45, UTEP 28","[{'Player': 'Gavin Hardison', 'Stats': '225'}, {'Player': ""Jai'Den Thomas100"", 'Stats': ''}, {'Player': 'Kelly Akharaiyi', 'Stats': '92'}]"
Kent State,@Fresno State,"FRES 53, KENT 10","[{'Player': 'Mikey Keene', 'Stats': '325'}, {'Player': 'Malik Sherrod', 'Stats': '71'}, {'Player': 'Jalen Moss', 'Stats': '120'}]"
New Mexico State,@Hawai'i,"HAW 20, NMSU 17","[{'Player': 'Brayden Schager', 'Stats': '245'}, {'Player': 'Diego Pavia', 'Stats': '97'}, {'Player': 'Pofele Ashlock', 'Stats': '77'}]"
