Team,Opo Team,Score,Players
Jacksonville State,@Middle Tennessee,"JVST 45, MTSU 30","[{'Player': 'Nicholas Vattiato', 'Stats': '408'}, {'Player': 'Zion Webb', 'Stats': '101'}, {'Player': 'Justin Olson', 'Stats': '124'}]"
Florida International,@New Mexico State,"NMSU 34, FIU 17","[{'Player': 'Keyone Jenkins', 'Stats': '258'}, {'Player': 'Monte Watkins', 'Stats': '89'}, {'Player': 'Kris Mitchell', 'Stats': '91'}]"
Sam Houston,@Liberty,"LIB 21, SHSU 16","[{'Player': 'Kaidon Salter', 'Stats': '257'}, {'Player': 'Quinton Cooley', 'Stats': '106'}, {'Player': 'CJ Daniels', 'Stats': '157'}]"
Western Kentucky,@Louisiana Tech,"WKU 35, LT 28","[{'Player': 'Austin Reed', 'Stats': '297'}, {'Player': 'Tyre Shelton', 'Stats': '118'}, {'Player': 'Malachi Corley', 'Stats': '207'}]"
Kansas State,@Oklahoma State,"OKST 29, KSU 21","[{'Player': 'Alan Bowman', 'Stats': '235'}, {'Player': 'Ollie Gordon II', 'Stats': '136'}, {'Player': 'Jaden Bray', 'Stats': '77'}]"
Nebraska,@Illinois,"NEB 20, ILL 7","[{'Player': 'Luke Altmyer', 'Stats': '289'}, {'Player': 'Heinrich Haarberg', 'Stats': '82'}, {'Player': 'Pat Bryant', 'Stats': '76'}]"
20Kentucky,@1Georgia,"UGA 51, UK 13","[{'Player': 'Carson Beck', 'Stats': '389'}, {'Player': 'Ray Davis', 'Stats': '59'}, {'Player': 'Brock Bowers', 'Stats': '132'}]"
2Michigan,@Minnesota,"MICH 52, MINN 10","[{'Player': 'J.J. McCarthy219', 'Stats': ''}, {'Player': 'Blake Corum', 'Stats': '69'}, {'Player': 'Cornelius Johnson', 'Stats': '86'}]"
12Oklahoma,@3Texas,"OU 34, TEX 30","[{'Player': 'Quinn Ewers', 'Stats': '346'}, {'Player': 'Jonathon Brooks', 'Stats': '129'}, {'Player': 'Jalil Farooq', 'Stats': '130'}]"
Maryland,@4Ohio State,"OSU 37, MD 17","[{'Player': 'Kyle McCord', 'Stats': '320'}, {'Player': 'Chip Trayanum', 'Stats': '61'}, {'Player': 'Marvin Harrison Jr.163', 'Stats': ''}]"
Virginia Tech,@5Florida State,"FSU 39, VT 17","[{'Player': 'Jordan Travis', 'Stats': '170'}, {'Player': 'Trey Benson', 'Stats': '200'}, {'Player': 'Johnny Wilson', 'Stats': '54'}]"
Arizona,@9USC,"USC 43, ARIZ 41 (3OT)","[{'Player': 'Noah Fifita', 'Stats': '303'}, {'Player': 'Jonah Coleman', 'Stats': '143'}, {'Player': 'Tetairoa McMillan', 'Stats': '138'}]"
10Notre Dame,@25Louisville,"LOU 33, ND 20","[{'Player': 'Sam Hartman', 'Stats': '254'}, {'Player': 'Jawhar Jordan', 'Stats': '143'}, {'Player': 'Jamari Thrash', 'Stats': '75'}]"
11Alabama,@Texas A&M,"ALA 26, TA&M 20","[{'Player': 'Jalen Milroe', 'Stats': '321'}, {'Player': ""Le'Veon Moss49"", 'Stats': ''}, {'Player': 'Jermaine Burton', 'Stats': '197'}]"
13Washington State,@UCLA,"UCLA 25, WSU 17","[{'Player': 'Dante Moore', 'Stats': '290'}, {'Player': 'Carson Steele', 'Stats': '141'}, {'Player': 'Kyle Williams', 'Stats': '85'}]"
Syracuse,@14North Carolina,"UNC 40, SYR 7","[{'Player': 'Drake Maye', 'Stats': '442'}, {'Player': 'Omarion Hampton', 'Stats': '78'}, {'Player': 'Nate McCollum', 'Stats': '135'}]"
15Oregon State,@California,"ORST 52, CAL 40","[{'Player': 'DJ Uiagalelei', 'Stats': '275'}, {'Player': 'Damien Martinez', 'Stats': '89'}, {'Player': 'Anthony Gould', 'Stats': '117'}]"
Arkansas,@16Ole Miss,"MISS 27, ARK 20","[{'Player': 'KJ Jefferson', 'Stats': '250'}, {'Player': 'Ulysses Bentley IV', 'Stats': '94'}, {'Player': 'Ty Washington', 'Stats': '90'}]"
Georgia Tech,@17Miami,"GT 23, MIA 20","[{'Player': 'Tyler Van Dyke', 'Stats': '288'}, {'Player': 'Donald Chaney Jr.106', 'Stats': ''}, {'Player': 'Xavier Restrepo', 'Stats': '123'}]"
23LSU,@21Missouri,"LSU 49, MIZ 39","[{'Player': 'Brady Cook', 'Stats': '411'}, {'Player': 'Logan Diggs', 'Stats': '134'}, {'Player': 'Luther Burden III', 'Stats': '149'}]"
24Fresno State,@Wyoming,"WYO 24, FRES 19","[{'Player': 'Mikey Keene', 'Stats': '218'}, {'Player': 'Harrison Waylee', 'Stats': '83'}, {'Player': 'Jalen Moss', 'Stats': '115'}]"
Boston College,@Army,"BC 27, ARMY 24","[{'Player': 'Bryson Daily', 'Stats': '105'}, {'Player': 'Thomas Castellanos', 'Stats': '142'}, {'Player': 'Casey Reynolds', 'Stats': '37'}]"
