Team,Opo Team,Score,Players
Western Michigan,@Mississippi State,"MSST 41, WMU 28","[{'Player': 'Hayden Wolff', 'Stats': '262'}, {'Player': 'Seth Davis', 'Stats': '65'}, {'Player': 'Kenneth Womack', 'Stats': '113'}]"
Rutgers,@Wisconsin,"WIS 24, RUTG 13","[{'Player': 'Gavin Wimsatt', 'Stats': '181'}, {'Player': 'Braelon Allen', 'Stats': '101'}, {'Player': 'Will Pauling', 'Stats': '68'}]"
William & Mary,@Virginia,"UVA 27, W&M 13","[{'Player': 'Tony Muskett', 'Stats': '232'}, {'Player': 'Perris Jones', 'Stats': '134'}, {'Player': 'Malik Washington', 'Stats': '112'}]"
Toledo,@Massachusetts,"TOL 41, MASS 24","[{'Player': 'Taisun Phommachanh', 'Stats': '272'}, {'Player': 'Dequan Finn', 'Stats': '172'}, {'Player': 'Anthony Simpson', 'Stats': '140'}]"
Marshall,@NC State,"NCSU 48, MRSH 41","[{'Player': 'Cam Fancher', 'Stats': '315'}, {'Player': 'Michael Allen', 'Stats': '70'}, {'Player': 'Kevin Concepcion', 'Stats': '102'}]"
UTSA,@Temple,"UTSA 49, TEM 34","[{'Player': 'E.J. Warner472', 'Stats': ''}, {'Player': 'Robert Henry', 'Stats': '78'}, {'Player': 'John Adams', 'Stats': '127'}]"
Central Michigan,@Buffalo,"BUFF 37, CMU 13","[{'Player': 'Jase Bauer', 'Stats': '280'}, {'Player': 'Ron Cook Jr.53', 'Stats': ''}, {'Player': 'Boobie Curry', 'Stats': '74'}]"
Howard,@Northwestern,"NU 23, HOW 20","[{'Player': 'Quinton Williams', 'Stats': '169'}, {'Player': 'Eden James', 'Stats': '177'}, {'Player': 'Richie Ilarraza', 'Stats': '65'}]"
Purdue,@Iowa,"IOWA 20, PUR 14","[{'Player': 'Hudson Card', 'Stats': '247'}, {'Player': 'Kaleb Johnson', 'Stats': '134'}, {'Player': 'Erick All', 'Stats': '97'}]"
Wake Forest,@Clemson,"CLEM 17, WAKE 12","[{'Player': 'Mitch Griffis', 'Stats': '137'}, {'Player': 'Will Shipley', 'Stats': '97'}, {'Player': 'Jahmal Banks', 'Stats': '55'}]"
North Texas,@Navy,"NAVY 27, UNT 24","[{'Player': 'Chandler Rogers', 'Stats': '267'}, {'Player': 'Alex Tecza', 'Stats': '137'}, {'Player': ""Ja'Mori Maclin76"", 'Stats': ''}]"
Texas State,@Louisiana,"UL 34, TXST 30","[{'Player': 'TJ Finley', 'Stats': '326'}, {'Player': 'Ismail Mahdi', 'Stats': '188'}, {'Player': 'Joey Hobert', 'Stats': '132'}]"
Ball State,@Eastern Michigan,"EMU 24, BALL 10","[{'Player': 'Austin Smith', 'Stats': '192'}, {'Player': 'Kiael Kelly', 'Stats': '94'}, {'Player': 'JB Mitchell III', 'Stats': '71'}]"
Bowling Green,@Miami (OH),"M-OH 27, BGSU 0","[{'Player': 'Brett Gabbert', 'Stats': '170'}, {'Player': 'Terion Stewart', 'Stats': '63'}, {'Player': 'Joe Wilkins Jr.70', 'Stats': ''}]"
Kent State,@Ohio,"OHIO 42, KENT 17","[{'Player': 'Kurtis Rourke', 'Stats': '300'}, {'Player': 'Jaylen Thomas', 'Stats': '67'}, {'Player': 'Miles Cross', 'Stats': '125'}]"
Northern Illinois,@Akron,"NIU 55, AKR 14","[{'Player': 'Rocky Lombardi', 'Stats': '191'}, {'Player': 'Antario Brown', 'Stats': '280'}, {'Player': 'Kacper Rutkiewicz', 'Stats': '70'}]"
Vanderbilt,@Florida,"FLA 38, VAN 14","[{'Player': 'Ken Seals', 'Stats': '280'}, {'Player': 'Montrell Johnson Jr.135', 'Stats': ''}, {'Player': 'Will Sheppard', 'Stats': '107'}]"
UCF,@Kansas,"KU 51, UCF 22","[{'Player': 'Timmy McClain', 'Stats': '136'}, {'Player': 'Devin Neal', 'Stats': '154'}, {'Player': 'Javon Baker', 'Stats': '85'}]"
South Florida,@UAB,"UAB 56, USF 35","[{'Player': 'Jacob Zeno', 'Stats': '353'}, {'Player': 'Byrum Brown', 'Stats': '136'}, {'Player': 'Tejhaun Palmer', 'Stats': '119'}]"
Arkansas State,@Troy,"TROY 37, ARST 3","[{'Player': 'Gunnar Watson', 'Stats': '236'}, {'Player': 'Kimani Vidal', 'Stats': '245'}, {'Player': 'Deshon Stoudemire', 'Stats': '98'}]"
UConn,@Rice,"CONN 38, RICE 31","[{'Player': 'JT Daniels', 'Stats': '362'}, {'Player': 'Victor Rosa', 'Stats': '89'}, {'Player': 'Luke McCaffrey', 'Stats': '100'}]"
Tulsa,@Florida Atlantic,"FAU 20, TLSA 17","[{'Player': 'Daniel Richardson', 'Stats': '144'}, {'Player': 'Larry McCammon', 'Stats': '130'}, {'Player': 'LaJohntay Wester', 'Stats': '98'}]"
Colorado,@Arizona State,"COLO 27, ASU 24","[{'Player': 'Trenton Bourguet', 'Stats': '335'}, {'Player': 'Anthony Hankerson', 'Stats': '58'}, {'Player': 'Elijhah Badger', 'Stats': '134'}]"
South Alabama,@UL Monroe,"USA 55, ULM 7","[{'Player': 'Carter Bradley', 'Stats': '303'}, {'Player': ""La'Damian Webb100"", 'Stats': ''}, {'Player': 'Caullin Lacy', 'Stats': '156'}]"
Old Dominion,@Southern Miss,"ODU 17, USM 13","[{'Player': 'Grant Wilson', 'Stats': '194'}, {'Player': 'Kadarius Calloway', 'Stats': '93'}, {'Player': 'Ahmarian Granger', 'Stats': '79'}]"
Texas Tech,@Baylor,"TTU 39, BAY 14","[{'Player': 'Blake Shapen', 'Stats': '324'}, {'Player': 'Tahj Brooks', 'Stats': '170'}, {'Player': 'Monaray Baldwin', 'Stats': '126'}]"
TCU,@Iowa State,"ISU 27, TCU 14","[{'Player': 'Rocco Becht', 'Stats': '138'}, {'Player': 'Emani Bailey', 'Stats': '152'}, {'Player': 'Warren Thompson', 'Stats': '35'}]"
Colorado State,@Utah State,"USU 44, CSU 24","[{'Player': 'Cooper Legas', 'Stats': '387'}, {'Player': 'Davon Booth', 'Stats': '141'}, {'Player': 'Terrell Vaughn', 'Stats': '143'}]"
San José State,@Boise State,"BOIS 35, SJSU 27","[{'Player': 'Chevan Cordeiro', 'Stats': '325'}, {'Player': 'Ashton Jeanty', 'Stats': '167'}, {'Player': 'Eric McAlister', 'Stats': '170'}]"
