Team,Opo Team,Score,Players
UCF,@Boise State,"UCF 18, BOIS 16","[{'Player': 'John Rhys Plumlee', 'Stats': '272'}, {'Player': 'Ashton Jeanty', 'Stats': '115'}, {'Player': 'Kobe Hudson', 'Stats': '134'}]"
Houston,@Rice,"RICE 43, HOU 41 (2OT)","[{'Player': 'JT Daniels', 'Stats': '401'}, {'Player': 'Tony Mathis Jr.60', 'Stats': ''}, {'Player': 'Samuel Brown', 'Stats': '138'}]"
Florida A&M,@South Florida,"USF 38, FAMU 24","[{'Player': 'Jeremy Moussa', 'Stats': '374'}, {'Player': 'Michel Dukes', 'Stats': '40'}, {'Player': 'Nicholas Dixon', 'Stats': '98'}]"
Memphis,@Arkansas State,"MEM 37, ARST 3","[{'Player': 'Seth Henigan', 'Stats': '239'}, {'Player': ""Ja'Quez Cross57"", 'Stats': ''}, {'Player': 'Tauskie Dove', 'Stats': '52'}]"
Idaho,@Nevada,"IDHO 33, NEV 6","[{'Player': 'Gevani McCoy', 'Stats': '313'}, {'Player': 'Anthony Woods', 'Stats': '71'}, {'Player': 'Hayden Hatten', 'Stats': '85'}]"
McNeese,@Florida,"FLA 49, MCN 7","[{'Player': 'Graham Mertz', 'Stats': '193'}, {'Player': 'Montrell Johnson Jr.119', 'Stats': ''}, {'Player': 'Ricky Pearsall', 'Stats': '123'}]"
Charlotte,@Maryland,"MD 38, CLT 20","[{'Player': 'Taulia Tagovailoa', 'Stats': '287'}, {'Player': 'Roman Hemby', 'Stats': '162'}, {'Player': 'Jairus Mack', 'Stats': '106'}]"
Eastern Michigan,@Minnesota,"MINN 25, EMU 6","[{'Player': 'Athan Kaliakmanis', 'Stats': '117'}, {'Player': 'Darius Taylor', 'Stats': '193'}, {'Player': 'Corey Crooms Jr.45', 'Stats': ''}]"
Arizona,@Mississippi State,"MSST 31, ARIZ 24 (OT)","[{'Player': 'Jayden de Laura', 'Stats': '342'}, {'Player': ""Jo'Quavious Marks123"", 'Stats': ''}, {'Player': 'Tetairoa McMillan', 'Stats': '161'}]"
Temple,@Rutgers,"RUTG 36, TEM 7","[{'Player': 'E.J. Warner230', 'Stats': ''}, {'Player': 'Kyle Monangai', 'Stats': '165'}, {'Player': 'JaQuae Jackson', 'Stats': '95'}]"
Furman,@South Carolina,"SC 47, FUR 21","[{'Player': 'Spencer Rattler', 'Stats': '345'}, {'Player': 'Dakereon Joyner', 'Stats': '42'}, {'Player': 'Xavier Legette', 'Stats': '118'}]"
UCLA,@San Diego State,"UCLA 35, SDSU 10","[{'Player': 'Dante Moore', 'Stats': '290'}, {'Player': 'TJ Harden', 'Stats': '91'}, {'Player': 'Josiah Norwood', 'Stats': '87'}]"
Air Force,@Sam Houston,"AFA 13, SHSU 3","[{'Player': 'Keegan Shoemaker', 'Stats': '44'}, {'Player': 'Owen Burk', 'Stats': '75'}, {'Player': 'Ife Adeyi', 'Stats': '20'}]"
Nicholls,@TCU,"TCU 41, NICH 6","[{'Player': 'Chandler Morris', 'Stats': '263'}, {'Player': 'Emani Bailey', 'Stats': '67'}, {'Player': 'Neno Lemay', 'Stats': '100'}]"
Lamar,@UL Monroe,"ULM 24, LAM 14","[{'Player': 'Robert Coleman', 'Stats': '190'}, {'Player': 'Isaiah Woullard', 'Stats': '113'}, {'Player': 'Tyrone Howell', 'Stats': '65'}]"
Tennessee Tech,@New Mexico,"UNM 56, TNTC 10","[{'Player': 'Dylan Hopkins', 'Stats': '273'}, {'Player': 'Jacory Croskey-Merritt162', 'Stats': ''}, {'Player': 'Duece Jones', 'Stats': '78'}]"
Idaho State,@Utah State,"USU 78, IDST 28","[{'Player': 'Jordan Cooke', 'Stats': '185'}, {'Player': 'Robert Briggs Jr.101', 'Stats': ''}, {'Player': 'Christian Fredericksen', 'Stats': '116'}]"
Eastern Washington,@Fresno State,"FRES 34, EWU 31 (2OT)","[{'Player': 'Mikey Keene', 'Stats': '233'}, {'Player': 'Elijah Gilliam', 'Stats': '87'}, {'Player': 'Erik Brooks', 'Stats': '95'}]"
Auburn,@California,"AUB 14, CAL 10","[{'Player': 'Sam Jackson V', 'Stats': '129'}, {'Player': 'Jaydn Ott', 'Stats': '78'}, {'Player': 'Rivaldo Fairweather', 'Stats': '39'}]"
Oklahoma State,@Arizona State,"OKST 27, ASU 15","[{'Player': 'Jaden Rashada', 'Stats': '167'}, {'Player': 'Cameron Skattebo', 'Stats': '62'}, {'Player': 'Elijhah Badger', 'Stats': '80'}]"
UAlbany,@Hawai'i,"HAW 31, ALB 20","[{'Player': 'Brayden Schager', 'Stats': '266'}, {'Player': 'Jordan Johnson', 'Stats': '76'}, {'Player': 'Pofele Ashlock', 'Stats': '74'}]"
