Team,Opo Team,Score,Players
Murray State,@Louisville,"LOU 56, MUR 0","[{'Player': 'Jack Plummer', 'Stats': '247'}, {'Player': 'Jawhar Jordan', 'Stats': '135'}, {'Player': 'Jamari Thrash', 'Stats': '82'}]"
Indiana State,@Indiana,"IU 41, INST 7","[{'Player': 'Tayven Jackson', 'Stats': '236'}, {'Player': 'Jaylin Lucas', 'Stats': '88'}, {'Player': 'Omar Cooper Jr.101', 'Stats': ''}]"
Illinois,@Kansas,"KU 34, ILL 23","[{'Player': 'Jalon Daniels', 'Stats': '277'}, {'Player': 'Devin Neal', 'Stats': '120'}, {'Player': 'Isaiah Williams', 'Stats': '99'}]"
Ball State,@1Georgia,"UGA 45, BALL 3","[{'Player': 'Carson Beck', 'Stats': '283'}, {'Player': 'Roderick Robinson II', 'Stats': '38'}, {'Player': 'Arian Smith', 'Stats': '50'}]"
UNLV,@2Michigan,"MICH 35, UNLV 7","[{'Player': 'J.J. McCarthy278', 'Stats': ''}, {'Player': 'Blake Corum', 'Stats': '80'}, {'Player': 'Roman Wilson', 'Stats': '89'}]"
11Texas,@3Alabama,"TEX 34, ALA 24","[{'Player': 'Quinn Ewers', 'Stats': '349'}, {'Player': 'Jonathon Brooks', 'Stats': '57'}, {'Player': ""Ja'Tavion Sanders114"", 'Stats': ''}]"
Southern Miss,@4Florida State,"FSU 66, USM 13","[{'Player': 'Jordan Travis', 'Stats': '175'}, {'Player': 'Rodrigues Clark', 'Stats': '86'}, {'Player': 'Keon Coleman', 'Stats': '48'}]"
Youngstown State,@5Ohio State,"OSU 35, YSU 7","[{'Player': 'Kyle McCord', 'Stats': '258'}, {'Player': 'Tyshon King', 'Stats': '66'}, {'Player': 'Marvin Harrison Jr.160', 'Stats': ''}]"
Stanford,@6USC,"USC 56, STAN 10","[{'Player': 'Caleb Williams', 'Stats': '281'}, {'Player': 'MarShawn Lloyd', 'Stats': '77'}, {'Player': 'Brenden Rice', 'Stats': '75'}]"
Delaware,@7Penn State,"PSU 63, DEL 7","[{'Player': 'Drew Allar', 'Stats': '204'}, {'Player': 'Kaytron Allen', 'Stats': '103'}, {'Player': 'KeAndre Lambert-Smith74', 'Stats': ''}]"
Tulsa,@8Washington,"WASH 43, TLSA 10","[{'Player': 'Michael Penix Jr.409', 'Stats': ''}, {'Player': 'Jordan Ford', 'Stats': '67'}, {'Player': 'Jalen McMillan', 'Stats': '120'}]"
Austin Peay,@9Tennessee,"TENN 30, APSU 13","[{'Player': 'Mike DiLiello', 'Stats': '260'}, {'Player': 'Jaylen Wright', 'Stats': '118'}, {'Player': 'Trey Goodman', 'Stats': '70'}]"
10Notre Dame,@NC State,"ND 45, NCSU 24","[{'Player': 'Sam Hartman', 'Stats': '286'}, {'Player': 'Audric Estime', 'Stats': '134'}, {'Player': 'Holden Staes', 'Stats': '115'}]"
12Utah,@Baylor,"UTAH 20, BAY 13","[{'Player': 'Sawyer Robertson', 'Stats': '218'}, {'Player': ""Ja'Quinden Jackson129"", 'Stats': ''}, {'Player': 'Hal Presley', 'Stats': '72'}]"
13Oregon,@Texas Tech,"ORE 38, TTU 30","[{'Player': 'Bo Nix', 'Stats': '359'}, {'Player': 'Tyler Shough', 'Stats': '101'}, {'Player': 'Troy Franklin', 'Stats': '103'}]"
Grambling,@14LSU,"LSU 72, GRAM 10","[{'Player': 'Jayden Daniels', 'Stats': '269'}, {'Player': 'Logan Diggs', 'Stats': '115'}, {'Player': 'Malik Nabers', 'Stats': '87'}]"
Troy,@15Kansas State,"KSU 42, TROY 13","[{'Player': 'Will Howard', 'Stats': '250'}, {'Player': 'Kimani Vidal', 'Stats': '83'}, {'Player': 'Phillip Brooks', 'Stats': '94'}]"
UC Davis,@16Oregon State,"ORST 55, UCD 7","[{'Player': 'DJ Uiagalelei', 'Stats': '107'}, {'Player': 'Damien Martinez', 'Stats': '104'}, {'Player': 'Silas Bolden', 'Stats': '65'}]"
Appalachian State,@17North Carolina,"UNC 40, APP 34 (2OT)","[{'Player': 'Joey Aguilar', 'Stats': '275'}, {'Player': 'Omarion Hampton', 'Stats': '234'}, {'Player': 'Dashaun Davis', 'Stats': '117'}]"
SMU,@18Oklahoma,"OU 28, SMU 11","[{'Player': 'Preston Stone', 'Stats': '250'}, {'Player': 'Tawee Walker', 'Stats': '117'}, {'Player': 'Andrel Anthony', 'Stats': '76'}]"
19Wisconsin,@Washington State,"WSU 31, WIS 22","[{'Player': 'Tanner Mordecai', 'Stats': '277'}, {'Player': 'Chez Mellusi', 'Stats': '50'}, {'Player': 'Will Pauling', 'Stats': '78'}]"
20Ole Miss,@24Tulane,"MISS 37, TULN 20","[{'Player': 'Jaxson Dart', 'Stats': '267'}, {'Player': 'Makhi Hughes', 'Stats': '92'}, {'Player': 'Dayton Wade', 'Stats': '106'}]"
Lafayette,@21Duke,"DUKE 42, LAF 7","[{'Player': 'Riley Leonard', 'Stats': '136'}, {'Player': 'Jordan Waters', 'Stats': '112'}, {'Player': 'Jordan Moore', 'Stats': '84'}]"
Nebraska,@22Colorado,"COLO 36, NEB 14","[{'Player': 'Shedeur Sanders', 'Stats': '393'}, {'Player': 'Gabe Ervin Jr.74', 'Stats': ''}, {'Player': 'Xavier Weaver', 'Stats': '170'}]"
23Texas A&M,@Miami,"MIA 48, TA&M 33","[{'Player': 'Tyler Van Dyke', 'Stats': '374'}, {'Player': 'Amari Daniels', 'Stats': '62'}, {'Player': 'Evan Stewart', 'Stats': '142'}]"
Charleston Southern,@25Clemson,"CLEM 66, CHSO 17","[{'Player': 'Cade Klubnik', 'Stats': '315'}, {'Player': 'Will Shipley', 'Stats': '73'}, {'Player': 'Beaux Collins', 'Stats': '137'}]"
Vanderbilt,@Wake Forest,"WAKE 36, VAN 20","[{'Player': 'AJ Swann', 'Stats': '314'}, {'Player': 'Demond Claiborne', 'Stats': '165'}, {'Player': 'London Humphreys', 'Stats': '109'}]"
Delaware State,@Army,"ARMY 57, DSU 0","[{'Player': 'Bryson Daily', 'Stats': '193'}, {'Player': 'Bryson Daily', 'Stats': '65'}, {'Player': 'Isaiah Alston', 'Stats': '135'}]"
Purdue,@Virginia Tech,"PUR 24, VT 17","[{'Player': 'Hudson Card', 'Stats': '248'}, {'Player': 'Devin Mockobee', 'Stats': '95'}, {'Player': ""Dae'Quan Wright77"", 'Stats': ''}]"
Holy Cross,@Boston College,"BC 31, HC 28","[{'Player': 'Thomas Castellanos', 'Stats': '201'}, {'Player': 'Matthew Sluka', 'Stats': '131'}, {'Player': 'Jaden Williams', 'Stats': '70'}]"
James Madison,@Virginia,"JMU 36, UVA 35","[{'Player': 'Anthony Colandrea', 'Stats': '377'}, {'Player': 'Ty Son Lawton', 'Stats': '79'}, {'Player': 'Malik Washington', 'Stats': '119'}]"
South Carolina State,@Georgia Tech,"GT 48, SCST 13","[{'Player': 'Haynes King', 'Stats': '290'}, {'Player': 'Jamal Haynes', 'Stats': '113'}, {'Player': 'Eric Singleton Jr.69', 'Stats': ''}]"
New Hampshire,@Central Michigan,"CMU 45, UNH 42","[{'Player': 'Max Brosmer', 'Stats': '493'}, {'Player': 'Myles Bailey', 'Stats': '108'}, {'Player': 'Dylan Laube', 'Stats': '295'}]"
Eastern Illinois,@Bowling Green,"BGSU 38, EIU 15","[{'Player': 'Connor Bazelak', 'Stats': '319'}, {'Player': 'Kevin Daniels', 'Stats': '78'}, {'Player': ""Ta'ron Keith123"", 'Stats': ''}]"
Eastern Kentucky,@Kentucky,"UK 28, EKU 17","[{'Player': 'Devin Leary', 'Stats': '299'}, {'Player': 'Ray Davis', 'Stats': '52'}, {'Player': 'Tayvion Robinson', 'Stats': '136'}]"
Southern Utah,@BYU,"BYU 41, SUU 16","[{'Player': 'Kedon Slovis', 'Stats': '348'}, {'Player': 'Targhee Lambson', 'Stats': '32'}, {'Player': 'Zack Mitchell', 'Stats': '135'}]"
Iowa,@Iowa State,"IOWA 20, ISU 13","[{'Player': 'Rocco Becht', 'Stats': '203'}, {'Player': 'Jaziun Patterson', 'Stats': '86'}, {'Player': 'Jayden Higgins', 'Stats': '95'}]"
Richmond,@Michigan State,"MSU 45, RICH 14","[{'Player': 'Noah Kim', 'Stats': '292'}, {'Player': 'Nathan Carter', 'Stats': '111'}, {'Player': 'Tre Mosley', 'Stats': '84'}]"
UTEP,@Northwestern,"NU 38, UTEP 7","[{'Player': 'Gavin Hardison', 'Stats': '192'}, {'Player': 'Cam Porter', 'Stats': '90'}, {'Player': 'Jeremiah Ballard', 'Stats': '92'}]"
Western Michigan,@Syracuse,"SYR 48, WMU 7","[{'Player': 'Garrett Shrader', 'Stats': '286'}, {'Player': 'Jalen Buckley', 'Stats': '87'}, {'Player': 'Donovan Brown', 'Stats': '89'}]"
Miami (OH),@Massachusetts,"M-OH 41, MASS 28","[{'Player': 'Brett Gabbert', 'Stats': '302'}, {'Player': 'Rashad Amos', 'Stats': '115'}, {'Player': 'Gage Larvadain', 'Stats': '273'}]"
Texas State,@UTSA,"UTSA 20, TXST 13","[{'Player': 'Frank Harris', 'Stats': '214'}, {'Player': 'Kevorian Barnes', 'Stats': '103'}, {'Player': 'Drew Donley', 'Stats': '79'}]"
Wagner,@Navy,"NAVY 24, WAG 0","[{'Player': 'Tai Lavatai', 'Stats': '161'}, {'Player': 'Eli Heidenreich', 'Stats': '66'}, {'Player': 'Mark Didio Jr.57', 'Stats': ''}]"
Southern Illinois,@Northern Illinois,"SIU 14, NIU 11","[{'Player': 'Rocky Lombardi', 'Stats': '297'}, {'Player': 'Antario Brown', 'Stats': '61'}, {'Player': 'Kacper Rutkiewicz', 'Stats': '139'}]"
Texas Southern,@Toledo,"TOL 71, TXSO 3","[{'Player': 'Dequan Finn', 'Stats': '238'}, {'Player': 'Jacorey Howard', 'Stats': '43'}, {'Player': 'Larry Stephens', 'Stats': '74'}]"
Kent State,@Arkansas,"ARK 28, KENT 6","[{'Player': 'Michael Alaimo', 'Stats': '174'}, {'Player': 'AJ Green', 'Stats': '82'}, {'Player': 'Trell Harris', 'Stats': '78'}]"
Marshall,@East Carolina,"MRSH 31, ECU 13","[{'Player': 'Cam Fancher', 'Stats': '178'}, {'Player': 'Mason Garcia', 'Stats': '118'}, {'Player': 'Caleb McMillan', 'Stats': '85'}]"
Cal Poly,@San José State,"SJSU 59, CP 3","[{'Player': 'Chevan Cordeiro', 'Stats': '205'}, {'Player': 'Kairee Robinson', 'Stats': '124'}, {'Player': 'Charles Ross', 'Stats': '39'}]"
Portland State,@Wyoming,"WYO 31, PRST 17","[{'Player': 'Dante Chachere', 'Stats': '214'}, {'Player': 'Sam Scott', 'Stats': '70'}, {'Player': 'Ayir Asante', 'Stats': '78'}]"
SE Louisiana,@South Alabama,"USA 35, SELA 17","[{'Player': 'Zachary Clement', 'Stats': '267'}, {'Player': 'Kentrel Bullock', 'Stats': '82'}, {'Player': 'Caullin Lacy', 'Stats': '139'}]"
New Mexico State,@Liberty,"LIB 33, NMSU 17","[{'Player': 'Kaidon Salter', 'Stats': '276'}, {'Player': 'Quinton Cooley', 'Stats': '106'}, {'Player': 'CJ Daniels', 'Stats': '129'}]"
Duquesne,@West Virginia,"WVU 56, DUQ 17","[{'Player': 'Garrett Greene', 'Stats': '240'}, {'Player': 'Jahiem White', 'Stats': '110'}, {'Player': 'Hudson Clement', 'Stats': '177'}]"
UAB,@Georgia Southern,"GASO 49, UAB 35","[{'Player': 'Jacob Zeno', 'Stats': '385'}, {'Player': 'OJ Arnold', 'Stats': '54'}, {'Player': 'Tejhaun Palmer', 'Stats': '102'}]"
Ohio,@Florida Atlantic,"OHIO 17, FAU 10","[{'Player': 'Kurtis Rourke', 'Stats': '203'}, {'Player': ""O'Shaan Allison80"", 'Stats': ''}, {'Player': 'LaJohntay Wester', 'Stats': '101'}]"
Louisiana,@Old Dominion,"ODU 38, UL 31","[{'Player': 'Ben Wooldridge', 'Stats': '285'}, {'Player': 'Keshawn Wicks', 'Stats': '104'}, {'Player': 'Reymello Murphy', 'Stats': '97'}]"
Morgan State,@Akron,"AKR 24, MORG 21","[{'Player': 'Jeff Undercuffler Jr.209', 'Stats': ''}, {'Player': 'J.J. Davis44', 'Stats': ''}, {'Player': 'Jasaiah Gathings', 'Stats': '86'}]"
Fordham,@Buffalo,"FOR 40, BUFF 37","[{'Player': 'CJ Montes', 'Stats': '309'}, {'Player': 'Julius Loughridge', 'Stats': '106'}, {'Player': 'MJ Wright', 'Stats': '159'}]"
North Texas,@Florida International,"FIU 46, UNT 39","[{'Player': 'Keyone Jenkins', 'Stats': '291'}, {'Player': 'Kejon Owens', 'Stats': '101'}, {'Player': 'Kris Mitchell', 'Stats': '94'}]"
Cincinnati,@Pittsburgh,"CIN 27, PITT 21","[{'Player': 'Phil Jurkovec', 'Stats': '179'}, {'Player': 'Corey Kiner', 'Stats': '153'}, {'Player': 'Gavin Bartholomew', 'Stats': '80'}]"
Jacksonville State,@Coastal Carolina,"CCU 30, JVST 16","[{'Player': 'Grayson McCall', 'Stats': '268'}, {'Player': 'Jared Brown', 'Stats': '77'}, {'Player': 'Jared Brown', 'Stats': '93'}]"
UConn,@Georgia State,"GAST 35, CONN 14","[{'Player': ""Ta'Quan Roberson216"", 'Stats': ''}, {'Player': 'Darren Grainger', 'Stats': '142'}, {'Player': 'Brett Buckman', 'Stats': '93'}]"
Northwestern State,@Louisiana Tech,"LT 51, NWST 21","[{'Player': 'Tyler Vander Waal', 'Stats': '134'}, {'Player': 'Keith Willis Jr.188', 'Stats': ''}, {'Player': 'Jaren Mitchell', 'Stats': '60'}]"
Middle Tennessee,@Missouri,"MIZ 23, MTSU 19","[{'Player': 'Nicholas Vattiato', 'Stats': '219'}, {'Player': 'Cody Schrader', 'Stats': '84'}, {'Player': 'Luther Burden III', 'Stats': '117'}]"
Houston Christian,@Western Kentucky,"WKU 52, HCU 22","[{'Player': 'Austin Reed', 'Stats': '253'}, {'Player': 'Champ Dozier', 'Stats': '80'}, {'Player': 'Easton Messer', 'Stats': '116'}]"
