Player,School,POS,ATT,YDS,AVG,LNG,TD
QuinnEwers,TEX,'QB','39','53','1.4','30','5'
RyanButler,STAN,'RB','15','53','3.5','17','0'
SamHicks,CMU,'RB','10','52','5.2','16','1'
Jha'QuanJackson,TULN,'WR','5','51','10.2','24','0'
ElijahDavis,UL,'RB','13','51','3.9','11','1'
DominiqueJohnson,ARK,'RB','20','50','2.5','13','0'
J'WanEvans,JVST,'RB','17','50','2.9','12','4'
BrockLampe,NIU,'FB','12','50','4.2','11','1'
SethAnderson,IOWA,'WR','3','50','16.7','30','0'
EthanCrawford,USM,'QB','12','50','4.2','16','1'
KeyvonWalker,FAU,'RB','11','50','4.5','20','0'
KeyoneJenkins,FIU,'QB','87','50','0.6','23','5'
TyThompson,ORE,'QB','6','49','8.2','13','0'
KeilanRobinson,TEX,'RB','7','49','7.0','23','0'
ZachariahBranch,USC,'WR','6','49','8.2','17','1'
CarsonHansen,ISU,'RB','14','49','3.5','12','0'
GraysonMcCall,CCU,'QB','53','48','0.9','12','1'
CharlieVincent,UTAH,'RB','9','48','5.3','22','1'
IsaiahNewell,ORST,'RB','12','48','4.0','11','0'
JamalJohnson,BGSU,'RB','7','48','6.9','32','0'
VaughnPemberton,BALL,'RB','11','48','4.4','15','0'
SemajMorgan,MICH,'WR','2','48','24.0','44','1'
MakhilynYoung,NMSU,'RB','9','48','5.3','31','1'
EugeneWilsonIII,FLA,'WR','4','48','12.0','18','0'
DavidMbadinga,GASO,'RB','16','48','3.0','12','1'
HaydenWolff,WMU,'QB','23','47','2.0','20','2'
ThadFranklinJr.,ULM,'RB','12','47','3.9','23','1'
KevinHurley,UTEP,'QB','18','47','2.6','18','2'
AdrianMurdaugh,SHSU,'WR','11','47','4.3','16','0'
McCaeHillstead,USU,'QB','36','47','1.3','18','0'
EvanDickens,GT,'RB','11','47','4.3','19','0'
JarrettGuest,CCU,'QB','7','46','6.6','33','1'
ElijhahBadger,ASU,'WR','9','46','5.1','17','1'
JackSalopek,WMU,'QB','17','46','2.7','14','0'
AhmariHuggins-Bruce,LOU,'WR','5','46','9.2','19','1'
BrockVandagriff,UGA,'QB','4','46','11.5','18','0'
BrandonCampbell,HOU,'RB','18','46','2.6','11','0'
MicahBernard,UTAH,'RB','7','45','6.4','13','0'
JCFrench,GASO,'QB','11','45','4.1','18','0'
BrysonWashington,BAY,'RB','10','45','4.5','11','0'
LeeWitherspoon,UAB,'RB','14','44','3.1','17','0'
CadeYacamelli,WIS,'RB','11','44','4.0','12','0'
DevonRivers,FRES,'RB','12','44','3.7','14','0'
RockyLombardi,NIU,'QB','47','43','0.9','33','3'
CalebHood,UNC,'RB','15','43','2.9','13','1'
Ke'TravionHargrove,MEM,'RB','11','43','3.9','17','1'
KennyJohnson,PITT,'WR','7','43','6.1','9','0'
RamonJefferson,UK,'RB','12','42','3.5','16','0'
JalenMitchell,CONN,'RB','13','42','3.2','11','0'
TravisBates,DUKE,'RB','5','42','8.4','32','0'
CamCook,TCU,'RB','9','42','4.7','16','0'
KelleyJoiner,USF,'RB','15','41','2.7','9','1'
JayDucker,MEM,'RB','8','41','5.1','22','0'
SevionMorrison,KU,'RB','8','41','5.1','9','1'
SimeonPrice,MSST,'RB','4','41','10.3','16','0'
TristenRigby,CLEM,'RB','2','41','20.5','35','0'
AlanBowman,OKST,'QB','19','40','2.1','13','2'
TaisunPhommachanh,MASS,'QB','43','40','0.9','31','2'
CorneliusJohnson,MICH,'WR','2','40','20.0','26','0'
RyanO'Keefe,BC,'WR','5','40','8.0','14','1'
SavionRed,TEX,'RB','15','40','2.7','8','1'
CameronSeldon,TENN,'RB','9','40','4.4','11','0'
BrianSnead,ARST,'RB','16','39','2.4','8','0'
SammyMalignaggi,JMU,'RB','7','39','5.6','15','0'
LeroyThomas,WMU,'WR','7','39','5.6','18','0'
CJCampbellJr.,FSU,'RB','4','39','9.8','19','0'
GunnarGundy,OKST,'QB','14','39','2.8','21','0'
LeoPulalasi,WSU,'RB','7','39','5.6','16','0'
KeithAdamsJr.,CLEM,'RB','7','39','5.6','13','0'
B.J.Harris,CMU,'RB','18','38','2.1','9','0'
AlexOrji,MICH,'QB','7','38','5.4','16','1'
KadenMoorman,LOU,'RB','5','38','7.6','25','0'
D.J.Oliver,WVU,'RB','10','38','3.8','6','1'
TraceCampbell,UAB,'QB','6','38','6.3','14','0'
JustinWilliams-Thomas,CAL,'RB','7','38','5.4','23','0'
TauliaTagovailoa,MD,'QB','53','37','0.7','23','4'
SeanAtkins,USF,'WR','4','37','9.3','20','0'
YulkeithBrown,TULN,'WR','3','37','12.3','15','2'
GermieBernard,WASH,'WR','10','37','3.7','15','2'
JackPlummer,LOU,'QB','58','36','0.6','20','1'
KadenPrather,MD,'WR','1','36','36.0','36','0'
DaylanSmothers,OU,'RB','9','36','4.0','16','0'
AmareThomas,UAB,'WR','3','36','12.0','33','0'
CurtisDouglas,KENT,'RB','7','36','5.1','12','0'
JackTuttle,MICH,'QB','4','35','8.8','18','0'
DevinBrown,OSU,'QB','19','35','1.8','8','1'
ChristianNash,NIU,'RB','8','35','4.4','16','0'
DaelenAlexander,RICE,'RB','18','35','1.9','9','5'
JayHaynes,CLEM,'RB','6','35','5.8','17','1'
UiAle,HOU,'QB','6','35','5.8','11','0'
GeordonPorter,CONN,'WR','1','34','34.0','34','0'
CrossPatton,NEV,'RB','13','34','2.6','8','0'
IkaikaRagsdale,UNT,'RB','9','34','3.8','17','0'
BradyLichtenberg,CIN,'QB','5','34','6.8','16','1'
TerrellWashingtonJr.,IOWA,'RB','7','34','4.9','9','0'
AnthonyFriasII,KSU,'RB','11','34','3.1','8','0'
DorianSmith,USA,'RB','2','34','17.0','29','1'
MacDalena,FRES,'WR','1','33','33.0','33','0'
BrennanPresley,OKST,'WR','8','33','4.1','8','2'
SawyerRobertson,BAY,'QB','19','33','1.7','31','1'
LeonFranklin,MICH,'RB','11','33','3.0','9','1'
JustinJones,AUB,'RB','4','33','8.3','12','0'
PatrickWilk,TENN,'RB','2','33','16.5','17','0'
AntonioPatterson,FIU,'RB','13','33','2.5','11','1'
JahbariKuykendall,CCU,'RB','3','33','11.0','34','0'
JosephFagnano,CONN,'QB','16','32','2.0','13','0'
AndreHines,BC,'RB','5','32','6.4','12','0'
CooperJones,USU,'RB','8','32','4.0','15','1'
JakeMcNamara,UTEP,'QB','8','32','4.0','11','1'
J.J.Kohl,ISU,'QB','6','32','5.3','9','0'
BrockGlenn,FSU,'QB','2','32','16.0','34','0'
SevaughnClark,UGA,'RB','6','31','5.2','16','1'
Ja'LynnPolk,WASH,'WR','3','31','10.3','27','1'
LaJohntayWester,FAU,'WR','5','31','6.2','21','1'
FreddieBrock,GAST,'RB','6','31','5.2','12','0'
JalenJohn,MASS,'RB','10','31','3.1','7','0'
JakariusCaston,USM,'WR','3','31','10.3','11','1'
DamianHendersonII,CSU,'RB','7','31','4.4','11','0'
CadeHarris,AFA,'WR','5','31','6.2','9','2'
JordanLovett,TROY,'RB','7','31','4.4','6','0'
ThomasPannunzio,CMU,'WR','3','30','10.0','19','0'
BillyEdwardsJr.,MD,'QB','7','30','4.3','9','1'
JabariBates,SJSU,'RB','11','30','2.7','7','0'
BraylenWalker,RICE,'WR','3','30','10.0','20','0'
MarioEscobar,SYR,'RB','4','30','7.5','15','0'
DalenCobb,GASO,'WR','3','30','10.0','15','0'
JustinHolmes,KENT,'TE','1','30','30.0','30','0'
ConnorWalendzak,TOL,'RB','17','30','1.8','7','2'
VictorSnow,BUFF,'WR','5','30','6.0','16','0'
RichardNewton,WASH,'RB','4','29','7.3','17','0'
LeviWilliams,USU,'QB','6','29','4.8','11','0'
JamGriffin,MISS,'RB','5','29','5.8','14','0'
OmarionDollison,JMU,'WR','2','29','14.5','26','0'
JadonJackson,KSU,'WR','3','29','9.7','14','0'
TylerCrowe,BOIS,'RB','9','29','3.2','8','0'
JaylinLane,VT,'WR','8','29','3.6','11','0'
TrevinLuben,NEB,'RB','3','29','9.7','18','0'
JuniorVanderossIII,TOL,'WR','1','29','29.0','29','0'
NicoIamaleava,TENN,'QB','3','29','9.7','25','0'
AlonzaBarnettIII,JMU,'QB','5','29','5.8','9','1'
ChrisCurry,UTAH,'RB','8','28','3.5','9','0'
AntaviousWillis,USM,'RB','6','28','4.7','12','0'
MikeDrennenII,TOL,'RB','7','28','4.0','8','1'
DougBrumfield,UNLV,'QB','18','28','1.6','19','1'
SavionWilliams,TCU,'WR','5','28','5.6','14','0'
BrockBowers,UGA,'TE','6','28','4.7','14','1'
IsaiahWilliams,ILL,'WR','8','28','3.5','5','0'
Al-ShadeeSalaam,RUTG,'RB','6','28','4.7','18','1'
HenryBelinIV,DUKE,'QB','8','28','3.5','26','1'
AJSwann,VAN,'QB','25','28','1.1','25','1'
PJMartin,USA,'RB','9','28','3.1','14','0'
DomShoffner,CLT,'QB','6','27','4.5','19','0'
ChamonMetayer,CIN,'TE','1','27','27.0','27','0'
CharlieNorman,ULM,'RB','7','27','3.9','12','0'
MaxJohnson,TA&M,'QB','51','27','0.5','32','2'
JuniorSherrill,VAN,'WR','3','27','9.0','20','0'
CoreyWren,TCU,'RB','8','26','3.3','9','0'
T.J.Jones,UAB,'WR','3','26','8.7','15','0'
ChandlerPittman,USM,'RB','9','26','2.9','11','0'
TobiasWeaver,SHSU,'RB','13','26','2.0','8','0'
JackGriese,UVA,'RB','8','26','3.3','9','0'
JakeRetzlaff,BYU,'QB','10','26','2.6','10','0'
DavidBailey,TA&M,'RB','5','25','5.0','13','0'
LawrenceKeysIII,TULN,'WR','4','25','6.3','12','0'
PhillipBrooks,KSU,'WR','5','25','5.0','10','1'
HankBachmeier,LT,'QB','48','25','0.5','18','2'
DaytonWade,MISS,'WR','7','25','3.6','9','0'
LoganKyle,VAN,'TE','2','25','12.5','13','0'
DevinBoddieJr.,WYO,'WR','3','25','8.3','26','0'
EmekaEgbuka,OSU,'WR','5','25','5.0','9','0'
KeaganJohnson,KSU,'WR','5','25','5.0','13','0'
VictorVenn,LIB,'RB','5','25','5.0','12','0'
JordanNabors,BAY,'WR','7','25','3.6','7','0'
MalcolmGillie,BALL,'WR','4','25','6.3','11','0'
DalenMorris,HAW,'QB','10','24','2.4','15','2'
TuckerGleason,TOL,'QB','4','24','6.0','9','0'
KZAdams,GAST,'RB','15','24','1.6','6','0'
AminHassan,NAVY,'RB','10','24','2.4','11','0'
TiaquelinMims,USM,'DB','4','24','6.0','26','0'
TylerBrown,CLEM,'WR','1','23','23.0','23','0'
RickyPearsall,FLA,'WR','2','23','11.5','14','1'
SamAdamsII,WASH,'RB','10','23','2.3','11','1'
DaniyelNgata,WASH,'RB','7','23','3.3','9','1'
TerranceGibbs,GASO,'RB','9','23','2.6','9','0'
BugsMortimer,ULM,'WR','3','23','7.7','23','0'
KendrellWilliams,UL,'RB','3','23','7.7','12','0'
DevontezWalker,UNC,'WR','3','23','7.7','20','0'
MajorEverhart,TCU,'WR','6','23','3.8','12','0'
KamIngram,UCF,'RB','4','23','5.8','12','0'
WayneKnight,JMU,'RB','4','23','5.8','22','0'
DedrickLatulas,LT,'WR','3','23','7.7','14','0'
KevinJennings,SMU,'QB','10','23','2.3','10','1'
AshtonFrye,JVST,'QB','7','23','3.3','11','0'
EzellJolly,UTEP,'RB','8','23','2.9','6','0'
LukeMcCaffrey,RICE,'WR','9','22','2.4','12','0'
JelaniStafford,CONN,'DL','13','22','1.7','4','6'
DanteJackson,AKR,'PK','1','22','22.0','22','0'
K.D.Hutchinson,WKU,'WR','3','22','7.3','23','1'
QuintellQuinn,OHIO,'RB','5','22','4.4','8','0'
CheNwabuko,PITT,'WR','3','22','7.3','24','0'
ChrishonMcCray,KENT,'WR','4','22','5.5','11','0'
RJMartinez,BAY,'QB','3','22','7.3','9','0'
KadenWetjen,IOWA,'WR','3','22','7.3','14','0'
JordanFaison,ND,'WR','2','22','11.0','16','0'
EvanConley,LOU,'QB','3','21','7.0','19','0'
JalenMcMillan,WASH,'WR','2','21','10.5','19','1'
JackDawson,JVST,'P','2','21','10.5','12','0'
GraysonJames,FIU,'QB','21','21','1.0','18','1'
KhalebHood,GASO,'WR','2','21','10.5','16','0'
TavierreDunlap,MICH,'RB','5','21','4.2','7','0'
AmaadFoston,UVA,'RB','4','21','5.3','8','0'
KadenDudley,BOIS,'RB','5','21','4.2','18','0'
ChanceBlack,VT,'RB','5','21','4.2','8','0'
GarretRangel,OKST,'QB','6','21','3.5','10','0'
ZachVigil,UNM,'RB','7','21','3.0','8','0'
IsaiahAugustave,ARK,'RB','6','21','3.5','8','0'
QuintonJackson,RICE,'RB','6','21','3.5','11','0'
NateJohnson,BC,'WR','3','21','7.0','18','0'
JaelenGill,FRES,'WR','8','20','2.5','6','0'
KeyonLesane,NCSU,'WR','3','20','6.7','8','0'
TylerBuchner,ALA,'QB','3','20','6.7','9','1'
KaylonHorton,UNT,'WR','4','20','5.0','11','0'
MarquisCrosby,LT,'RB','1','20','20.0','20','0'
JetHarris,AFA,'RB','5','20','4.0','8','1'
DavidAmador,UTSA,'WR','1','20','20.0','20','0'
MontraviusLloyd,PITT,'RB','5','20','4.0','5','0'
JarvisDurr,USA,'RB','3','20','6.7','13','0'
EmariWhite,UTEP,'WR','2','20','10.0','17','0'
JordanJenkins,BAY,'RB','2','19','9.5','16','0'
MillerMoss,USC,'QB','2','19','9.5','15','2'
EthanWright,CIN,'RB','7','19','2.7','9','0'
RoderickDanielsJr.,SMU,'WR','11','19','1.7','8','0'
BrianBrewton,CONN,'RB','3','19','6.3','8','0'
XavierWorthy,TEX,'WR','3','19','6.3','16','0'
JustynMartin,UCLA,'QB','3','19','6.3','15','0'
TevinWhite,ASU,'RB','10','19','1.9','7','0'
BraylinPresley,TLSA,'RB','6','19','3.2','10','0'
CarlosDavis,MASS,'QB','20','19','0.9','18','0'
RickieCollins,LSU,'QB','3','19','6.3','13','0'
AntonHallJr.,NAVY,'RB','6','19','3.2','6','2'
DemetriusBattle,UAB,'RB','5','19','3.8','7','0'
JamalHailey,WMU,'RB','6','19','3.2','7','0'
RickeyHunt,OHIO,'RB','6','19','3.2','10','0'
DeAngeloIrvinJr.,UNLV,'WR','1','19','19.0','19','0'
AlexSmith,GASO,'P','1','18','18.0','18','0'
CaseyRogers,ORE,'DL','1','18','18.0','18','0'
SterlingGalban,JVST,'WR','5','18','3.6','10','0'
JoachimBangda,CLT,'RB','11','18','1.6','7','1'
GaryBryantJr.,ORE,'WR','3','18','6.0','15','0'
TrentBattle,TCU,'RB','7','18','2.6','10','0'
DavidHolloman,IU,'RB','6','18','3.0','7','0'
JohnathanArceneaux,FRES,'RB','6','18','3.0','9','0'
ColeNelson,VT,'DL','1','18','18.0','18','0'
ElliottNimrod,USU,'PK','1','18','18.0','18','1'
DanielWood,UTAH,'RB','5','18','3.6','10','0'
JimmyHornJr.,COLO,'WR','2','18','9.0','17','0'
Te'SeanSmoot,JVST,'QB','4','18','4.5','5','0'
VinnyAnthonyII,WIS,'WR','1','18','18.0','18','0'
RichardYoung,ALA,'RB','5','18','3.6','11','0'
EastonMesser,WKU,'WR','1','18','18.0','18','0'
KJEdwards,CSU,'RB','2','18','9.0','12','0'
BenKiernan,UNC,'P','1','17','17.0','17','0'
AiniasSmith,TA&M,'WR','4','17','4.3','11','0'
ChrisMayo,EMU,'OL','0','17','0.0','17','0'
MatthewShipley,HAW,'PK','1','17','17.0','17','0'
JacobCowing,ARIZ,'WR','4','17','4.3','6','0'
DavionPrimm,MSU,'RB','4','17','4.3','8','0'
GunnerStockton,UGA,'QB','4','17','4.3','14','0'
DeuceSpann,FSU,'WR','3','17','5.7','15','0'
MonarayBaldwin,BAY,'WR','3','17','5.7','12','0'
GraysonLoftis,DUKE,'QB','8','17','2.1','8','0'
BlakeMurphy,ULM,'QB','19','17','0.9','15','0'
HunterBarnes,TENN,'RB','4','17','4.3','7','0'
MicahBarnett,RICE,'FB','6','17','2.8','6','0'
LamarSperling,BUFF,'RB','4','17','4.3','8','0'
DjayBraswell,SC,'RB','5','17','3.4','9','0'
LandanBrown,SHSU,'RB','9','17','1.9','6','0'
JohnAdams,TEM,'WR','1','16','16.0','16','0'
JarradBaker,UCF,'WR','4','16','4.0','10','0'
JordanWhittington,TEX,'WR','2','16','8.0','20','0'
DeionBurks,PUR,'WR','2','16','8.0','10','0'
RaleekBrown,USC,'WR','3','16','5.3','14','1'
DJRiles,MTSU,'QB','5','16','3.2','7','0'
GavinFreeman,OU,'WR','3','16','5.3','10','0'
KeldricLuster,SMU,'QB','2','16','8.0','10','0'
QuranBoyd,DUKE,'WR','6','16','2.7','9','0'
JaylenLloyd,NEB,'WR','3','16','5.3','9','0'
Je'QuanBurton,FAU,'WR','1','15','15.0','15','0'
XavierWeaver,COLO,'WR','2','15','7.5','14','2'
DemeerBlankumsee,MEM,'WR','2','15','7.5','10','0'
NavyShuler,TENN,'QB','2','15','7.5','15','0'
JackCoulson,KENT,'WR','1','15','15.0','15','0'
OdieuHiliare,BGSU,'WR','0','15','0.0','15','0'
AlanteBrown,MSU,'WR','8','15','1.9','10','0'
PJJohnsonIII,NMSU,'WR','1','15','15.0','15','0'
MJMorris,NCSU,'QB','32','15','0.5','16','0'
TrapperPannell,SHSU,'QB','12','15','1.3','10','3'
BrysonDonnell,TTU,'RB','4','15','3.8','12','0'
AhmarianGranger,ODU,'WR','1','15','15.0','15','0'
CarlsonJoseph,FLA,'RB','3','15','5.0','7','0'
LandonSides,UNT,'WR','2','15','7.5','8','0'
TylerWalton,OHIO,'WR','3','14','4.7','7','0'
DevynFord,ND,'RB','4','14','3.5','5','0'
JimmyCalloway,LOU,'WR','2','14','7.0','7','0'
JordonSimmons,MSU,'RB','7','14','2.0','4','0'
RomeOdunze,WASH,'WR','1','14','14.0','14','1'
IversonCelestine,TULN,'RB','3','14','4.7','11','0'
EvanPryor,OSU,'RB','6','14','2.3','6','0'
ColtonSpangler,MD,'P','1','14','14.0','14','0'
KacperRutkiewicz,NIU,'WR','2','14','7.0','9','0'
SkipVelotta,ND,'RB','2','14','7.0','9','0'
JoshAtkins,HAW,'OL','0','14','0.0','14','0'
EddieBattle,FLA,'RB','6','14','2.3','7','0'
JonathanBrady,NMSU,'WR','6','14','2.3','7','0'
Cam'ronBarfield,BC,'RB','11','14','1.3','10','0'
GeorgeHartIII,ASU,'RB','5','14','2.8','7','0'
A'MarionPeterson,USC,'RB','2','14','7.0','9','0'
KalibHicks,OU,'RB','3','14','4.7','9','1'
KhalifaKeith,TENN,'RB','7','14','2.0','6','0'
SpencerSanders,MISS,'QB','5','13','2.6','14','0'
DeeWiggins,CIN,'WR','1','13','13.0','13','0'
BillyKempIV,NEB,'WR','2','13','6.5','9','1'
JesiahIrish,ORST,'WR','2','13','6.5','11','0'
WyattWieland,WYO,'WR','4','13','3.3','11','0'
KeelanMarion,BYU,'WR','6','13','2.2','6','2'
ColeHarrity,BUFF,'WR','3','13','4.3','6','0'
E.J.Warner,TEM,'QB','17','13','0.8','10','0'
CamCrooks,TLSA,'WR','4','13','3.3','10','0'
LucianAndersonIII,BGSU,'QB','4','13','3.3','9','0'
TylerBradley,NAVY,'RB','1','13','13.0','13','0'
AhmadEdwards,BALL,'WR','2','12','6.0','9','0'
JamariThrash,LOU,'WR','1','12','12.0','12','1'
TraeshonHolden,ORE,'WR','2','12','6.0','7','1'
BehrenMorton,TTU,'QB','28','12','0.4','10','3'
JoJoEarle,TCU,'WR','3','12','4.0','9','0'
BrockDomann,LOU,'QB','3','12','4.0','11','0'
DaneKinamon,AFA,'WR','4','12','3.0','4','0'
ElijahGreen,UNC,'RB','4','12','3.0','9','0'
KatinHouser,MSU,'QB','27','12','0.4','12','2'
TerronDixonIII,GASO,'RB','5','12','2.4','12','0'
JakeTafelski,CMU,'RB','3','12','4.0','5','0'
ShaunThomas,CIN,'RB','7','12','1.7','5','0'
XayvionTurner-Bradshaw,VT,'WR','2','12','6.0','9','0'
KellanHood,UNC,'RB','2','12','6.0','7','0'
JalenBracey,FIU,'WR','2','12','6.0','7','0'
EvanSvoboda,WYO,'QB','13','12','0.9','7','0'
KenyonSadiq,ORE,'TE','1','12','12.0','12','0'
JohnBusha,AFA,'QB','3','12','4.0','6','0'
AntwanRoberts,MRSH,'RB','2','11','5.5','8','0'
MalachiCorley,WKU,'WR','4','11','2.8','6','0'
LutherBurdenIII,MIZ,'WR','5','11','2.2','6','0'
JakeArthurs,NU,'RB','4','11','2.8','8','0'
CharlesCrawfordIII,SHSU,'RB','7','11','1.6','4','0'
MudiaReuben,STAN,'WR','2','11','5.5','13','0'
CharlieOfferdahl,COLO,'RB','2','11','5.5','6','0'
DavidCordero,HAW,'RB','6','11','1.8','7','0'
ChristianWashington,UNM,'RB','12','11','0.9','5','0'
DakotaWilliams,LT,'WR','8','11','1.4','6','1'
ChampHarris,ARMY,'QB','21','11','0.5','36','1'
DuaneThomasJr.,CLT,'WR','3','11','3.7','8','0'
KadenCloud,AFA,'RB','2','11','5.5','11','0'
DrakeStoops,OU,'WR','3','10','3.3','13','0'
TimmyBleekrode,NEB,'PK','1','10','10.0','10','0'
JeremiahHixon,UNM,'WR','2','10','5.0','7','0'
DashaunDavis,APP,'WR','1','10','10.0','10','0'
LawrenceArnold,KU,'WR','1','10','10.0','10','0'
RomanWilson,MICH,'WR','1','10','10.0','10','0'
JaydenThomas,ND,'WR','1','10','10.0','10','0'
KendrellFlowers,NIU,'RB','3','10','3.3','4','0'
TahjWashington,USC,'WR','1','10','10.0','10','0'
JulianGray,NCSU,'WR','3','10','3.3','7','0'
JPRichardson,TCU,'WR','2','10','5.0','8','0'
TylerVanDyke,MIA,'QB','18','10','0.6','37','1'
JaydenDenegal,MICH,'QB','4','10','2.5','8','0'
ZachPyron,GT,'QB','4','10','2.5','5','0'
AJPadgett,RICE,'QB','3','10','3.3','11','0'
NyckHarbor,SC,'WR','2','10','5.0','9','0'
JaquaizePettaway,OU,'WR','1','10','10.0','10','0'
DevinMcCuin,UTSA,'WR','1','10','10.0','10','0'
AjaniSheppard,RUTG,'QB','1','10','10.0','10','0'
BrandonHigh,UTSA,'RB','5','10','2.0','5','0'
KadinSemonza,BALL,'QB','17','10','0.6','16','0'
PerryCarter,JVST,'WR','2','9','4.5','8','0'
MarkPope,MASS,'WR','5','9','1.8','11','0'
MalikCaper,LIB,'RB','1','9','9.0','9','0'
TyroneBroden,ARK,'WR','1','9','9.0','9','0'
AnthonySambucci,WMU,'WR','1','9','9.0','9','0'
MalikWashington,UVA,'WR','2','9','4.5','8','0'
Ke'ShawnWilliams,WAKE,'WR','2','9','4.5','7','1'
ZachHaynes,NMSU,'P','1','9','9.0','9','0'
ChaseGabriel,FIU,'PK','1','9','9.0','9','0'
JoeyBearnsIII,CLT,'TE','3','9','3.0','5','0'
SamHorn,MIZ,'QB','3','9','3.0','6','0'
JakeFarrell,HAW,'QB','2','9','4.5','9','0'
TimothyConerly,UNLV,'WR','2','9','4.5','5','0'
AtticusSappington,ORST,'PK','1','9','9.0','9','0'
BraylonMcReynolds,USA,'RB','2','9','4.5','6','0'
RaheimJeter,ECU,'QB','1','9','9.0','9','0'
BryceMcMahon,TOL,'RB','3','9','3.0','7','0'
KaydenCollins,SJSU,'RB','2','9','4.5','6','0'
MalikPhillips,SHSU,'WR','3','9','3.0','8','0'
TroyLeigber,UCLA,'RB','1','9','9.0','9','0'
KenyonSims,JVST,'RB','4','8','2.0','4','0'
CamJohnson,NU,'WR','1','8','8.0','8','0'
BenFinley,CAL,'QB','12','8','0.7','6','0'
KenSeals,VAN,'QB','32','8','0.3','34','1'
DerrickDavisJr.,PITT,'RB','2','8','4.0','7','0'
JaydenHarrison,MRSH,'WR','1','8','8.0','8','0'
CameronRoss,CONN,'WR','2','8','4.0','14','0'
DannyHughes,MICH,'RB','2','8','4.0','6','0'
JabreBarber,TROY,'WR','1','8','8.0','8','0'
Tar'VarishDawson,COLO,'WR','1','8','8.0','8','1'
CooperDeJean,IOWA,'DB','1','8','8.0','8','0'
EmmettMorehead,BC,'QB','2','8','4.0','4','0'
KalebBrown,IOWA,'WR','2','8','4.0','9','0'
CJStokes,MICH,'RB','4','8','2.0','7','0'
BrysonMoss,EMU,'RB','1','8','8.0','8','0'
WillPelissier,WYO,'WR','2','8','4.0','4','0'
ReeseClark,TEM,'TE','3','8','2.7','3','0'
JavenJacobs,ASU,'RB','3','8','2.7','5','0'
MikeSharpeII,ARST,'RB','2','8','4.0','5','0'
MaxFletcher,ARK,'P','1','8','8.0','8','0'
DewayneColeman,ARMY,'QB','4','8','2.0','5','0'
NoahShort,ARMY,'WR','3','8','2.7','6','0'
ChuukyHines,HAW,'WR','1','8','8.0','8','0'
ChauncyCobb,ARST,'WR','1','8','8.0','8','0'
TateJernigan,TULN,'RB','1','8','8.0','8','0'
JonathonCarter,USA,'RB','1','8','8.0','8','0'
QueWilliams,M-OH,'WR','1','8','8.0','8','0'
HamzeEl-Zayat,EMU,'WR','2','7','3.5','6','0'
TylerHarrell,MIA,'WR','1','7','7.0','7','0'
TrentPennix,NCSU,'TE','1','7','7.0','7','0'
SamPinckney,CCU,'WR','1','7','7.0','7','0'
JarenMangham,MSU,'RB','4','7','1.8','4','0'
MoneyParks,UTAH,'WR','4','7','1.8','8','0'
MarvinHarrisonJr.,OSU,'WR','1','7','7.0','7','0'
JahmalBanks,WAKE,'WR','1','7','7.0','7','0'
JaylenHenderson,TA&M,'QB','1','7','7.0','7','0'
AndersonCastle,APP,'RB','3','7','2.3','4','0'
JaniranBonner,NEB,'FB','3','7','2.3','3','0'
TychaunChapman,UNC,'WR','1','7','7.0','7','0'
JoshHoover,TCU,'QB','11','7','0.6','26','0'
TysonRiley,ARMY,'RB','3','7','2.3','4','0'
BenBrittain,AFA,'QB','1','7','7.0','7','0'
MattColombo,USC,'RB','1','7','7.0','7','0'
KylenAustin,LIB,'WR','2','7','3.5','4','0'
JaxonDailey,ARST,'QB','10','7','0.7','10','0'
IversonHooks,UAB,'WR','1','7','7.0','7','0'
BobbyGolden,AKR,'WR','2','7','3.5','4','0'
NolanRay,MD,'RB','3','7','2.3','6','0'
CalebKomolafe,NU,'RB','2','7','3.5','5','0'
KellyAkharaiyi,UTEP,'WR','1','7','7.0','7','0'
GeorgeArata,TULN,'RB','2','7','3.5','4','0'
Ke'MarionBaldwin,JMU,'RB','3','7','2.3','6','0'
ZackDobson,MTSU,'WR','3','6','2.0','3','1'
HaroldJoinerIII,MSU,'LB','2','6','3.0','6','0'
TayvionRobinson,UK,'WR','1','6','6.0','6','0'
DinoTomlin,BC,'WR','2','6','3.0','11','0'
SedrickVanPran,UGA,'OL','0','6','0.0','6','0'
TateRodemaker,FSU,'QB','1','6','6.0','6','0'
CoreyRucker,ARST,'WR','1','6','6.0','6','0'
Mark-AntonyRichards,UCF,'RB','2','6','3.0','7','1'
ShawnHarrisJr.,MASS,'WR','1','6','6.0','6','0'
Abdul-FataiIbrahim,BGSU,'WR','3','6','2.0','5','0'
EthanHampton,NIU,'QB','4','6','1.5','6','0'
ChaseContreraz,ISU,'PK','1','6','6.0','6','0'
JalenMontgomery,MTSU,'RB','2','6','3.0','4','0'
JosephMartinez,MSU,'RB','5','6','1.2','3','0'
NoahFifita,ARIZ,'QB','29','6','0.2','18','0'
LaNorrisSellers,SC,'QB','2','6','3.0','4','0'
GavinHaines,ORST,'RB','2','6','3.0','5','0'
SamCandotti,BC,'P','1','6','6.0','6','0'
ColeCabana,MICH,'RB','2','6','3.0','5','0'
TerrellVaughn,USU,'WR','3','6','2.0','4','0'
TrimaineBrownJr.,BGSU,'WR','2','6','3.0','4','0'
DariusStone,AFA,'RB','1','6','6.0','6','0'
JQGray,USM,'RB','3','6','2.0','3','0'
