Player,School,POS,ATT,YDS,AVG,LNG,TD
AshtonStredick,CAL,'RB','42','200','4.8','41','2'
CardellWilliams,TLSA,'QB','57','200','3.5','50','5'
PrestonStone,SMU,'QB','48','199','4.1','34','3'
K'WanPowell,USF,'RB','56','199','3.6','27','1'
JordanJohnson,HAW,'RB','34','198','5.8','28','0'
GabeErvinJr.,NEB,'RB','38','196','5.2','27','1'
MauriceTurner,LOU,'RB','46','196','4.3','30','1'
KurtisRourke,OHIO,'QB','46','195','4.2','25','2'
JamoniJones,NMSU,'RB','53','195','3.7','24','2'
RaheimSanders,ARK,'RB','52','194','3.7','19','2'
MaxBalthazar,CCU,'RB','35','194','5.5','34','2'
JacksonAcker,WIS,'RB','46','193','4.2','14','0'
CourtneyReese,UNLV,'RB','46','192','4.2','32','4'
E.J.Smith,STAN,'RB','42','192','4.6','34','1'
AshtonDaniels,STAN,'QB','78','191','2.4','24','2'
JordanTravis,FSU,'QB','64','190','3.0','20','7'
ZachEvans,MINN,'RB','45','190','4.2','18','1'
AveryMorrow,CSU,'RB','65','188','2.9','13','1'
JoshHenderson,IU,'RB','49','188','3.8','20','2'
RobbyAshford,AUB,'QB','42','188','4.5','18','5'
SamScott,WYO,'RB','39','188','4.8','19','2'
TahjGary,TLSA,'RB','33','187','5.7','40','2'
JaviousBond,ECU,'RB','28','187','6.7','39','1'
JambresDubar,BOIS,'RB','37','187','5.1','24','1'
MarcoLeeJr.,USA,'RB','40','186','4.7','13','2'
BrianBattie,AUB,'RB','44','185','4.2','24','0'
RuebenOwens,TA&M,'RB','61','185','3.0','21','2'
KennyTracy,M-OH,'RB','35','184','5.3','42','2'
BrysonBarnes,UTAH,'QB','49','184','3.8','26','3'
BlakeHorvath,NAVY,'QB','37','183','4.9','29','0'
EthanPayne,MRSH,'RB','48','182','3.8','22','0'
DevinRoche,ODU,'RB','30','181','6.0','37','0'
DylanMcDuffie,KU,'RB','33','180','5.5','36','3'
JoshWilliams,LSU,'RB','23','180','7.8','41','3'
MalikHornsby,TXST,'QB','19','177','9.3','31','4'
WillNixon,WASH,'RB','27','177','6.6','21','1'
CamFancher,MRSH,'QB','99','177','1.8','43','2'
TreySanders,TCU,'RB','47','174','3.7','18','5'
ChevanCordeiro,SJSU,'QB','63','174','2.8','28','3'
Ja'shonBenjamin,RUTG,'RB','43','174','4.0','26','1'
BradyCook,MIZ,'QB','69','173','2.5','25','5'
HenryRutledge,CLT,'RB','13','173','13.3','55','0'
DavionErvin-Poindexter,WKU,'RB','41','172','4.2','18','1'
DelbertMimmsIII,NCSU,'RB','56','171','3.1','18','6'
AidanRobbins,BYU,'RB','53','171','3.2','13','1'
TaiLavatai,NAVY,'QB','56','171','3.1','20','2'
JamesJointerJr.,LIB,'RB','30','170','5.7','34','1'
TrentHowland,IU,'RB','36','168','4.7','17','0'
TateCarney,WAKE,'RB','32','168','5.3','74','3'
KalelMullings,MICH,'RB','27','167','6.2','23','1'
JaydonBlue,TEX,'RB','29','167','5.8','34','1'
DurellRobinson,CLT,'RB','40','166','4.2','16','1'
BraylonBraxton,TLSA,'QB','37','165','4.5','46','0'
BertEmanuelJr.,CMU,'QB','42','165','3.9','66','2'
DylanDowning,PUR,'RB','42','164','3.9','25','1'
TreyaunWebb,FLA,'RB','26','163','6.3','43','2'
RodneyHill,FSU,'RB','41','162','4.0','19','1'
KendrickRaphael,NCSU,'RB','30','162','5.4','31','1'
TannerMordecai,WIS,'QB','51','161','3.2','18','4'
DevontaeHouston,CONN,'RB','34','161','4.7','27','0'
KeeganShoemaker,SHSU,'QB','67','160','2.4','29','0'
BrendanSullivan,NU,'QB','75','160','2.1','35','2'
JaydenMaiava,UNLV,'QB','40','159','4.0','24','1'
MiyanWilliams,OSU,'RB','49','158','3.2','12','3'
ReeseWhite,CCU,'RB','50','157','3.1','14','1'
Ta'ronKeith,BGSU,'RB','29','157','5.4','40','1'
LuckySutton,SDSU,'RB','30','157','5.2','62','2'
JeffSims,NEB,'QB','32','156','4.9','57','1'
JoshMcCray,ILL,'RB','43','156','3.6','14','2'
DylanCarson,AFA,'RB','25','156','6.2','29','0'
SherodWhite,UNM,'RB','37','155','4.2','12','1'
JadenNixon,OKST,'RB','36','155','4.3','34','1'
JaredBrown,CCU,'WR','10','155','15.5','77','1'
JasonBean,KU,'QB','34','154','4.5','38','1'
AnthonyAdkins,UCLA,'RB','24','153','6.4','38','1'
FrankHarris,UTSA,'QB','57','152','2.7','30','1'
AnthonyTyusIII,NU,'RB','32','152','4.8','39','0'
DJUiagalelei,ORST,'QB','53','150','2.8','26','6'
XavierTownsend,UCF,'WR','11','150','13.6','39','0'
TylerShough,TTU,'QB','48','149','3.1','58','2'
JeremiahCobb,AUB,'RB','24','149','6.2','42','1'
DamariAlston,AUB,'RB','32','148','4.6','13','1'
CalebWilliams,USC,'QB','84','146','1.7','46','10'
NoahWhittington,ORE,'RB','20','146','7.3','41','2'
KenyonClay,USM,'RB','36','146','4.1','15','0'
KeldricMoody,LT,'RB','33','146','4.4','24','0'
LeeBeebe,UAB,'RB','30','146','4.9','25','1'
JacobZeno,UAB,'QB','70','145','2.1','44','4'
ObieSanni,ODU,'RB','35','145','4.1','18','0'
BrandonChatman,NAVY,'RB','36','145','4.0','20','0'
ChandlerRogers,UNT,'QB','74','144','1.9','75','3'
L.T.Sanders,WKU,'RB','27','143','5.3','56','0'
ElijahCollins,OKST,'RB','30','142','4.7','26','2'
RayshonLuke,ARIZ,'RB','27','142','5.3','40','1'
ShaadieClayton-Johnson,TULN,'RB','34','142','4.2','17','0'
BrettGabbert,M-OH,'QB','49','140','2.9','26','2'
JadarianPrice,ND,'RB','28','140','5.0','23','2'
TonyMathisJr.,HOU,'RB','30','138','4.6','23','0'
JuTahnMcClain,UK,'RB','26','138','5.3','36','1'
XavierWilliams,KENT,'RB','42','137','3.3','18','1'
MitchGriffis,WAKE,'QB','101','137','1.4','27','2'
J.J.McCarthy,MICH,'QB','37','137','3.7','22','3'
JordanBrunson,M-OH,'RB','12','137','11.4','57','1'
CamdenOrth,BGSU,'QB','42','135','3.2','18','2'
BrendanSorsby,IU,'QB','67','135','2.0','16','2'
EdwardSaydee,TEM,'RB','45','134','3.0','10','0'
ArnoldBarnesIII,TULN,'RB','22','133','6.0','65','0'
QuincyPatterson,TEM,'QB','41','132','3.2','24','4'
CaziahHolmes,FSU,'RB','17','132','7.8','40','1'
JefferyPittman,MSST,'RB','35','132','3.8','22','0'
TerryWilkins,MTSU,'RB','15','131','8.7','75','1'
JaydendeLaura,ARIZ,'QB','20','131','6.6','53','3'
DanielCarter,PITT,'RB','25','130','5.2','22','2'
JovantaeBarnes,OU,'RB','34','130','3.8','17','1'
CameronWard,WSU,'QB','85','130','1.5','22','5'
